,https://roic.ai/company/DARE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,625000,6000,80000,- -,766000,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,625000,6000,80000,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,15807000,9700000,11772000,25948000,27565000,984749,6413956,8546108,20769416000,30617567000
6,General and Administrative Exp.,6393000,6166000,8587000,11224000,10355000,2704853,5280837,5798772,6549508000,8350945000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6393000,6166000,8587000,11224000,10355000,2704853,5280837,5798772,6549508000,8350945000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,22200000,15866000,20359000,37172000,37920000,3689602,11694793,14344880,27318924000,38968512000
11,COGS and Expenses,22200000,15866000,20359000,37172000,37920000,3689602,11694793,14344880,27318924000,- -
12,Interest Income ,2000,2000,9000,10000,86000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),567000,1487000,1083000,2432000,2237000,322629,- -,- -,- -,- -
14,Depreciation and Amortization,346000,197000,126000,192000,261000,- -,2440,11137,43227,26413000
15,EBITDA,-21188000,-15459000,-22133000,-36980000,-36807000,-3689602,-11692353,-14333743,-27402213773,-39042099000
16,EBITDA ratio,-33.9008,-2576.5000,-276.6625,-Infinity,-48.0509,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-21575000,-15860000,-20279000,-37172000,-37154000,-11180488,-16882312,-14344880,-27402257,-39068512000
18,Operating Income ratio,-34.5200,-2643.3333,-253.4875,-Infinity,-48.5039,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-526000,-1283000,-3063000,-2422000,-2151000,-322629,143497,81050,-27373340743,372407000
20,Income Before Tax,-22101000,-17143000,-23342000,-39594000,-39305000,-11503117,-16738815,-14263830,-27400743000,-38696105000
21,Income Before Tax Ratio,-35.3616,-2857.1667,-291.7750,-Infinity,-51.3120,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
