,https://roic.ai/company/CHUC,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,980000,1210000,800000,1230000,2150000,4850000,7420000,6250000,2270000,1270000,1020000,2650000,4693410,6121100,2575450,3823330,1947050,22740000,16692000,21496000
2,COGS,- -,290000,410000,280000,540000,780000,1380000,1680000,1490000,790000,700000,750000,2130000,4401700,6282090,2253590,3052140,1228450,10071000,7478000,10423000
3,Gross Profit,- -,690000,800000,520000,690000,1370000,3470000,5740000,4760000,1480000,570000,270000,520000,291710,-160990,321860,771190,718600,12669000,9214000,11073000
4,Gross Profit Ratio,- -,0.7041,0.6612,0.6500,0.5610,0.6372,0.7155,0.7736,0.7616,0.6520,0.4488,0.2647,0.1962,0.0622,-0.0263,0.1250,0.2017,0.3691,0.5571,0.5520,0.5151
5,Research and Development Exp.,- -,90000,- -,10000,70000,70000,20000,10000,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,1102000,3378000,24000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,2878156,2241075,2269329,1701041,2580985,3701094,4450101,5475673,4825017,9593707,10997813,15017000,10873000,8750000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2224801,4388108,5073211,3782941,5620193,411371,2314000,1733000,1734000
8,"Selling, General and Administrative Exp.",15968,14127,2576386,2668280,5700984,5902302,6287861,7828874,6737938,4515455,3369094,3273227,5925895,8838209,10548884,8607958,15213900,11409184,17331000,12606000,10484000
9,Other Expenses,- -,-90000,82353,61837,25719,70254,55861,48658,15524,38803,18782,- -,- -,- -,- -,- -,- -,- -,- -,7478000,- -
10,Operating Expenses,15968,14127,2658739,2740117,5796703,6042556,6363722,7887532,6763462,4564258,3387876,3273227,5925895,8838209,10548884,8607958,15213900,11409184,18433000,23462000,10508000
11,COGS and Expenses,15968,2430000,3070000,3020000,6340000,6820000,7740000,9570000,8260000,5350000,4080000,4020000,8050000,13239910,16830970,10861540,18396040,14535630,28504000,23462000,20931000
12,Interest Income ,- -,- -,- -,4691,96780,34337,87646,53061,6001,617,179,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3529,-160000,-230000,-300000,90000,- -,-350000,50000,10000,-350000,-1130000,-120000,1824074,202773,257389,39789,158419,813545,3618000,134000,34000
14,Depreciation and Amortization,- -,80000,82353,65339,25682,66333,58033,45696,20463,35473,18492,122883,209475,189004,151113,146418,125168,4767,263000,181000,655000
15,EBITDA,-15968,-1690000,-2227647,-2744661,-4904318,-4603667,-3531967,-2014304,-1969537,-3734527,-5061508,-3117117,-5086451,-7724823,-11582058,-5259353,-12163553,-3060988,1735000,-6872000,5839000
16,EBITDA ratio,-Infinity,-1.7245,-1.8410,-3.4308,-3.9873,-2.1412,-0.7282,-0.2715,-0.3151,-1.6452,-3.9854,-3.0560,-1.9194,-1.6459,-1.8922,-2.0421,-3.1814,-1.5721,0.0763,-0.4117,0.2716
17,Operating Income,-15968,-14127,-1859907,-2217818,-5109816,-4669898,-2891339,-2148195,-2005539,-3076484,-2820270,-3000848,-5404133,-8546497,-10709874,-8286095,-14442710,-10690580,-5764000,-6770000,565000
18,Operating Income ratio,-Infinity,-0.0144,-1.5371,-2.7723,-4.1543,-2.1720,-0.5962,-0.2895,-0.3209,-1.3553,-2.2207,-2.9420,-2.0393,-1.8210,-1.7497,-3.2173,-3.7775,-5.4907,-0.2535,-0.4056,0.0263
19,Total Other Income Expenses (Gains),-3529,-1595873,-220093,-292182,89816,-102,-348661,38195,5539,-343516,-1129730,-119152,-1715867,429897,-1280686,2840535,1995570,6811280,3618000,-417000,4585000
20,Income Before Tax,-19497,-1610000,-2080000,-2510000,-5020000,-4670000,-3240000,-2110000,-2000000,-3420000,-3950000,-3120000,-7120000,-8116600,-11990560,-5445560,-12447140,-3879300,-2146000,-7187000,5150000
21,Income Before Tax Ratio,-Infinity,-1.6429,-1.7190,-3.1375,-4.0813,-2.1721,-0.6680,-0.2844,-0.3200,-1.5066,-3.1102,-3.0588,-2.6868,-1.7294,-1.9589,-2.1144,-3.2556,-1.9924,-0.0944,-0.4306,0.2396
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342000
23,Net Income,-19497,-1610000,-2080000,-2510000,-5020000,-4670000,-3240000,-2110000,-2000000,-3420000,-3950000,-3120000,-7120000,-8116600,-11990560,-5445560,-12447140,-3879300,-2146000,-7187000,4808000
24,Net Income ratio,-Infinity,-1.6429,-1.7190,-3.1375,-4.0813,-2.1721,-0.6680,-0.2844,-0.3200,-1.5066,-3.1102,-3.0588,-2.6868,-1.7294,-1.9589,-2.1144,-3.2556,-1.9924,-0.0944,-0.4306,0.2237
25,EPS,-649.90,-53666.67,-6475.10,-19338.45,-5219.43,-4818.83,-2300.00,-1400.00,-1300.00,-2000.00,-900.00,-14.00,-26.00,-23.00,-16.00,-5.00,-7.00,-1.00,-0.02,-0.04,0.03
26,EPS Diluted,-649.90,-53666.67,-6475.10,-19338.45,-5219.43,-4818.83,-2300.00,-1400.00,-1300.00,-2000.00,-900.00,-14.00,-26.00,-23.00,-16.00,-5.00,-7.00,-1.00,-0.02,-0.04,0.03
27,Weighted Average Shares Outstanding,30,30,322,130,961,969,1395,1560,1569,1733,4439,227577,274894,364293,753469,1152923,1937994,2302046,106481292,189844870,189844870
28,Weighted Average Shares Outstanding Diluted,30,30,322,130,961,969,1395,1560,1569,1733,4439,227577,274894,364293,753469,1152923,1937994,2302046,106481292,189844870,189844870
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1134765/000141588913000648/0001415889-13-000648-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000141588914001027/0001415889-14-001027-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000141588915001215/0001415889-15-001215-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000141588916005263/0001415889-16-005263-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495417002931/0001654954-17-002931-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495418006979/0001654954-18-006979-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495419003885/0001654954-19-003885-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495420004066/0001654954-20-004066-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000165495421003838/0001654954-21-003838-index.htm,https://www.sec.gov/Archives/edgar/data/1134765/000185173422000194/0001851734-22-000194-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,68889,55024,7963,114794,2805021,76147,2245858,1576510,45289,41067,26050,4449,3136766,668326,376840,15306,76534,43181,2448000,1422000,866000
32,Short-Term Investments,- -,- -,- -,- -,110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,68889,55024,7963,114794,2915021,76147,2245858,1576510,45289,41067,26050,4449,3136766,668326,376840,15306,76534,43181,2448000,1422000,866000
34,Net Receivables,- -,- -,5012,4358,8758,4785,7460,6825,8754,6041,633,130909,175068,343709,1843415,536817,55469,990,918000,1258000,1368000
35,Inventory,- -,- -,286037,478300,542749,411364,370843,176236,222847,43030,1853,832874,1056756,1363443,1558719,318912,1176101,2035,1516000,1593000,5005000
36,Other Current Assets,- -,- -,55477,108315,279502,259292,329015,509377,173933,540349,209444,268716,591434,628675,75923,127258,80918,6712,729000,450000,755000
37,Total Current Assets,68889,55024,354489,705767,3746030,751588,2953176,2268948,450823,630487,237980,1236948,4960024,3004153,3854897,998293,1389022,52918,5611000,4723000,7994000
38,PP&E,- -,- -,167271,109275,93423,123943,81405,35832,17224,26317,9669,25399,8399,4587,4530,11064,5896,1129,2166000,531000,1186000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3474502,3474502,3474502,3474502,3474502,3474502,1576502,- -,- -,- -
40,Intangible Assets,- -,- -,43352,40015,36219,11212,17959,21411,26973,21185,19341,1592634,1401457,1218614,1070588,250000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,43352,40015,36219,11212,17959,21411,26973,21185,19341,5067136,4875959,4693116,4545090,3724502,3474502,1576502,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,269106,- -,133889,- -,- -,- -,- -,- -,85218,133065,133198,209360,209570,- -,- -,71000,- -,68000
45,Total Non-Current Assets,- -,- -,210623,418396,129642,269044,99364,57243,44197,47502,29010,5177753,5017423,4830901,4758980,3945136,3480398,1577631,2237000,531000,1254000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,68889,55024,565112,1124163,3875672,1020632,3052540,2326191,495020,677989,266990,6414701,9977447,7835054,8613877,4943429,4869420,1630549,7848000,5254000,9248000
48,Accounts Payable,163,425,953152,611398,455996,1160916,832697,643426,554675,621020,1295219,1292147,1222404,1922285,- -,- -,7432799,- -,673000,2525000,- -
49,Short-Term Debt,- -,- -,347500,- -,- -,250000,- -,- -,- -,- -,137462,772000,680000,4263002,1336819,109682,764563,7813786,426000,1856000,329000
