,https://roic.ai/company/LIFE,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,422000,10455,10751
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,10455,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,13832000,16777000,34504000,42846000,30067000,20385000,14048000,17291,23264
6,General and Administrative Exp.,5710000,6777000,13112000,15094000,17078000,12435000,9352000,9075,10751
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5710000,6777000,13112000,15094000,17078000,12435000,9352000,9075,10751
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,19542000,23554000,47616000,57940000,47145000,32820000,23400000,26366,34015
11,COGS and Expenses,19542000,23554000,47616000,57940000,47145000,32820000,23400000,26366,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,714000,829000,869000,900000,713000,746000,1366000,569000,- -
15,EBITDA,-18800000,-22761000,-46747000,-57040000,-46432000,-32074000,-22237000,-15342,-34015
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-52.6943,-1.4674,-3.1639
17,Operating Income,-19542000,-23554000,-47616000,-57940000,-47145000,-32820000,-22978000,-15911000,-34015000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-54.4502,-1521.8556,-3163.8917
19,Total Other Income Expenses (Gains),-472000,-796000,-357000,36000,-1062000,-1695000,-785000,- -,- -
20,Income Before Tax,-20014000,-24350000,-47973000,-57904000,-48207000,-34515000,-23763000,- -,- -
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-56.3104,- -,- -
22,Income Tax expense (Gain),- -,- -,- -,-49000,- -,- -,- -,- -,- -
23,Net Income,-20014000,-24350000,-47973000,-57855000,-48207000,-34515000,-23603000,- -,- -
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-55.9313,- -,- -
25,EPS,-30.09,-33.88,-42.42,-34.16,-26.18,-16.10,-7.03,-1.77,-1.77
26,EPS Diluted,-30.09,-33.88,-42.42,-34.16,-26.18,-16.10,-7.03,-1.77,-1.77
27,Weighted Average Shares Outstanding,719510,719510,1131317,1691511,1842857,2139805,3355600,9160269,19080878
28,Weighted Average Shares Outstanding Diluted,719510,719510,1131317,1691511,1842857,2139805,3355600,9160269,19080878
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1339970/000156459016015652/0001564590-16-015652-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459017004631/0001564590-17-004631-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459018006333/0001564590-18-006333-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459019009381/0001564590-19-009381-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459020013208/0001564590-20-013208-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459021014940/0001564590-21-014940-index.htm,https://www.sec.gov/Archives/edgar/data/1339970/000156459022010441/0001564590-22-010441-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,36457000,13899000,53025000,38388000,21091000,22962000,9210000,16952000,2336000
32,Short-Term Investments,- -,1954000,42510000,33759000,64028000,26583000,21934000,14737000,- -
33,Cash and Short-Term Investments,36457000,15853000,95535000,72147000,85119000,49545000,31144000,31689000,2336000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,435000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,564000,656000,2415000,2621000,1866000,1258000,781000,3842000,110798000
37,Total Current Assets,37021000,16509000,97950000,74768000,86985000,50803000,31925000,35531000,113569000
38,PP&E,2505000,1925000,1793000,1421000,2280000,1853000,4091000,899000,1810000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,29814000,4002000,- -,- -,- -,- -,105575000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,260000,2210000,118000,333000,90000,90000,172000,- -,-105417000
45,Total Non-Current Assets,2765000,4135000,31725000,5756000,2370000,1943000,4263000,899000,1968000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,39786000,20644000,129675000,80524000,89355000,52746000,36188000,36430000,115537000
48,Accounts Payable,1055000,1433000,3872000,2606000,2276000,1040000,847000,1431000,1031000
49,Short-Term Debt,728000,5134000,3366000,339000,5012000,7767000,9492000,861000,980000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,208000,- -,- -
52,Other Current Liabilities,3424000,3227000,4910000,5580000,3103000,2026000,2376000,3572000,4002000
53,Total Current Liabilities,5207000,9794000,12148000,8525000,10391000,10833000,12923000,5864000,6013000
54,Long-Term Debt,6158000,5142000,1776000,9198000,14719000,8263000,- -,- -,398000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,94503000,780000,701000,- -,- -,- -,2239000,- -,- -
58,Total Non-Current Liabilities,100661000,5922000,2477000,9198000,14719000,8263000,2239000,- -,398000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,1212000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,2994000,2239000,- -
61,Total Liabilities,105868000,15716000,14625000,17723000,25110000,19096000,15162000,7076000,6411000
62,Preferred Stock,- -,- -,- -,- -,2000,2000,2000,- -,- -
63,Common Stock,1000,10000,24000,24000,30000,31000,4000,11000,28000
64,Retained Earnings,-85801000,-110151000,-158124000,-215979000,-264186000,-298701000,-322304000,- -,-372296000
65,Other Comprehensive Income/Loss,-2134000,-2963000,-171000,-76000,-120000,-60000,-40000,-43000,-263000
66,Other Total Stockholders Equity,19438000,118032000,273321000,278832000,328519000,332378000,343524000,31682000,481657000
67,Total Stockholders Equity,-68496000,4928000,115050000,62801000,64245000,33650000,21186000,31650000,109126000
68,Total Liabilities And Stockholders Equity,37372000,20644000,129675000,80524000,89355000,52746000,36348000,38726000,115537000
69,Minority Interest,2414000,- -,- -,- -,- -,- -,-160000,-2296000,- -
70,Total Liabilities & Equity,39786000,20644000,129675000,80524000,89355000,52746000,36188000,36430000,115537000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1339970/000156459016015652/0001564590-16-015652-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459017004631/0001564590-17-004631-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459018006333/0001564590-18-006333-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459019009381/0001564590-19-009381-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459020013208/0001564590-20-013208-index.html,https://www.sec.gov/Archives/edgar/data/1339970/000156459021014940/0001564590-21-014940-index.htm,https://www.sec.gov/Archives/edgar/data/1339970/000156459022010441/0001564590-22-010441-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-20014000,-24350000,-47973000,-57855000,-48207000,-34515000,-23603000,- -,- -
74,Depreciation and Amortization,714000,829000,869000,900000,713000,746000,1366000,569000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,155000,1791000,4856000,5029000,6784000,3431000,1783000,1465000,- -
77,Change in Working Capital,1849000,-25099000,79087000,-19559000,10351000,-36624000,-20968000,10665000,77889000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-1939000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,31814000,6715000,85802000,66243000,76594000,39970000,19002000,29667000,107556000
82,Other Non-Cash Items,-15000,24005000,-73636000,18624000,-12005000,35899000,21409000,-28000000,-77889000
83,Cash Provided by Operating Activities,-17311000,-22824000,-36797000,-52861000,-42364000,-31063000,-20013000,-15301000,- -
84,CAPEX,-644000,-249000,-664000,-600000,-1312000,-594000,-79000,-202000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
