,https://roic.ai/company/GOOGL,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,19000000,86000000,440000000,1466000000,3189000000,6139000000,10605000000,16594000000,21796000000,23651000000,29321000000,37905000000,46039000000,55519000000,66001000000,74989000000,90272000000,110855000000,136819000000,161857000000,182527000000,257637000000
2,COGS,1000000,6000000,15000000,133000000,634000000,1469000000,2577000000,4225000000,6649000000,8622000000,8844000000,10417000000,13188000000,17176000000,21993000000,25313000000,28164000000,35138000000,45583000000,59549000000,71896000000,84732000000,110939000000
3,Gross Profit,-1000000,13000000,71000000,307000000,832000000,1720000000,3562000000,6380000000,9945000000,13174000000,14807000000,18904000000,24717000000,28863000000,33526000000,40688000000,46825000000,55134000000,65272000000,77270000000,89961000000,97795000000,146698000000
4,Gross Profit Ratio,-Infinity,0.6842,0.8256,0.6977,0.5675,0.5394,0.5802,0.6016,0.5993,0.6044,0.6261,0.6447,0.6521,0.6269,0.6039,0.6165,0.6244,0.6108,0.5888,0.5648,0.5558,0.5358,0.5694
5,Research and Development Exp.,3000000,12000000,21000000,40000000,230000000,395000000,600000000,1229000000,2120000000,2793000000,2843000000,3762000000,5162000000,6083000000,7137000000,9832000000,12282000000,13948000000,16625000000,21419000000,26018000000,27573000000,31562000000
6,General and Administrative Exp.,3000000,16000000,39000000,- -,- -,- -,- -,- -,1279250000,1802639000,1667294000,1962000000,3224000000,3845000000,4796000000,5851000000,6136000000,6985000000,6872000000,8126000000,9551000000,11052000000,13510000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9047000000,10485000000,12893000000,16333000000,18464000000,17946000000,22912000000
8,"Selling, General and Administrative Exp.",3000000,16000000,39000000,- -,- -,- -,- -,- -,1279250000,1802639000,1667294000,1962000000,3224000000,3845000000,4796000000,5851000000,15183000000,17470000000,19765000000,24459000000,28015000000,28998000000,36422000000
9,Other Expenses,- -,-236000,-43500000,81532000,267616000,696378000,949773000,1600894000,1461251000,1946436000,1983968000,2799000000,4589000000,6853000000,8068000000,8131000000,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,6000000,27764000,16500000,121532000,497616000,1091378000,1549773000,2829894000,4860501000,6542075000,6494262000,8523000000,12975000000,16781000000,20001000000,23814000000,27465000000,31418000000,36390000000,45878000000,54033000000,56571000000,67984000000
11,COGS and Expenses,7000000,34000000,75000000,253000000,1123000000,2549000000,4121000000,7055000000,11510000000,16258000000,15338000000,18940000000,26273000000,32205000000,40116000000,49505000000,55629000000,66556000000,84677000000,109295000000,127626000000,141303000000,178923000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,559205000,389533000,229673000,579000000,812000000,713000000,785000000,746000000,999000000,1220000000,1312000000,1878000000,2427000000,1865000000,1499000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,1203000,- -,- -,- -,58000000,84000000,83000000,101000000,104000000,124000000,109000000,114000000,100000000,135000000,346000000
14,Depreciation and Amortization,- -,- -,10000000,28983000,55049000,148473000,293812000,571939000,967658000,1499887000,1524308000,1396000000,1851000000,2962000000,3939000000,4979000000,5063000000,6144000000,6915000000,9035000000,11781000000,13697000000,12441000000
15,EBITDA,-6000000,-15000000,20000000,213983000,402049000,798473000,2434812000,4582939000,6642861000,7353887000,9905308000,12192000000,14235000000,16699000000,19494000000,22855000000,24818000000,30418000000,24393000000,44062000000,51506000000,61914000000,103521000000
16,EBITDA ratio,-Infinity,-0.7895,0.2326,0.4863,0.2742,0.2504,0.3966,0.4321,0.4003,0.3374,0.4188,0.4158,0.3755,0.3627,0.3511,0.3463,0.3310,0.3370,0.2200,0.3220,0.3182,0.3392,0.4018
17,Operating Income,-7000000,-14737000,10964000,186466000,342464000,640192000,2017278000,3549996000,5084400000,6631969000,8312186000,10381000000,11742000000,12760000000,13966000000,16496000000,19360000000,23716000000,26146000000,26321000000,34231000000,41224000000,78714000000
18,Operating Income ratio,-Infinity,-0.7756,0.1275,0.4238,0.2336,0.2008,0.3286,0.3347,0.3064,0.3043,0.3515,0.3540,0.3098,0.2772,0.2516,0.2499,0.2582,0.2627,0.2359,0.1924,0.2115,0.2259,0.3055
19,Total Other Income Expenses (Gains),1000000,-263000,-964000,-1466000,4536000,9808000,124722000,461004000,589600000,-777969000,68814000,415000000,584000000,1709000000,1933000000,763000000,291000000,434000000,1047000000,8592000000,5394000000,6858000000,12020000000
20,Income Before Tax,-6000000,-15000000,10000000,185000000,347000000,650000000,2142000000,4011000000,5674000000,5854000000,8381000000,10796000000,12326000000,14469000000,15899000000,17259000000,19651000000,24150000000,27193000000,34913000000,39625000000,48082000000,90734000000
21,Income Before Tax Ratio,-Infinity,-0.7895,0.1163,0.4205,0.2367,0.2038,0.3489,0.3782,0.3419,0.2686,0.3544,0.3682,0.3252,0.3143,0.2864,0.2615,0.2621,0.2675,0.2453,0.2552,0.2448,0.2634,0.3522
