,https://roic.ai/company/ZNGA,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,121467000,597459000,1140100000,1281267000,873266000,690410000,764717000,741420000,861390000,907208000,1321659000,1974800000,2800500000
2,COGS,56707000,176052000,330043000,352169000,248358000,213570000,235985000,238546000,258971000,304658000,524089000,811800000,1014900000
3,Gross Profit,64760000,421407000,810057000,929098000,624908000,476840000,528732000,502874000,602419000,602550000,797570000,1163000000,1785600000
4,Gross Profit Ratio,0.5331,0.7053,0.7105,0.7251,0.7156,0.6907,0.6914,0.6783,0.6994,0.6642,0.6035,0.5889,0.6376
5,Research and Development Exp.,51029000,149519000,727018000,645648000,413001000,396553000,361931000,320300000,256012000,270323000,505889000,713700000,545900000
6,General and Administrative Exp.,24243000,32251000,254456000,189004000,162918000,167664000,143284000,92509000,108653000,98941000,99790000,136000000,162000000
7,Selling and Marketing Exp.,42266000,114165000,234199000,181924000,104403000,157364000,169573000,183637000,212030000,226524000,464091000,683500000,955100000
8,"Selling, General and Administrative Exp.",66509000,146416000,488655000,370928000,267321000,325028000,312857000,276146000,320683000,325465000,563881000,819500000,1117100000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,117538000,295935000,1215673000,1016576000,680322000,721581000,674788000,596446000,576695000,595788000,1069770000,1533200000,1663000000
11,COGS and Expenses,174245000,471987000,1545716000,1368745000,928680000,935151000,910773000,834992000,835666000,900446000,1593859000,2345000000,2677900000
12,Interest Income ,177000,1222000,1680000,4749000,4148000,3266000,2568000,3057000,5309000,6549000,14039000,11600000,6400000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16971000,30300000,59200000
14,Depreciation and Amortization,10372000,39481000,95414000,141479000,129047000,82894000,54315000,41770000,30294000,42057000,79445000,142100000,238900000
15,EBITDA,-42438000,166540000,-310728000,-18096000,64178000,-150333000,-75867000,-62961000,67877000,68520000,143751000,-233000000,289900000
16,EBITDA ratio,-0.3494,0.2787,-0.2725,-0.0141,0.0735,-0.2177,-0.0992,-0.0849,0.0788,0.0755,0.1088,-0.1180,0.1035
17,Operating Income,-52778000,125472000,-405616000,-182971000,-65631000,-244741000,-146056000,-114249000,25724000,6762000,-272200000,-370200000,55800000
18,Operating Income ratio,-0.4345,0.2100,-0.3558,-0.1428,-0.0752,-0.3545,-0.1910,-0.1541,0.0299,0.0075,-0.2060,-0.1875,0.0199
19,Total Other Income Expenses (Gains),-32000,1587000,-526000,23396000,762000,11514000,15874000,9518000,11859000,19701000,319535000,-35200000,-64000000
20,Income Before Tax,-52810000,127059000,-406142000,-159575000,-64869000,-233227000,-130182000,-104731000,37583000,26463000,47335000,-405400000,-8200000
21,Income Before Tax Ratio,-0.4348,0.2127,-0.3562,-0.1245,-0.0743,-0.3378,-0.1702,-0.1413,0.0436,0.0292,0.0358,-0.2053,-0.0029
22,Income Tax expense (Gain),12000,36464000,-1826000,49873000,-27887000,-7327000,-8672000,3442000,10944000,11006000,5410000,24000000,96000000
23,Net Income,-52822000,90595000,-404316000,-209448000,-36982000,-225900000,-121510000,-108173000,26639000,15457000,41925000,-429400000,-104200000
24,Net Income ratio,-0.4349,0.1516,-0.3546,-0.1635,-0.0423,-0.3272,-0.1589,-0.1459,0.0309,0.0170,0.0317,-0.2174,-0.0372
25,EPS,-0.20,0.16,-1.40,-0.28,-0.05,-0.26,-0.13,-0.12,0.03,0.02,0.04,-0.42,-0.10
26,EPS Diluted,-0.20,0.14,-1.40,-0.28,-0.05,-0.26,-0.13,-0.12,0.03,0.02,0.04,-0.42,-0.10
27,Weighted Average Shares Outstanding,264114000,466933000,288599000,741177000,799794000,874509000,913511000,878827000,869067000,862460000,938709000,1016800000,1016800000
28,Weighted Average Shares Outstanding Diluted,264114000,644599000,288599000,741177000,799794000,874509000,913511000,878827000,897165000,889584000,974020000,1016800000,1016800000
