,https://roic.ai/company/BIPC,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1323000000,1561000000,1619000000,1430000000,1643000000
2,COGS,195000000,236000000,244000000,244000000,526000000
3,Gross Profit,1128000000,1325000000,1375000000,1186000000,1117000000
4,Gross Profit Ratio,0.8526,0.8488,0.8493,0.8294,0.6799
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,25000000,24000000,30000000,33000000,49000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",25000000,24000000,30000000,33000000,49000000
9,Other Expenses,263000000,319000000,308000000,283000000,- -
10,Operating Expenses,288000000,343000000,338000000,316000000,49000000
11,COGS and Expenses,483000000,579000000,582000000,560000000,575000000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),71000000,127000000,156000000,214000000,294000000
14,Depreciation and Amortization,263000000,319000000,308000000,283000000,236000000
15,EBITDA,717000000,882000000,933000000,214000000,567000000
16,EBITDA ratio,0.5420,0.5650,0.5763,0.1497,0.3451
17,Operating Income,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-87000000,-167000000,-195000000,-833000000,-636000000
20,Income Before Tax,753000000,815000000,842000000,37000000,432000000
21,Income Before Tax Ratio,0.5692,0.5221,0.5201,0.0259,0.2629
22,Income Tax expense (Gain),176000000,234000000,272000000,269000000,405000000
23,Net Income,207000000,202000000,197000000,-552000000,-368000000
24,Net Income ratio,0.1565,0.1294,0.1217,-0.3860,-0.2240
25,EPS,4.45,4.34,4.24,-12.28,-8.18
26,EPS Diluted,4.45,4.34,4.24,-12.28,-8.18
27,Weighted Average Shares Outstanding,46500000,46500000,46500000,44960449,44960449
28,Weighted Average Shares Outstanding Diluted,46500000,46500000,46500000,44960449,44960449
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,99000000,204000000,192000000,469000000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,99000000,204000000,192000000,469000000
34,Net Receivables,- -,328000000,356000000,345000000,1541000000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,14000000,34000000,49000000,- -
37,Total Current Assets,- -,441000000,594000000,586000000,2010000000
38,PP&E,- -,3677000000,4497000000,5111000000,4803000000
39,Goodwill,- -,691000000,667000000,528000000,489000000
40,Intangible Assets,- -,4267000000,3936000000,2948000000,2687000000
41,Intangible Assets,- -,4958000000,4603000000,3476000000,3176000000
42,Investments,- -,34000000,29000000,27000000,- -
43,Tax Assets,- -,44000000,41000000,43000000,97000000
44,Other Non-Current Assets,- -,86000000,89000000,101000000,- -
45,Total Non-Current Assets,- -,8799000000,9259000000,8758000000,8076000000
46,Other Assets,- -,- -,- -,- -,- -
