,https://roic.ai/company/RAND,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,170000,460000,590000,360000,240000,160000,260000,450000,760000,740000,14268930,5252881,1508395,202358,272568,739033,4532149,6463001,9194469,3804599,1307578,1008039,1111730,-624397,3040220,888179
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000,280000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,260000,450000,650000,460000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,0.8553,0.6216,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65042,55749,- -,- -,- -,- -,64490,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,730000,730000,720000,710000,600000,720000,710000,900000,780000,980000,583852,573064,800995,1017103,1621681,956515,583670,428310,536371,671594,909164,866273,883355,1351747,968699,578577
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,730000,730000,720000,710000,600000,720000,710000,900000,780000,980000,583852,573064,800995,1017103,1621681,956515,583670,428310,536371,671594,909164,866273,883355,1351747,968699,578577
9,Other Expenses,- -,40000,40000,40000,30000,30000,110000,150000,40000,10000,10000,416148,426936,- -,-72852,378319,1043485,1040792,1742711,1632337,838657,2181597,834429,999317,925447,- -,- -
10,Operating Expenses,- -,770000,770000,760000,740000,630000,830000,860000,940000,790000,990000,1000000,1000000,866037,1000000,2000000,2000000,1624462,2171021,2233198,1510251,3090761,1700702,1882672,2277194,968699,578577
11,COGS and Expenses,- -,770000,770000,760000,740000,630000,830000,860000,940000,900000,1270000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1326962,2302870,729626,585653,711751,758482,633863,804003,803836,713157,812292,1186077,1536354,1687096,2549727,- -
13,Interest Expense (Gain),- -,-2480000,-40000,-50000,-250000,1540000,3170000,-120000,-140000,-180000,-140000,472526,503062,522062,497475,574715,535638,171138,188231,266099,307028,310276,310275,311000,408039,416760,- -
14,Depreciation and Amortization,- -,- -,- -,- -,20000,10000,10000,10000,10000,20000,20000,27000,34000,52230,36218,39521,98193,64368,38758,28175,33051,33390,31433,29686,37295,37675,- -
15,EBITDA,- -,-5550000,-390000,-260000,-850000,2700000,5680000,-820000,-760000,-480000,-790000,13721798,4642058,983435,-616587,-88266,1694550,3143193,4518969,7255545,2634427,-1439517,-350955,-430256,-2456257,2525956,-2594012
16,EBITDA ratio,- -,-32.6471,-0.8478,-0.4407,-2.3611,11.2500,35.5000,-3.1538,-1.6889,-0.6316,-1.0676,0.9617,0.8837,0.6520,-3.0470,-0.3238,2.2929,0.6935,0.6992,0.7891,0.6924,-1.1009,-0.3482,-0.3870,3.9338,0.8308,-2.9206
17,Operating Income,- -,-600000,-310000,-160000,-380000,-390000,-670000,-600000,-490000,-140000,-530000,13222272,4104996,308902,-1150280,-1520628,- -,809021,91784,85178,1007058,-2369179,- -,- -,- -,1,-2594012
18,Operating Income ratio,- -,-3.5294,-0.6739,-0.2712,-1.0556,-1.6250,-4.1875,-2.3077,-1.0889,-0.1842,-0.7162,0.9266,0.7815,0.2048,-5.6844,-5.5789,- -,0.1785,0.0142,0.0093,0.2647,-1.8119,- -,- -,- -,0.0000,-2.9206
19,Total Other Income Expenses (Gains),- -,-2470000,-50000,-50000,-240000,1540000,3170000,-110000,-150000,-180000,-140000,- -,- -,- -,- -,818126,- -,2098666,4200196,6876093,1287290,585996,- -,- -,- -,2071520,- -
20,Income Before Tax,- -,-3070000,-360000,-210000,-620000,1150000,2500000,-710000,-640000,-320000,-670000,13222272,4104996,- -,-1150280,-702502,1060719,2907687,4291980,6961271,2294348,-1783183,-692663,-770942,-2901591,2071521,-2594012
21,Income Before Tax Ratio,- -,-18.0588,-0.7826,-0.3559,-1.7222,4.7917,15.6250,-2.7308,-1.4222,-0.4211,-0.9054,0.9266,0.7815,- -,-5.6844,-2.5773,1.4353,0.6416,0.6641,0.7571,0.6030,-1.3637,-0.6871,-0.6935,4.6470,0.6814,-2.9206
22,Income Tax expense (Gain),- -,-200000,-10000,-110000,10000,430000,860000,-280000,-290000,-110000,-260000,5055801,1385831,- -,-410860,-547439,-287584,967920,1418623,2419790,794129,-580500,18015,-376444,-611921,1327755,10896
23,Net Income,- -,-2870000,-340000,-100000,-630000,720000,1640000,-430000,-340000,-210000,-410000,8166471,2719165,409143,-739420,-155063,1348303,1939767,2873357,4541481,1500219,-1202683,-710678,-394498,-2289670,743766,-2604908
24,Net Income ratio,- -,-16.8824,-0.7391,-0.1695,-1.7500,3.0000,10.2500,-1.6538,-0.7556,-0.2763,-0.5541,0.5723,0.5177,0.2712,-3.6540,-0.5689,1.8244,0.4280,0.4446,0.4939,0.3943,-0.9198,-0.7050,-0.3549,3.6670,0.2446,-2.9329
25,EPS,- -,-0.68,-0.06,-0.02,-0.11,0.13,0.28,-0.07,-0.06,-0.04,-0.07,12.87,4.32,0.63,-1.08,-0.18,1.80,2.61,3.96,6.39,2.16,-1.71,-0.99,-0.54,-2.70,0.33,-1.01
26,EPS Diluted,- -,-0.68,-0.06,-0.02,-0.11,0.13,0.28,-0.07,-0.06,-0.04,-0.07,12.87,4.32,0.63,-1.08,-0.18,1.80,2.61,3.96,6.39,2.16,-1.71,-0.99,-0.54,-2.70,0.33,-1.01
27,Weighted Average Shares Outstanding,- -,4230000,5710000,5710000,5710000,5710000,5760000,5760000,5720000,5720000,5720000,635436,635436,635436,679452,757658,757658,752264,723708,710129,703170,702865,702442,702442,836891,2268356,2581679
28,Weighted Average Shares Outstanding Diluted,- -,4230000,5710000,5710000,5710000,5710000,5760000,5760000,5720000,5720000,5720000,635436,635436,635436,679452,757658,757658,752264,723708,710129,703170,702865,702442,702442,836891,2268356,2581679
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/81955/000095015205002690/0000950152-05-002690-index.htm,https://www.sec.gov/Archives/edgar/data/81955/000095015206002614/0000950152-06-002614-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/81955/000095015209003127/0000950152-09-003127-index.html,https://www.sec.gov/Archives/edgar/data/81955/000095012310025898/0000950123-10-025898-index.html,- -,https://www.sec.gov/Archives/edgar/data/81955/000119312512117544/0001193125-12-117544-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312513121952/0001193125-13-121952-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312514103657/0001193125-14-103657-index.htm,https://www.sec.gov/Archives/edgar/data/81955/000119312515091384/0001193125-15-091384-index.htm,https://www.sec.gov/Archives/edgar/data/81955/000119312516500139/0001193125-16-500139-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312517074789/0001193125-17-074789-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312518074224/0001193125-18-074224-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312519066380/0001193125-19-066380-index.html,https://www.sec.gov/Archives/edgar/data/81955/000149315220003569/0001493152-20-003569-index.html,https://www.sec.gov/Archives/edgar/data/81955/000119312521072292/0001193125-21-072292-index.htm,https://www.sec.gov/Archives/edgar/data/81955/000119312522068729/0001193125-22-068729-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1610000,3030000,3760000,1140000,300000,5940000,3090000,1250000,630000,1210000,4300000,4397000,2757653,9417236,11698653,4517985,4224763,9764810,13230717,5844795,12280140,6262039,4033792,25815720,20365415,833875
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30279873
33,Cash and Short-Term Investments,- -,1610000,3030000,3760000,1140000,300000,5940000,3090000,1250000,630000,1210000,4300000,4397000,2757653,9417236,11698653,4517985,4224763,9764810,13230717,5844795,12280140,6262039,4033792,25815720,20365415,31113748
34,Net Receivables,- -,100000,100000,70000,80000,140000,170000,280000,340000,270000,310000,507000,647000,1013888,1192118,1051848,83869,51856,1402797,1748309,1807961,1459464,271412,156960,399353,323886,128047
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-399353,-323886,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25815720,20365415,31241795
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6747,14558,11676,6523,2490,262,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,4080000,4140000,3390000,5320000,7130000,4010000,6080000,7240000,11040000,13370000,23650000,26528000,28126282,24296145,19364625,23931861,29779786,28348553,30305376,36832400,27500481,32284062,34666804,37020792,40048501,33788589
43,Tax Assets,- -,- -,- -,- -,- -,- -,150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181003
44,Other Non-Current Assets,- -,750000,1030000,1070000,1070000,660000,- -,110000,430000,570000,850000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33788589
