,https://roic.ai/company/ACRE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,6623000,33775000,63779000,84315000,45107000,46348000,55282000,77259000,78688000,102069000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,4569000,17262000,37817000,37069000,12198000,13296000,14295000,14577000,15544000,7177000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,4569000,17262000,37817000,37069000,12198000,13296000,14295000,14577000,15544000,7177000
9,Other Expenses,- -,1431000,6738000,-22817000,-23069000,1802000,1704000,1705000,25423000,- -,- -
10,Operating Expenses,- -,6000000,24000000,15000000,14000000,14000000,15000000,16000000,40000000,- -,7177000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,9278000,37600000,70495000,86337000,81963000,97541000,118284000,114784000,121052000,133631000
13,Interest Expense (Gain),- -,2655000,15330000,33637000,36342000,36856000,51193000,63002000,62583000,51949000,-50080000
14,Depreciation and Amortization,- -,- -,38000,160000,219000,167000,- -,- -,667000,892000,9895000
15,EBITDA,- -,3515000,29310000,57150000,72774000,77589000,81778000,102044000,100756000,75033000,20997000
16,EBITDA ratio,- -,0.5307,0.8678,0.8961,0.8631,1.7201,1.7644,1.8459,1.3041,0.9536,0.2057
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,860000,13942000,23573000,45248000,30681000,30610000,39042000,37506000,22192000,61182000
21,Income Before Tax Ratio,- -,0.1299,0.4128,0.3696,0.5367,0.6802,0.6604,0.7062,0.4855,0.2820,0.5994
22,Income Tax expense (Gain),- -,- -,176000,-1043000,1928000,230000,178000,446000,515000,352000,722000
23,Net Income,- -,860000,13766000,24396000,34285000,40336000,30407000,38596000,36991000,21840000,60460000
24,Net Income ratio,- -,0.1299,0.4076,0.3825,0.4066,0.8942,0.6561,0.6982,0.4788,0.2776,0.5923
25,EPS,- -,0.03,0.72,0.86,1.20,1.42,1.07,1.35,1.29,0.66,1.83
26,EPS Diluted,- -,0.03,0.72,0.85,1.20,1.41,1.07,1.35,1.28,0.66,1.82
27,Weighted Average Shares Outstanding,- -,6532706,18989500,28459309,28501897,28461853,28478237,28529439,28609282,32977462,32977462
28,Weighted Average Shares Outstanding Diluted,- -,6567309,19038152,28585022,28597568,28523306,28550945,28656660,28846641,33196508,33196508
