,https://roic.ai/company/TV,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,13311144500,8840717000,11495424500,14158484400,16808765400,17902520249,21581836000,21612121000,21559269000,23563213000,29314253000,32481041000,37931841000,41561526000,47972278000,52352501000,57856828000,62581541000,69290409000,73790711000,80118352000,88051829000,96287363000,94274235000,101282333000,101757181000,97361634000,103521800000
2,COGS,6627705000,5138464500,6439705000,7883023600,9549760500,9909711511,12052840000,12575482000,12418087000,12889063000,14833751000,14752396000,16182882000,18128007000,21556025000,23768369000,26294779000,28166280000,36795944000,39602423000,42908647000,47226544000,52377790000,53534553000,57839268000,59067362000,56989655000,59561500000
3,Gross Profit,6683439500,3702252500,5055719500,6275460800,7259004900,7992808738,9528996000,9036639000,9141182000,10674150000,14480502000,17728645000,21748959000,23433519000,26416253000,28584132000,31562049000,34415261000,32494465000,34188288000,37209705000,40825285000,43909573000,40739682000,43443065000,42689819000,40371979000,43960300000
4,Gross Profit Ratio,0.5021,0.4188,0.4398,0.4432,0.4319,0.4465,0.4415,0.4181,0.4240,0.4530,0.4940,0.5458,0.5734,0.5638,0.5507,0.5460,0.5455,0.5499,0.4690,0.4633,0.4644,0.4637,0.4560,0.4321,0.4289,0.4195,0.4147,0.4246
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,1444955000,1479931000,1355619000,1410043000,1646619000,1841428000,2304171000,2452027000,3058168000,3825507000,4602415000,5190621000,7748753000,8254042000,9674821000,12521033000,14107015000,13825418000,13941852000,13623128000,13248105000,13710800000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,1561791000,1636661000,1685546000,1692930000,2201043000,2665461000,3016828000,3277526000,3919163000,4672168000,4797700000,4972866000,6251773000,7280649000,8561911000,9716244000,10900695000,10554113000,11023466000,11099011000,10366582000,10460200000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,3006746000,3116592000,3041165000,3102973000,3847662000,4506889000,5320999000,5729553000,6977331000,8497675000,9400115000,10163487000,14000526000,15534691000,18236732000,22237277000,25007710000,24379531000,24965318000,24722139000,23614687000,24171000000
9,Other Expenses,4435257500,2857014000,4831353250,4388952800,4900990500,4389685781,1311655000,1407883000,1449687000,1525240000,2075004000,2418969000,2679066000,3223070000,4311115000,4929589000,6579325000,7429728000,-97511000,- -,- -,-205383000,- -,- -,148271000,- -,- -,- -
10,Operating Expenses,4435257500,2857014000,4831353250,4388952800,4900990500,4389685781,4318401000,4524475000,4490852000,4628213000,5922666000,6925858000,8000065000,8952623000,11288446000,13427264000,15979440000,17593215000,13903015000,15534691000,18236732000,22031894000,25007710000,24379531000,25113589000,24722139000,23614687000,24171000000
