,https://roic.ai/company/URG,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,7616000,29349000,41877000,27305000,38368000,23496000,32255000,8316000,16000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,3096000,17858000,29292000,15848000,24401000,12203000,30275000,12968000,7000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,4520000,11491000,12585000,11457000,13967000,11293000,1980000,-4652000,-6984000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.5935,0.3915,0.3005,0.4196,0.3640,0.4806,0.0614,-0.5594,-436.5000
5,Research and Development Exp.,- -,- -,- -,- -,6619523,5257231,3649973,4512823,18465000,10949000,8211000,5850000,6963000,4085000,3880000,- -,1922000
6,General and Administrative Exp.,- -,- -,- -,- -,5186210,4882431,- -,6138681,5592000,6541000,5715000,4740000,5090000,5393000,5801000,5200000,5328000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,5186210,4882431,- -,6138681,5592000,6541000,5715000,4740000,5090000,5393000,5801000,5200000,5328000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,2385000,497000,515000,534000,527000,508000,577000,3489000,2523000
10,Operating Expenses,- -,- -,- -,- -,11805733,10139662,- -,10651504,26442000,17987000,14441000,11124000,12580000,9986000,10258000,8689000,9773000
11,COGS and Expenses,1708153,5125169,9681368,21102628,16527562,14855125,15958552,13954025,29538000,35831000,43218000,26500000,36981000,22189000,40544000,12968000,16773000
12,Interest Income ,109080,540257,2843985,2049667,850840,351939,235647,309748,-6138000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,2699000,- -,- -,- -,1002000,668000,710000,733000
14,Depreciation and Amortization,- -,29905,76814,423285,502866,525957,465813,517006,537000,7643000,6504000,5144000,4890000,3603000,4413000,4263000,3834000
15,EBITDA,-2444068,-4897638,-6755210,-25062143,-13476407,-12446321,-15597687,-13051591,-29816000,1593000,2394000,2117000,4966000,9139000,-3337000,-9812000,-18371000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.9149,0.0543,0.0572,0.0775,0.1294,0.3890,-0.1035,-1.1799,-1148.1875
17,Operating Income,-1708153,-5170821,-11716394,-21337478,- -,- -,- -,-13954025,-23352000,-6979000,-1856000,271000,1387000,1307000,-8289000,-13341000,-16757000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,-Infinity,-3.0662,-0.2378,-0.0443,0.0099,0.0361,0.0556,-0.2570,-1.6043,-1047.3125
19,Total Other Income Expenses (Gains),844995,388283,2029666,6667318,-1714500,-1560336,36049,822330,-7001000,-1770000,-2254000,-3298000,-1311000,3227000,-129000,-1444000,-6181000
20,Income Before Tax,-863158,-4782538,-9686728,-14670160,-18242062,-16415462,-15922503,-13131695,-30353000,-8749000,-4110000,-3027000,76000,4534000,-8418000,-14785000,-22938000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.9854,-0.2981,-0.0981,-0.1109,0.0020,0.1930,-0.2610,-1.7779,-1433.6250
22,Income Tax expense (Gain),-238505,-440975,-2555791,- -,-351872,- -,- -,- -,- -,- -,-3315000,-17000,- -,- -,- -,- -,- -
23,Net Income,-624653,-4341563,-7130937,-14670160,-17890190,-16415462,-15922503,-13131695,-30353000,-8749000,-795000,-3010000,76000,4534000,-8418000,-14785000,-22938000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.9854,-0.2981,-0.0190,-0.1102,0.0020,0.1930,-0.2610,-1.7779,-1433.6250
25,EPS,-0.02,-0.08,-0.08,-0.16,-0.19,-0.17,-0.16,-0.11,-0.25,-0.07,-0.01,-0.02,0.00,0.03,-0.05,-0.09,-0.12
26,EPS Diluted,-0.02,-0.08,-0.08,-0.16,-0.19,-0.17,-0.16,-0.11,-0.25,-0.07,-0.01,-0.02,0.00,0.03,-0.05,-0.09,-0.12
27,Weighted Average Shares Outstanding,33354456,59463626,85564480,92996339,93857257,97341702,103467475,118521509,122231993,128781215,130056932,141999537,145818394,150034566,159903052,164257092,195691842
28,Weighted Average Shares Outstanding Diluted,33354456,59463626,85564480,92996339,93857257,97341702,103467475,118521509,122231993,128781215,130056932,141999537,147533966,151598180,159903052,164257092,195691842
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1375205/000155837015000251/0001558370-15-000251-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837016003622/0001558370-16-003622-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837017001345/0001558370-17-001345-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837018001465/0001558370-18-001465-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837019001434/0001558370-19-001434-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000155837020001802/0001558370-20-001802-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000165495421002132/0001654954-21-002132-index.htm,https://www.sec.gov/Archives/edgar/data/1375205/000165495422002811/0001654954-22-002811-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
