,https://roic.ai/company/IMPP,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,1931593,2963651,3435006,1143194,1855381,1069361,5659364,109972543,- -,- -,- -,- -,- -,- -,- -,13329640,20302052
2,COGS,793664,1429587,1290994,744061,1489383,985753,5128167,96792145,- -,- -,- -,- -,- -,- -,- -,13007695,19934391
3,Gross Profit,1137929,1534064,2144012,399133,365998,83608,531197,13180398,- -,- -,- -,- -,- -,- -,- -,321945,367661
4,Gross Profit Ratio,0.5891,0.5176,0.6242,0.3491,0.1973,0.0782,0.0939,0.1199,- -,- -,- -,- -,- -,- -,- -,0.0242,0.0181
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331408,219717
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",400498,577651,989514,1905298,758269,383101,1141281,4295830,- -,- -,- -,- -,- -,- -,- -,331408,219717
9,Other Expenses,233449,882630,781620,149637,276620,137043,193808,880014,- -,- -,- -,- -,- -,- -,- -,365515,503355
10,Operating Expenses,633947,1460281,1771134,2054935,1034889,520144,1335089,5175844,- -,- -,- -,- -,- -,- -,- -,696923,723072
11,COGS and Expenses,1427611,2889868,3062128,2798996,2524272,1505897,6463256,101967989,- -,- -,- -,- -,- -,- -,- -,13704618,20657463
12,Interest Income ,- -,- -,- -,- -,- -,2594,528,36524,- -,- -,- -,- -,- -,- -,- -,7229,108
13,Interest Expense (Gain),- -,- -,- -,- -,- -,1600431,437231,1685292,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,467690,1465074,1788350,984628,624120,383189,192524,880015,- -,- -,- -,- -,- -,- -,- -,8613177,8643920
15,EBITDA,-702828,-1230738,-1638374,-2259368,-1964739,12769063,-17188431,8995170,- -,- -,- -,- -,- -,- -,- -,8237993,8250159
16,EBITDA ratio,-0.3639,-0.4153,-0.4770,-1.9764,-1.0589,11.9408,-3.0372,0.0818,- -,- -,- -,- -,- -,- -,- -,0.6180,0.4064
17,Operating Income,503982,73783,372878,-1655802,-668891,-436536,-17080676,8004554,- -,- -,- -,- -,- -,- -,- -,-374978,-355411
18,Operating Income ratio,0.2609,0.0249,0.1086,-1.4484,-0.3605,-0.4082,-3.0181,0.0728,- -,- -,- -,- -,- -,- -,- -,-0.0281,-0.0175
19,Total Other Income Expenses (Gains),-1674500,-2769595,-3799602,-1588194,-1919968,11221979,-737510,-1574691,- -,- -,- -,- -,- -,- -,- -,-206,-38350
20,Income Before Tax,-1170518,-2695812,-3426724,-3243996,-2588859,10785443,-17818186,6429863,- -,- -,- -,- -,- -,- -,- -,-375184,-393761
21,Income Before Tax Ratio,-0.6060,-0.9096,-0.9976,-2.8377,-1.3953,10.0859,-3.1484,0.0585,- -,- -,- -,- -,- -,- -,- -,-0.0281,-0.0194
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,355000,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1170518,-2695812,-3426724,-3243996,-2588859,10785443,-17818186,6074863,- -,- -,- -,- -,- -,- -,- -,-375184,-393761
24,Net Income ratio,-0.6060,-0.9096,-0.9976,-2.8377,-1.3953,10.0859,-3.1484,0.0552,- -,- -,- -,- -,- -,- -,- -,-0.0281,-0.0194
25,EPS,-0.03,-0.06,-0.31,-0.28,-0.16,0.64,-0.99,0.23,- -,- -,- -,- -,- -,- -,- -,-0.01,-0.01
26,EPS Diluted,-0.03,-0.06,-0.31,-0.28,-0.16,0.64,-0.99,0.21,- -,- -,- -,- -,- -,- -,- -,-0.01,-0.01
27,Weighted Average Shares Outstanding,35648103,41860201,10946960,11487701,16289523,16694441,18003438,26493613,- -,- -,- -,- -,- -,- -,- -,39466518,39466518
28,Weighted Average Shares Outstanding Diluted,35648103,41860201,10946960,11487701,16289523,18313103,18003438,28395536,- -,- -,- -,- -,- -,- -,- -,39466518,39466518
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,588658,185872,69653,28525,900883,- -,- -,- -,- -,- -,- -,- -,8802847,6451524
32,Short-Term Investments,375000,- -,172346,200386,75906,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,375000,- -,172346,789044,261778,69653,28525,900883,- -,- -,- -,- -,- -,- -,- -,8802847,6451524
34,Net Receivables,411792,762044,498899,422958,883955,60651,121252,4900513,- -,- -,- -,- -,- -,- -,- -,181165,665875
35,Inventory,- -,- -,- -,- -,- -,- -,139350,1293171,- -,- -,- -,- -,- -,- -,- -,131476,835997
36,Other Current Assets,- -,52230,- -,- -,- -,- -,418186,1067573,- -,- -,- -,- -,- -,- -,- -,80284,1478562
37,Total Current Assets,786792,814274,671245,1212002,1145733,130304,707313,8162140,- -,- -,- -,- -,- -,- -,- -,9195772,9431958
38,PP&E,14880731,15420851,16749916,4295638,4881824,3008505,12217674,14158113,- -,- -,- -,- -,- -,- -,- -,136410967,128689447
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,208833,442756,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,208833,442756,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1115098,847154,663918,593646,246147,- -,- -,1771711,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,15995829,16268005,17413834,4889284,5127971,3008505,12426507,16372580,- -,- -,- -,- -,- -,- -,- -,136410967,128689447
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16782621,17082279,18085079,6101286,6273704,3138809,13133820,24534720,- -,- -,- -,- -,- -,- -,- -,145606739,138121405
48,Accounts Payable,1308057,1448630,2153531,1108977,1181963,471948,2896376,1307654,- -,- -,- -,- -,- -,- -,- -,523108,1192965
49,Short-Term Debt,1034870,962433,20024746,599873,13490568,528476,13806674,11702765,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,355000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,3493579,- -,- -,- -,- -,- -,- -,- -,1326392,1002594
52,Other Current Liabilities,561788,541001,399313,898776,1144769,839263,5777306,4591324,- -,- -,- -,- -,- -,- -,- -,75668,1863923
53,Total Current Liabilities,2904715,2952064,22577590,2607626,15817300,1839687,22480356,21095322,- -,- -,- -,- -,- -,- -,- -,1925168,4059482
54,Long-Term Debt,13338469,16090811,650000,10697000,- -,- -,5932495,2535243,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,230793,238166,285607,150682,349286,406562,439087,472855,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,13569262,16328977,935607,10847682,349286,406562,6371582,3008098,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,16473977,19281041,23513197,13455308,16166586,2246249,28851938,24103420,- -,- -,- -,- -,- -,- -,- -,1925168,4059482
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,239239,260787,67447,89788,101788,101788,134190,209431,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-8562935,-11539051,-14965775,-18209771,-20798631,-10013189,-27831379,-21756517,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,-69750,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,8632340,9079502,9539960,10759961,10803961,10803961,11979071,21978386,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,308644,-2198762,-5428118,-7354022,-9892882,892560,-15718118,431300,- -,- -,- -,- -,- -,- -,- -,143681571,134061923
68,Total Liabilities And Stockholders Equity,16782621,17082279,18085079,6101286,6273704,3138809,13133820,24534720,- -,- -,- -,- -,- -,- -,- -,145606739,138121405
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16782621,17082279,18085079,6101286,6273704,3138809,13133820,24534720,- -,- -,- -,- -,- -,- -,- -,145606739,138121405
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-1170518,-2695812,-3426724,-3243996,-2588859,10785443,-17818186,6074863,- -,- -,- -,- -,- -,- -,- -,-375184,-393761
74,Depreciation and Amortization,467690,1465074,1788350,984628,624120,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8613177,8643920
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,486508,348598,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,834179,-230466,925555,-469150,56585,-134941,434563,-4166500,- -,- -,- -,- -,- -,- -,- -,335463,617436
78,Accounts Receivable,- -,- -,- -,- -,- -,823304,19052,-4774182,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-87095,-1153821,- -,- -,- -,- -,- -,- -,- -,-70990,-704521
80,Accounts Payable,- -,- -,- -,- -,- -,-710015,149067,-1089912,- -,- -,- -,- -,- -,- -,- -,176237,618057
81,Other Working Capital,84392,- -,59086,392113,198604,-289720,-291214,-115066,- -,- -,- -,- -,- -,- -,- -,97847,-223798
82,Other Non-Cash Items,395557,125000,57500,242652,-79521,-12697388,16469308,1189541,- -,- -,- -,- -,- -,- -,- -,- -,- -
83,Cash Provided by Operating Activities,526908,-1336204,-655319,-2485866,-1987675,-2046886,-427807,3446502,- -,- -,- -,- -,- -,- -,- -,8573456,8867595
84,CAPEX,-11578191,-1692448,-2110685,-661166,-872806,-434407,-104843,-1190601,- -,- -,- -,- -,- -,- -,- -,- -,-728000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,32903,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-375000,- -,-120116,-28040,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,322770,- -,- -,124480,23406,52500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,178798,145977,- -,13696102,139520,15251261,64000,131784,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-11774393,-1223701,-2230801,13006896,-608806,14840260,44560,-1058817,- -,- -,- -,- -,- -,- -,- -,- -,-728000
90,Debt Repayment,- -,- -,- -,- -,- -,-12977093,-81832,-2462327,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,210000,240000,- -,140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,11037485,2319905,2886120,-10072372,2193695,15000,476451,947000,- -,- -,- -,- -,- -,- -,- -,-4168177,-9325887
95,Cash Used/Provided by Financing Activities,11247485,2559905,2886120,-9932372,2193695,-12962093,394619,-1515327,- -,- -,- -,- -,- -,- -,- -,-4168177,-9325887
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,11247485,2559905,2886120,-9932372,-402786,-168719,11372,872358,- -,- -,- -,- -,- -,- -,- -,4405279,-1186292
98,Cash at the End of Period,- -,- -,- -,588658,185872,17153,28525,900883,- -,- -,- -,- -,- -,- -,- -,8802847,7616555
99,Cash at the Beginning of Period,- -,- -,- -,- -,588658,185872,17153,28525,- -,- -,- -,- -,- -,- -,- -,4397568,8802847
100,Free Cash Flow,-11051283,-3028652,-2766004,-3147032,-2860481,-2481293,-532650,2255901,- -,- -,- -,- -,- -,- -,- -,8573456,8139595
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -
102,false,,,,,,,,,,,,,,,,,
