,https://roic.ai/company/ESTA,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,19801000,34681000,61208000,89565000,84676000,126682000
2,COGS,9705000,16979000,25090000,34704000,32174000,41278000
3,Gross Profit,10096000,17702000,36118000,54861000,52502000,85404000
4,Gross Profit Ratio,0.5099,0.5104,0.5901,0.6125,0.6200,0.6742
5,Research and Development Exp.,2740000,6864000,12687000,14991000,13793000,18315000
6,General and Administrative Exp.,- -,- -,47295000,70811000,66625000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,47295000,70811000,66625000,92229000
9,Other Expenses,23189000,30821000,- -,- -,- -,- -
10,Operating Expenses,25929000,37685000,59982000,85802000,80418000,110544000
11,COGS and Expenses,35634000,54664000,85072000,120506000,112592000,151822000
12,Interest Income ,44000,19000,16000,4000,15000,23000
13,Interest Expense (Gain),3413000,10420000,8814000,8696000,9373000,-9062000
14,Depreciation and Amortization,592000,1939000,2810000,3288000,3711000,3718000
15,EBITDA,-18020000,-22433000,-9259000,-25526000,-24933000,-47910000
16,EBITDA ratio,-0.9101,-0.6468,-0.1513,-0.2850,-0.2945,-0.3782
17,Operating Income,-15833000,-19983000,-23864000,-30941000,-27916000,-25140000
18,Operating Income ratio,-0.7996,-0.5762,-0.3899,-0.3455,-0.3297,-0.1984
19,Total Other Income Expenses (Gains),-6192000,-14809000,2981000,-6569000,-10101000,-14572000
20,Income Before Tax,-22025000,-34792000,-20883000,-37510000,-38017000,-39712000
21,Income Before Tax Ratio,-1.1123,-1.0032,-0.3412,-0.4188,-0.4490,-0.3135
22,Income Tax expense (Gain),134000,105000,215000,640000,104000,-1427000
23,Net Income,-22159000,-34897000,-21098000,-38150000,-38121000,-41139000
24,Net Income ratio,-1.1191,-1.0062,-0.3447,-0.4259,-0.4502,-0.3247
25,EPS,-1.20,-1.89,-1.22,-1.86,-1.63,-1.71
26,EPS Diluted,-1.20,-1.89,-1.22,-1.86,-1.63,-1.71
27,Weighted Average Shares Outstanding,18486660,18486660,17350705,20541528,23316102,24091546
28,Weighted Average Shares Outstanding Diluted,18486660,18486660,17350705,20541528,23316102,24091546
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1688757/000168875719000013/0001688757-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1688757/000168875720000015/0001688757-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1688757/000168875721000028/0001688757-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1688757/000168875722000019/0001688757-22-000019-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,479000,10864000,52639000,37655000,84523000,53415000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,479000,10864000,52639000,37655000,84523000,53415000
34,Net Receivables,6648000,13108000,17648000,22767000,19127000,24437000
35,Inventory,4800000,13173000,24845000,28660000,23210000,28407000
36,Other Current Assets,593000,2237000,4303000,6757000,5439000,7012000
37,Total Current Assets,12520000,39382000,99435000,95839000,132299000,113271000
38,PP&E,13230000,13500000,12913000,16418000,18812000,20864000
39,Goodwill,255000,465000,465000,465000,465000,465000
40,Intangible Assets,2099000,3401000,3445000,3441000,4148000,4371000
41,Intangible Assets,2354000,3866000,3910000,3906000,4613000,4836000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1458000,347000,315000,368000,664000,558000
45,Total Non-Current Assets,17042000,17713000,17138000,20692000,24089000,26258000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,29562000,57095000,116573000,116531000,156388000,139529000
48,Accounts Payable,7281000,9131000,6239000,10366000,9722000,14475000
49,Short-Term Debt,38149000,24088000,- -,258000,948000,51906000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,908000,785000,1214000,- -
52,Other Current Liabilities,9142000,24216000,9300000,11833000,14016000,-34492000
53,Total Current Liabilities,54572000,57435000,16447000,23242000,25900000,31889000
54,Long-Term Debt,- -,- -,22322000,48142000,49832000,3800000
55,Deferred Revenue,- -,- -,1186000,1344000,1860000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1425000,4673000,7133000,4189000,3835000,53101000
58,Total Non-Current Liabilities,1425000,4673000,30641000,53675000,55527000,56901000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,258000,2871000,- -
61,Total Liabilities,55997000,62108000,47088000,76917000,81427000,88790000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,7118000,41267000,145709000,147688000,213471000,- -
64,Retained Earnings,-32980000,-67877000,-88975000,-127125000,-165246000,-206385000
65,Other Comprehensive Income/Loss,- -,76000,449000,691000,2873000,3657000
66,Other Total Stockholders Equity,-573000,21521000,12302000,18360000,23863000,253467000
67,Total Stockholders Equity,-26435000,-5013000,69485000,39614000,74961000,50739000
68,Total Liabilities And Stockholders Equity,29562000,57095000,116573000,116531000,156388000,139529000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,29562000,57095000,116573000,116531000,156388000,139529000
