,https://roic.ai/company/CLGN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,75911,479917,4788381,2318000,6137000,15641000
2,COGS,- -,- -,- -,- -,- -,14961,378631,1879000,3002000,2005000
3,Gross Profit,- -,- -,- -,- -,75911,464956,4409750,439000,3135000,13636000
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,0.9688,0.9209,0.1894,0.5108,0.8718
5,Research and Development Exp.,3274678,3570424,2499788,3039199,4364634,4047071,5161701,4414000,4065000,7631000
6,General and Administrative Exp.,1282408,1010481,945061,1773976,2862268,2375417,3292178,3623000,4621000,- -
7,Selling and Marketing Exp.,66918,36181,42374,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1349326,1046662,987434,1773976,2862268,2375417,3292178,3623000,4621000,5940000
9,Other Expenses,16328,29289,15665,6404,9879,13523,21507,33000,48000,- -
10,Operating Expenses,4640331,4646375,3502888,4819580,7236781,6436011,8475386,8070000,8734000,13571000
11,COGS and Expenses,4640331,4646375,3502888,4819580,7236781,6450972,8854017,9949000,11736000,15576000
12,Interest Income ,27570,7179,8988,- -,- -,72793,438107,- -,40000,219000
13,Interest Expense (Gain),11777,7753,6420,13065,15858,21579,15135,63000,34000,- -
14,Depreciation and Amortization,326825,273080,205962,201862,224614,302106,390845,539000,660000,773000
15,EBITDA,-4285936,-4366116,-3287938,-4617718,-7010867,-5683911,-3281291,-10562000,-5080000,1010000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-92.3562,-11.8435,-0.6853,-4.5565,-0.8278,0.0646
17,Operating Income,-4640331,-4646375,-3502888,-4819580,-7160869,-5971055,-4065636,-7631000,-5599000,65000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-94.3322,-12.4418,-0.8491,-3.2921,-0.9123,0.0042
19,Total Other Income Expenses (Gains),41489,-82986,158452,42012,-90470,-36540,378365,-3533000,-175000,172000
20,Income Before Tax,-4598843,-4729361,-3344436,-4777568,-7251339,-6007596,-3687271,-11164000,-5774000,237000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-95.5240,-12.5180,-0.7700,-4.8162,-0.9409,0.0152
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-4598843,-4729361,-3344436,-4777568,-7251339,-6007596,-3687271,-11164000,-5774000,237000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-95.5240,-12.5180,-0.7700,-4.8162,-0.9409,0.0152
25,EPS,-0.03,-0.03,-0.01,-0.02,-0.07,-0.05,-0.02,-2.23,-0.84,- -
26,EPS Diluted,-0.03,-0.03,-0.01,-0.02,-0.07,-0.05,-0.02,-2.23,-0.84,- -
27,Weighted Average Shares Outstanding,128546048,156306705,241280958,254018556,100624945,133187048,219229229,4986381,6886955,- -
28,Weighted Average Shares Outstanding Diluted,128546048,156306705,241280958,254018556,100624945,133187048,219229229,4986381,6886955,- -
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1631487/000121390019005360/0001213900-19-005360-index.htm,https://www.sec.gov/Archives/edgar/data/1631487/000121390020008285/0001213900-20-008285-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6827566,2840832,1362055,987105,5126309,5327651,3791000,3333000,13148000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,30151000
33,Cash and Short-Term Investments,- -,6827566,2840832,1362055,987105,5126309,5327651,3791000,3333000,43299000
34,Net Receivables,- -,447380,355425,468535,949930,627230,741596,265000,911000,694000
35,Inventory,- -,- -,- -,- -,126605,201404,810366,888000,1262000,1081000
36,Other Current Assets,- -,48816,42117,361712,34056,494015,259413,96000,170000,13000
37,Total Current Assets,- -,7323762,3238374,2192302,2097697,6448958,7139026,5040000,5676000,45087000
38,PP&E,- -,706963,515418,669116,1041959,1030613,1400350,5544000,4902000,5681000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,498492,442997,440868,424011,418345,338006,- -,- -,- -
41,Intangible Assets,- -,498492,442997,440868,424011,418345,338006,- -,82000,243000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,163676,158195,163436,188478,171193,172057,168000,181000,213000
45,Total Non-Current Assets,- -,1369131,1116610,1273420,1654448,1620152,1910414,5712000,5165000,6137000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,8692893,4354983,3465722,3752145,8069110,9049440,10752000,10841000,51224000
48,Accounts Payable,- -,532950,421682,639400,1348984,840718,618926,833000,798000,1034000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,22304,479000,440000,519000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,965429,942000,207000,32000
52,Other Current Liabilities,- -,382771,258094,321237,420371,574289,628219,1203000,1943000,1429000
53,Total Current Liabilities,- -,915721,679776,960637,1769355,1415007,2234879,3457000,3388000,3014000
54,Long-Term Debt,- -,- -,- -,- -,- -,3636494,22304,3139000,2948000,3089000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,975254,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,641346,404247,1057299,68000,28000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,641346,4040741,2054856,3207000,2976000,3089000
59,Other Liabilities,- -,- -,- -,- -,1282691,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,3594000,3388000,3608000
61,Total Liabilities,- -,915721,679776,960637,2410700,5455749,4289735,6664000,6364000,6103000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,680258,619939,682693,833723,1438025,1517710,2368000,2933000,4664000
64,Retained Earnings,- -,-30496195,-30565778,-34221730,-41052098,-50173208,-49030853,-67260000,-73034000,-72797000
65,Other Comprehensive Income/Loss,- -,-1785212,-1789965,-1986341,-2217023,-2704857,-2838936,-969000,-969000,-969000
66,Other Total Stockholders Equity,- -,39378320,35411011,38030464,43776842,54053401,55111784,69949000,75547000,114223000
67,Total Stockholders Equity,- -,7777172,3675207,2505085,1341444,2613362,4759705,4088000,4477000,45121000
68,Total Liabilities And Stockholders Equity,- -,8692893,4354983,3465722,3752145,8069110,9049440,10752000,10841000,51224000
69,Minority Interest,- -,- -,- -,- -,0,- -,0,- -,- -,- -
70,Total Liabilities & Equity,- -,8692893,4354983,3465722,3752145,8069110,9049440,10752000,10841000,51224000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1631487/000121390019005360/0001213900-19-005360-index.htm,https://www.sec.gov/Archives/edgar/data/1631487/000121390020008285/0001213900-20-008285-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-4598843,-4729361,-3344436,-4777568,-7251339,-6007596,-3687271,-11164000,-5774000,237000
74,Depreciation and Amortization,326825,273080,205962,201862,224614,302106,390845,539000,660000,773000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
