,https://roic.ai/company/IWSY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4240000,8940000,9400000,16250000,18260000,16230000,9180000,9170000,10190000,8490000,6520000,6030000,5810000,5470000,3950000,5300000,4160000,4769000,3812000,4293000,4404000,3506000,- -
2,COGS,2420000,3720000,4230000,7200000,8300000,7380000,3110000,4040000,3330000,2550000,2210000,1980000,2000000,1390000,1200000,1090000,990000,1944000,1070000,991000,876000,643000,- -
3,Gross Profit,1820000,5220000,5170000,9050000,9960000,8850000,6070000,5130000,6860000,5940000,4310000,4050000,3810000,4080000,2750000,4210000,3170000,2825000,2742000,3302000,3528000,2863000,3537000
4,Gross Profit Ratio,0.4292,0.5839,0.5500,0.5569,0.5455,0.5453,0.6612,0.5594,0.6732,0.6996,0.6610,0.6716,0.6558,0.7459,0.6962,0.7943,0.7620,0.5924,0.7193,0.7692,0.8011,0.8166,Infinity
5,Research and Development Exp.,830000,1510000,1630000,2090000,2080000,1920000,2270000,2920000,3650000,3670000,2960000,2370000,2530000,2660000,3180000,3870000,4500000,4643000,5332000,5953000,7351000,7488000,5706000
6,General and Administrative Exp.,3230000,5090000,6290000,10750000,- -,- -,- -,- -,- -,- -,3553000,2433000,2546000,2327000,3430000,3378000,3818000,3437000,3722000,4192000,4285000,3614000,4102000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3937000,2936000
8,"Selling, General and Administrative Exp.",3230000,5090000,6290000,10750000,- -,- -,- -,- -,- -,- -,3553000,2433000,2546000,2327000,3430000,3378000,3818000,3437000,3722000,4192000,4285000,7551000,7038000
9,Other Expenses,990000,-797299,1972575,2622679,12009018,10851986,9325284,11469594,8432482,6769538,2879000,1800000,1579000,1436000,1899000,2253000,2645000,2955000,3150000,2884000,3622000,71000,- -
10,Operating Expenses,5050000,5802701,9892575,15462679,14089018,12771986,11595284,14389594,12082482,10439538,9392000,6603000,6655000,6423000,8509000,9501000,10963000,11035000,12204000,13029000,15258000,15110000,12744000
11,COGS and Expenses,7470000,11410000,13170000,22490000,22390000,20160000,12930000,16090000,15260000,12990000,12340000,9330000,9750000,7820000,9710000,10590000,11960000,12979000,13274000,14020000,16134000,15753000,12744000
12,Interest Income ,- -,- -,- -,185245,- -,- -,- -,53288,- -,- -,- -,- -,- -,- -,3000,1000,29000,7000,3000,43000,78000,90000,2000
13,Interest Expense (Gain),-200000,- -,844354,57840,652392,6960140,5172426,- -,564524,215155,19000,2116000,1123000,4851000,21000,4000,20000,16000,102000,425000,541000,- -,104000
14,Depreciation and Amortization,990000,1096484,1970125,2444749,1337222,7060737,5190994,599950,796849,486404,772000,98000,50000,28000,69000,125000,179000,164000,129000,68000,51000,71000,72000
15,EBITDA,-2640000,-2303516,-1305521,-3617411,-2740386,3340877,723420,-7760050,-4568627,-3978441,-4929000,-10426000,-3747000,1679000,-10080000,-9711000,-7711000,-8332000,-9275000,-16976000,-11947000,-11500000,-9207000
16,EBITDA ratio,-0.6226,-0.2577,-0.1389,-0.2226,-0.1501,0.2058,0.0788,-0.8462,-0.4483,-0.4686,-0.7560,-1.7290,-0.6449,0.3069,-2.5519,-1.8323,-1.8536,-1.7471,-2.4331,-3.9543,-2.7128,-3.2801,-Infinity
17,Operating Income,-3230000,-3042969,-3771017,-6233948,-4129772,-3920964,-4653813,-8797734,-5073082,-4497393,-5827000,-2553000,-2841000,-2343000,-5760000,-5287000,-7796000,-8210000,-9462000,-9727000,-11730000,-12247000,-9279000
18,Operating Income ratio,-0.7618,-0.3404,-0.4012,-0.3836,-0.2262,-0.2416,-0.5070,-0.9594,-0.4978,-0.5297,-0.8937,-0.4234,-0.4890,-0.4283,-1.4582,-0.9975,-1.8740,-1.7215,-2.4822,-2.2658,-2.6635,-3.4932,-Infinity
19,Total Other Income Expenses (Gains),-200000,-357031,-1518983,113948,-600228,-6749036,-4086187,2097734,-446918,-232607,87000,-10087000,-2079000,-857000,-4410000,-4553000,-124000,-302000,-44000,-466000,-809000,676000,2033000
20,Income Before Tax,-3430000,-3400000,-5290000,-6120000,-4730000,-10670000,-8740000,-6700000,-5520000,-4730000,-5740000,-12640000,-4920000,-3200000,-10170000,-9840000,-7920000,-8512000,-9506000,-10193000,-12539000,-11571000,-7246000
21,Income Before Tax Ratio,-0.8090,-0.3803,-0.5628,-0.3766,-0.2590,-0.6574,-0.9521,-0.7306,-0.5417,-0.5571,-0.8804,-2.0962,-0.8468,-0.5850,-2.5747,-1.8566,-1.9038,-1.7849,-2.4937,-2.3743,-2.8472,-3.3003,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,-190000,120000,60000,- -,- -,- -,- -,- -,- -,130000,-20000,20000,10000,30000,22000,21000,-7400000,11000,10000,7000
23,Net Income,-3430000,-3400000,-4120000,-5930000,-4850000,-10740000,-9640000,-8360000,-5930000,-4680000,-5720000,-12640000,-5050000,-3180000,-10190000,-9850000,-7940000,-8534000,-9527000,-10069000,-12550000,-11581000,-7253000
24,Net Income ratio,-0.8090,-0.3803,-0.4383,-0.3649,-0.2656,-0.6617,-1.0501,-0.9117,-0.5819,-0.5512,-0.8773,-2.0962,-0.8692,-0.5814,-2.5797,-1.8585,-1.9087,-1.7895,-2.4992,-2.3454,-2.8497,-3.3032,-Infinity
