,https://roic.ai/company/LUNG,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,20004000,32595000,32733000,48416000
2,COGS,7718000,10181000,11531000,12786000
3,Gross Profit,12286000,22414000,21202000,35630000
4,Gross Profit Ratio,0.6142,0.6877,0.6477,0.7359
5,Research and Development Exp.,6991000,6049000,7460000,13063000
6,General and Administrative Exp.,20347000,34203000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",20347000,34203000,- -,69871000
9,Other Expenses,- -,- -,46074000,- -
10,Operating Expenses,27338000,40252000,53534000,82934000
11,COGS and Expenses,35056000,50433000,65065000,95720000
12,Interest Income ,21000,432000,213000,400000
13,Interest Expense (Gain),2520000,2317000,3181000,829000
14,Depreciation and Amortization,270000,365000,483000,867000
15,EBITDA,-15677000,-17658000,-28354000,-46622000
16,EBITDA ratio,-0.7837,-0.5417,-0.8662,-0.9629
17,Operating Income,-15052000,-17838000,-32332000,-47304000
18,Operating Income ratio,-0.7524,-0.5473,-0.9877,-0.9770
19,Total Other Income Expenses (Gains),-3415000,-2502000,314000,-1014000
20,Income Before Tax,-18467000,-20340000,-32018000,-48318000
21,Income Before Tax Ratio,-0.9232,-0.6240,-0.9782,-0.9980
22,Income Tax expense (Gain),12000,363000,213000,343000
23,Net Income,-18479000,-20703000,-32231000,-48661000
24,Net Income ratio,-0.9238,-0.6352,-0.9847,-1.0051
25,EPS,-0.89,-1.14,-3.16,-1.35
26,EPS Diluted,-0.89,-1.14,-3.16,-1.35
27,Weighted Average Shares Outstanding,20708878,18092319,10184841,36129409
28,Weighted Average Shares Outstanding Diluted,20708878,18092319,10184841,36129409
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1127537/000112753721000008/0001127537-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1127537/000112753722000013/0001127537-22-000013-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,4124000,14767000,231561000,148480000
32,Short-Term Investments,- -,13580000,- -,31561000
33,Cash and Short-Term Investments,4124000,28347000,231561000,180041000
34,Net Receivables,3421000,5898000,4567000,6562000
35,Inventory,3320000,5612000,10741000,16285000
36,Other Current Assets,443000,1214000,3120000,5114000
37,Total Current Assets,11308000,41071000,249989000,208002000
38,PP&E,375000,7463000,10450000,12889000
39,Goodwill,2333000,2333000,2333000,2333000
