,https://roic.ai/company/LNTH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,356292000,288105000,283672000,301600000,293461000,301853000,331378000,343374000,347337000,339410000,425208000
2,COGS,261076000,212908000,206311000,176081000,157939000,164073000,169243000,168489000,172526000,200649000,237513000
3,Gross Profit,95216000,75197000,77361000,125519000,135522000,137780000,162135000,174885000,174811000,138761000,187695000
4,Gross Profit Ratio,0.2672,0.2610,0.2727,0.4162,0.4618,0.4564,0.4893,0.5093,0.5033,0.4088,0.4414
5,Research and Development Exp.,40945000,40604000,30459000,13673000,14358000,12203000,18125000,17071000,20018000,32788000,44966000
6,General and Administrative Exp.,32862000,32520000,33036000,37313000,43894000,38832000,49842000,50167000,61244000,69270000,150395000
7,Selling and Marketing Exp.,38689000,37437000,35227000,35116000,34740000,36542000,42315000,43159000,41888000,40901000,68422000
8,"Selling, General and Administrative Exp.",71551000,69957000,68263000,72429000,78634000,75374000,92157000,93326000,103132000,110171000,218817000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,112496000,110561000,98722000,86102000,92992000,87577000,110282000,110397000,123150000,142959000,263783000
11,COGS and Expenses,373572000,323469000,305033000,262183000,250931000,251650000,279525000,278886000,295676000,343608000,501296000
12,Interest Income ,333000,252000,104000,27000,24000,- -,- -,- -,686000,238000,45000
13,Interest Expense (Gain),37658000,42014000,42915000,42288000,38715000,26618000,18410000,17405000,13617000,9479000,7752000
14,Depreciation and Amortization,32762000,27402000,25155000,18251000,19651000,18263000,19231000,13929000,13379000,24689000,42288000
15,EBITDA,17244000,26860000,7529000,58173000,46588000,73175000,77280000,80882000,55623000,22689000,-24998000
16,EBITDA ratio,0.0484,0.0932,0.0265,0.1929,0.1588,0.2424,0.2332,0.2356,0.1601,0.0668,-0.0588
17,Operating Income,-17280000,-750000,-18891000,39417000,42530000,56588000,51853000,64488000,51661000,-4198000,-60825000
18,Operating Income ratio,-0.0485,-0.0026,-0.0666,0.1307,0.1449,0.1875,0.1565,0.1878,0.1487,-0.0124,-0.1430
19,Total Other Income Expenses (Gains),-35896000,-41806000,-41650000,-41783000,-54308000,-28294000,-12214000,-14940000,-23034000,-7281000,-14213000
20,Income Before Tax,-53176000,-42556000,-60541000,-2366000,-11778000,28294000,39639000,49548000,28627000,-11479000,-75038000
21,Income Before Tax Ratio,-0.1492,-0.1477,-0.2134,-0.0078,-0.0401,0.0937,0.1196,0.1443,0.0824,-0.0338,-0.1765
22,Income Tax expense (Gain),84082000,-555000,1014000,1195000,2968000,1532000,-83746000,9030000,-3040000,1994000,-3759000
23,Net Income,-137258000,-42001000,-61555000,-3561000,-14746000,26762000,123385000,40518000,31667000,-13473000,-71279000
