,https://roic.ai/company/TWOU,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,29733000,55879000,83127000,110239000,150194000,205864000,286752000,411769000,574671000,774533000,945682000
2,COGS,12300000,14926000,22718000,26858000,32047000,40982000,57376000,90493000,162160000,- -,269365000
3,Gross Profit,17433000,40953000,60409000,83381000,118147000,164882000,229376000,321276000,412511000,774533000,676317000
4,Gross Profit Ratio,0.5863,0.7329,0.7267,0.7564,0.7866,0.8009,0.7999,0.7802,0.7178,1.0000,0.7152
5,Research and Development Exp.,5117000,8299000,19472000,22621000,27211000,33283000,45926000,63812000,115473000,- -,179061000
6,General and Administrative Exp.,5104000,10342000,14840000,23420000,34123000,46021000,62665000,82989000,131020000,173526000,208598000
7,Selling and Marketing Exp.,32116000,45390000,54103000,65218000,82911000,106610000,150923000,221015000,342395000,390174000,456096000
8,"Selling, General and Administrative Exp.",37220000,55732000,68943000,88638000,117034000,152631000,213588000,304004000,473415000,563700000,664694000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,42337000,64031000,88415000,111259000,144245000,185914000,259514000,367816000,588888000,563700000,843755000
11,COGS and Expenses,54637000,78957000,111133000,138117000,176292000,226896000,316890000,458309000,751048000,953468000,1113120000
12,Interest Income ,45000,38000,53000,92000,167000,383000,371000,5173000,5800000,1354000,1475000
13,Interest Expense (Gain),19000,73000,27000,1213000,552000,35000,87000,108000,13419000,27317000,51222000
14,Depreciation and Amortization,1551000,2869000,4335000,5572000,7220000,9750000,19624000,32785000,69843000,96469000,108448000
15,EBITDA,-23308000,-20171000,-23591000,-22214000,-18961000,-10899000,-11009000,-10304000,-171820000,-92698000,-36292000
16,EBITDA ratio,-0.7839,-0.3610,-0.2838,-0.2015,-0.1262,-0.0529,-0.0384,-0.0250,-0.2990,-0.1197,-0.0384
17,Operating Income,-24904000,-23078000,-28006000,-27878000,-26098000,-21032000,-30138000,-46540000,-246756000,-178935000,-167438000
18,Operating Income ratio,-0.8376,-0.4130,-0.3369,-0.2529,-0.1738,-0.1022,-0.1051,-0.1130,-0.4294,-0.2310,-0.1771
19,Total Other Income Expenses (Gains),26000,-35000,53000,-1121000,-635000,348000,-582000,3343000,-8326000,-39063000,-28524000
20,Income Before Tax,-24878000,-23113000,-27953000,-28999000,-26733000,-20684000,-30720000,-43197000,-255082000,-217998000,-195962000
21,Income Before Tax Ratio,-0.8367,-0.4136,-0.3363,-0.2631,-0.1780,-0.1005,-0.1071,-0.1049,-0.4439,-0.2815,-0.2072
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-1297000,-4867000,-19860000,- -,-1196000
23,Net Income,-24878000,-23113000,-27953000,-28999000,-26733000,-20684000,-29423000,-38330000,-235222000,-216484000,-194766000
24,Net Income ratio,-0.8367,-0.4136,-0.3363,-0.2631,-0.1780,-0.1005,-0.1026,-0.0931,-0.4093,-0.2795,-0.2060
25,EPS,-0.82,-0.76,-0.92,-0.91,-0.63,-0.44,-0.60,-0.69,-3.83,-3.22,-2.90
26,EPS Diluted,-0.82,-0.76,-0.92,-0.91,-0.63,-0.44,-0.60,-0.69,-3.83,-3.22,-2.90
27,Weighted Average Shares Outstanding,30885803,30885803,30885803,32075107,42420356,46609751,49062611,55833492,61393666,67142976,67142976
28,Weighted Average Shares Outstanding Diluted,30885803,30885803,30885803,32075107,42420356,46609751,49062611,55833492,61393666,67142976,67142976
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1459417/000104746915001305/0001047469-15-001305-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746916010989/0001047469-16-010989-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746917000950/0001047469-17-000950-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000104746918001109/0001047469-18-001109-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000110465919010491/0001104659-19-010491-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941720000003/0001459417-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941721000003/0001459417-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1459417/000145941722000004/0001459417-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,25190000,7012000,86929000,183729000,168730000,223370000,449772000,170593000,500629000,232932000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,25000000,- -,- -,- -
33,Cash and Short-Term Investments,- -,25190000,7012000,86929000,183729000,168730000,223370000,474772000,170593000,500629000,232932000
34,Net Receivables,- -,248000,1835000,350000,975000,7860000,14174000,32636000,33655000,46663000,96726000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1321000,2344000,2709000,8203000,8108000,10509000,14272000,56700000,57590000,64194000
37,Total Current Assets,- -,26759000,11191000,89988000,192907000,184698000,248053000,521680000,260948000,604882000,393852000
38,PP&E,- -,4871000,5231000,6755000,8128000,15596000,49055000,52299000,101044000,52734000,125491000
39,Goodwill,- -,- -,- -,- -,- -,- -,71988000,61852000,418350000,415830000,824539000
40,Intangible Assets,- -,6608000,8904000,13155000,18121000,31867000,90761000,136605000,333075000,312770000,675523000
41,Intangible Assets,- -,6608000,8904000,13155000,18121000,31867000,162749000,198457000,751425000,728600000,1500062000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1639000,3326000,3141000,11885000,12159000,22205000,34918000,73413000,- -,89601000
45,Total Non-Current Assets,- -,13118000,17461000,23051000,38134000,59622000,234009000,285674000,925882000,781334000,1715154000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
