,https://roic.ai/company/RMHB,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,20000,- -,- -,24604,- -,- -,489850,1075476,- -,379238,205250
2,COGS,- -,- -,- -,15677,- -,- -,212460,1134636,- -,410818,741136
3,Gross Profit,20000,- -,- -,8927,- -,- -,277390,-59160,- -,-31580,-535886
4,Gross Profit Ratio,1.0000,- -,- -,0.3628,- -,- -,0.5663,-0.0550,- -,-0.0833,-2.6109
5,Research and Development Exp.,37844,-25000,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,117616,98940,7666,627344,- -,190000,3327310,2142984,- -,3689175,3098964
7,Selling and Marketing Exp.,- -,- -,- -,60845,- -,- -,- -,1340428,- -,833933,642324
8,"Selling, General and Administrative Exp.",117616,98940,7666,688189,- -,190000,3327310,3483412,- -,4523108,3741288
9,Other Expenses,292199,338299,280511,- -,- -,10000,1024350,- -,- -,- -,- -
10,Operating Expenses,447659,412239,288177,688189,- -,200000,4351660,3483412,- -,4523108,3741288
11,COGS and Expenses,447659,412239,288177,703866,- -,200000,4564120,4618048,- -,4933926,4482424
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),11223,12370,11700,10142,- -,-120000,-12698790,4091114,- -,1275693,877740
14,Depreciation and Amortization,292199,338299,280511,- -,- -,- -,- -,22122,- -,34423,36401
15,EBITDA,-135460,-73940,-7666,-755703,- -,-430000,-29322990,6438962,- -,-2045821,-4352653
16,EBITDA ratio,-6.7730,-Infinity,-Infinity,-30.7146,- -,-Infinity,-59.8612,5.9871,- -,-5.3946,-21.2066
17,Operating Income,-427659,-412239,-288177,-679262,- -,-200000,-4074270,-3708572,- -,-4554688,-4395240
18,Operating Income ratio,-21.3830,-Infinity,-Infinity,-27.6078,- -,-Infinity,-8.3174,-3.4483,- -,-12.0101,-21.4141
19,Total Other Income Expenses (Gains),-11223,-12370,-11700,-86583,- -,-110000,-12549930,6034298,- -,1198751,-875677
20,Income Before Tax,-438882,-424609,-299877,-765845,- -,-310000,-16624200,2325726,- -,-3355937,-5270917
21,Income Before Tax Ratio,-21.9441,-Infinity,-Infinity,-31.1268,- -,-Infinity,-33.9373,2.1625,- -,-8.8492,-25.6805
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-438882,-424609,-299877,-765845,- -,-310000,-16624200,2325726,- -,-3355937,-5266794
24,Net Income ratio,-21.9441,-Infinity,-Infinity,-31.1268,- -,-Infinity,-33.9373,2.1625,- -,-8.8492,-25.6604
25,EPS,-0.20,-0.20,-0.20,-0.09,- -,-0.03,-1.07,0.20,- -,-0.04,-0.05
26,EPS Diluted,-0.20,-0.20,-0.20,-0.09,- -,-0.03,-1.07,0.20,- -,-0.04,-0.05
27,Weighted Average Shares Outstanding,1528275,2115300,2171550,8974151,- -,10120000,15574520,23728591,- -,80285967,115143080
28,Weighted Average Shares Outstanding Diluted,1528275,2115300,2171550,8974151,- -,10120000,15574520,23728591,- -,80285967,115143080
29,SEC Link,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1670869/000166357716000330/0001663577-16-000330-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1670869/000166357720000201/0001663577-20-000201-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,132,- -,- -,130,- -,- -,95730,102255,91675,613686,68080
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,132,- -,- -,130,- -,- -,95730,102255,91675,613686,68080
34,Net Receivables,- -,- -,- -,- -,- -,- -,132200,20377,63268,17324,18162
35,Inventory,- -,- -,- -,- -,- -,- -,755470,290368,224695,146722,238035
36,Other Current Assets,- -,- -,- -,- -,- -,920000,988020,1716551,774338,388074,174726
37,Total Current Assets,132,- -,- -,130,- -,920000,1971420,2129551,1153976,1165806,499003
38,PP&E,438299,100000,13500,1560,- -,- -,14690,92208,48133,34280,19342
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,57301,- -,- -,- -,- -,- -,- -,13008
41,Intangible Assets,- -,- -,- -,57301,- -,- -,- -,- -,- -,148647,13008
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,33230,77256,26245,14606
45,Total Non-Current Assets,438299,100000,13500,58861,- -,- -,14690,125438,125389,209172,46956
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,438431,100000,13500,58991,- -,920000,1986110,2254989,1279365,1374978,545959
48,Accounts Payable,- -,12000,11858,57888,- -,10000,- -,130368,231429,308717,440788
49,Short-Term Debt,65000,77370,- -,120027,- -,270000,1314990,618230,1025630,704089,1038950
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,500000,- -,466300,445925
52,Other Current Liabilities,22500,9308,- -,160130,- -,690000,11848480,4979307,7326584,598427,1242647
53,Total Current Liabilities,87500,98678,11858,338045,- -,970000,13163470,6227905,8583643,2077533,3168310
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
