,https://roic.ai/company/FRPT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,43519461,63150776,86764112,116186372,133053517,156379210,193237462,245862054,318790000,425489000
2,COGS,22881333,35957835,44545637,61537230,72682634,83963292,103247223,131664713,185880000,263343000
3,Gross Profit,20638128,27192941,42218475,54649142,60370883,72415918,89990239,114197341,132910000,162146000
4,Gross Profit Ratio,0.4742,0.4306,0.4866,0.4704,0.4537,0.4631,0.4657,0.4645,0.4169,0.3811
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,48636167,58296814,62585833,75167168,94875776,114450263,134908000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,48636167,58296814,62585833,75167168,94875776,114450263,134908000,186809000
9,Other Expenses,35385319,39573617,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,35385319,39573617,48636167,58296814,62585833,75167168,94875776,114450263,134908000,186809000
11,COGS and Expenses,58266652,75531452,93181804,119834044,135268467,159130460,198122999,246114976,320788000,450152000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3533319,8737142,30550779,454567,698119,910492,296234,990741,1212000,2882000
14,Depreciation and Amortization,4728005,5945077,6424813,7573535,9887168,12692355,14068037,15921695,21125000,30468000
15,EBITDA,-10362398,-6973411,-321672,4374806,7490368,9415701,9080163,15673852,19214000,3813000
16,EBITDA ratio,-0.2381,-0.1104,-0.0037,0.0377,0.0563,0.0602,0.0470,0.0638,0.0603,0.0090
17,Operating Income,-14747191,-12380676,-6417692,-3647672,-2214950,-2751250,-4885537,-252922,-1998000,-24663000
18,Operating Income ratio,-0.3389,-0.1960,-0.0740,-0.0314,-0.0166,-0.0176,-0.0253,-0.0010,-0.0063,-0.0580
19,Total Other Income Expenses (Gains),-3876531,-9274954,-30879572,-5624,-879969,-1435896,-398571,-985662,-1125000,-2869000
20,Income Before Tax,-18623722,-21655630,-37297264,-3653296,-3094919,-4187146,-5284108,-1238584,-3123000,-27532000
21,Income Before Tax Ratio,-0.4279,-0.3429,-0.4299,-0.0314,-0.0233,-0.0268,-0.0273,-0.0050,-0.0098,-0.0647
22,Income Tax expense (Gain),32776,31525,41753,57516,65754,75195,77096,144151,65000,162000
23,Net Income,-18656498,-21687155,-37339017,-3710812,-3160673,-4262341,-5361204,-1382735,-3188000,-29699000
24,Net Income ratio,-0.4287,-0.3434,-0.4304,-0.0319,-0.0238,-0.0273,-0.0277,-0.0056,-0.0100,-0.0698
25,EPS,-1.28,-1.08,-9.63,-0.11,-0.09,-0.12,-0.15,-0.04,-0.08,-0.69
26,EPS Diluted,-1.28,-1.08,-9.63,-0.11,-0.09,-0.12,-0.15,-0.04,-0.08,-0.69
27,Weighted Average Shares Outstanding,20758325,19210610,13632042,33734655,33674416,34487239,35329170,35950117,39757660,42931000
28,Weighted Average Shares Outstanding Diluted,20758325,19210610,13632042,33734655,33674416,34487239,35329170,35950117,39757660,42931000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1611647/000156459015002285/frpt-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1611647/000156459016014697/0001564590-16-014697-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000156459017004284/0001564590-17-004284-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000156459018004715/0001564590-18-004715-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000156459019005508/0001564590-19-005508-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000156459020006185/0001564590-20-006185-index.html,https://www.sec.gov/Archives/edgar/data/1611647/000143774921003615/0001437749-21-003615-index.htm,https://www.sec.gov/Archives/edgar/data/1611647/000143774922004871/0001437749-22-004871-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,1633249,2444754,36259252,8029413,3908177,2184259,7554388,9471676,67247000,72788000
32,Short-Term Investments,- -,- -,- -,3250000,- -,- -,- -,- -,27894000,- -
33,Cash and Short-Term Investments,1633249,2444754,36259252,11279413,3908177,2184259,7554388,9471676,95141000,72788000
34,Net Receivables,2778477,3497596,5360400,7030719,8886790,12721521,12326703,18580840,18438000,34780000
35,Inventory,3823929,5512225,7314151,6853447,5402735,10118394,9317232,12542269,19119000,35574000
36,Other Current Assets,144256,173786,1291379,229631,1045651,1933794,1759782,13728982,-23602000,7183000
37,Total Current Assets,8379911,11628361,50225182,25393210,19243353,26957968,30958105,54323767,109096000,150325000
38,PP&E,33173751,48764032,57825961,82793007,101493080,100598639,102094248,174441831,288939000,594559000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,27894000,25856000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2540562,2224831,4410717,4911357,5714783,6343727,6912505,7359989,8459000,13670000
45,Total Non-Current Assets,35714313,50988863,62236678,87704364,107207863,106942366,109006753,181801820,325292000,634085000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,44094224,62617224,112461860,113097574,126451216,133900334,139964858,236125587,434388000,784410000
48,Accounts Payable,9206274,6286720,5423905,6668643,6884155,9173169,9166412,18667729,16452000,42612000
49,Short-Term Debt,- -,- -,- -,- -,7000000,- -,- -,1185058,1298000,1384000
50,Tax Payable,- -,- -,155000,45886,45886,172711,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2284212,1907481,2938316,2478871,4784530,7519348,9050551,22132928,15371000,14950000
53,Total Current Liabilities,11490486,8194201,8362221,9147514,18668685,16692517,18216963,41985715,33121000,58946000
54,Long-Term Debt,44056928,76112312,- -,- -,- -,- -,- -,54466099,- -,5710000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2734647,8176810,706940,- -,- -,304839,273420,8409252,7098000,- -
58,Total Non-Current Liabilities,46791575,84289122,706940,- -,- -,304839,273420,62875351,7098000,5710000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,9594310,8396000,7094000
61,Total Liabilities,58282061,92483323,9069161,9147514,18668685,16997356,18490383,104861066,40219000,64656000
62,Preferred Stock,87615785,101191939,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10413,10421,33468,33537,33961,35132,35556,36162,41000,43000
64,Retained Earnings,-125831479,-147518634,-184857651,-188568463,-191729136,-195991478,-201352682,-202735417,-205924000,-235623000
65,Other Comprehensive Income/Loss,-16412689,-21204082,-24338575,-30890306,-39576929,76129,-31610,-79170,-80000,-120000
66,Other Total Stockholders Equity,40430133,37654257,312555457,323375292,339054635,312783195,322823211,334042946,600132000,- -
67,Total Stockholders Equity,-14187837,-29866099,103392699,103950060,107782531,116902978,121474475,131264521,394169000,719754000
68,Total Liabilities And Stockholders Equity,44094224,62617224,112461860,113097574,126451216,133900334,139964858,236125587,434388000,784410000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
