,https://roic.ai/company/FTDR,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,917000000,1020000000,1157000000,1259000000,1365000000,1475000000,1602000000
2,COGS,467000000,526000000,589000000,686000000,687000000,758000000,818000000
3,Gross Profit,450000000,494000000,568000000,573000000,678000000,717000000,784000000
4,Gross Profit Ratio,0.4907,0.4843,0.4909,0.4551,0.4967,0.4861,0.4894
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,256000000,286000000,312000000,338000000,- -,- -,- -
8,"Selling, General and Administrative Exp.",256000000,286000000,312000000,338000000,392000000,467000000,511000000
9,Other Expenses,9000000,14000000,17000000,20000000,24000000,34000000,35000000
10,Operating Expenses,265000000,300000000,329000000,358000000,416000000,501000000,546000000
11,COGS and Expenses,732000000,826000000,918000000,1044000000,1103000000,1259000000,1364000000
12,Interest Income ,- -,2000000,3000000,2000000,6000000,- -,1000000
13,Interest Expense (Gain),- -,- -,1000000,23000000,62000000,58000000,39000000
14,Depreciation and Amortization,9000000,14000000,17000000,20000000,24000000,34000000,35000000
15,EBITDA,198000000,209000000,238000000,210000000,290000000,241000000,241000000
16,EBITDA ratio,0.2159,0.2049,0.2057,0.1668,0.2125,0.1634,0.1504
17,Operating Income,185000000,194000000,239000000,214000000,262000000,215000000,168000000
18,Operating Income ratio,0.2017,0.1902,0.2066,0.1700,0.1919,0.1458,0.1049
19,Total Other Income Expenses (Gains),4000000,2000000,-19000000,-48000000,-58000000,-66000000,- -
20,Income Before Tax,189000000,196000000,220000000,166000000,204000000,149000000,168000000
21,Income Before Tax Ratio,0.2061,0.1922,0.1901,0.1319,0.1495,0.1010,0.1049
22,Income Tax expense (Gain),69000000,71000000,60000000,42000000,51000000,37000000,39000000
23,Net Income,120000000,124000000,160000000,125000000,153000000,112000000,128000000
24,Net Income ratio,0.1309,0.1216,0.1383,0.0993,0.1121,0.0759,0.0799
25,EPS,1.42,1.47,1.46,1.47,1.81,1.32,1.50
26,EPS Diluted,1.42,1.46,1.45,1.47,1.80,1.31,1.49
27,Weighted Average Shares Outstanding,84300000,84500000,84300000,84500000,84700000,85200000,85500000
