,https://roic.ai/company/ICE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2711000,66863000,125490000,93746000,108414000,155865000,313799000,574293000,813078000,994788000,1149944000,1327491000,1362965000,1795000000,4221000000,4682000000,5958000000,5834000000,6276000000,6547000000,8244000000,9168000000
2,COGS,- -,- -,- -,- -,1279000,- -,70184000,126149000,189497000,41696000,42593000,250601000,251152000,452000000,1721000000,1955000000,2404000000,2142000000,2291000000,2387000000,3945000000,4150000000
3,Gross Profit,- -,- -,- -,- -,107135000,- -,243615000,448144000,623581000,953092000,1107351000,1076890000,1111813000,1343000000,2500000000,2727000000,3554000000,3692000000,3985000000,4160000000,4299000000,5018000000
4,Gross Profit Ratio,- -,- -,- -,- -,0.9882,- -,0.7763,0.7803,0.7669,0.9581,0.9630,0.8112,0.8157,0.7482,0.5923,0.5824,0.5965,0.6328,0.6350,0.6354,0.5215,0.5473
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1493000,9571000,17919000,12398000,- -,- -,- -,- -,- -,329116000,333893000,135681000,134937000,227000000,590000000,515000000,697000000,742000000,782000000,823000000,410000000,458000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1493000,9571000,17919000,12398000,- -,- -,- -,- -,- -,329116000,333893000,135681000,134937000,227000000,590000000,515000000,697000000,742000000,782000000,823000000,410000000,458000000
9,Other Expenses,7651000,30362000,- -,- -,74741000,- -,38980000,83460000,130047000,111357000,121209000,132252000,130502000,161000000,333000000,374000000,610000000,535000000,586000000,662000000,751000000,1009000000
10,Operating Expenses,9144000,39933000,- -,- -,74741000,- -,38980000,83460000,130047000,440473000,455102000,267933000,265439000,388000000,923000000,889000000,1307000000,1277000000,1368000000,1485000000,1161000000,1467000000
11,COGS and Expenses,9144000,39933000,74537000,74828000,76020000,99660000,109164000,209609000,319544000,482169000,497695000,518534000,516591000,840000000,2644000000,2844000000,3711000000,3419000000,3659000000,3872000000,5106000000,5617000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,1961000,2313000,3012000,1626000,3000000,- -,- -,- -,- -,22000000,35000000,10000000,1000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,22922000,29765000,36097000,38902000,56000000,96000000,97000000,178000000,187000000,244000000,285000000,357000000,423000000
14,Depreciation and Amortization,1220000,7052000,14368000,19346000,17406000,16846000,13861000,33399000,63891000,111357000,121209000,132252000,130502000,161000000,333000000,374000000,610000000,535000000,586000000,662000000,751000000,1009000000
15,EBITDA,-5213000,33597000,66813000,39212000,51128000,76841000,226404000,391833000,537387000,629818000,751647000,915520000,948935000,701000000,1812000000,2103000000,2790000000,3211000000,3318000000,3401000000,3855000000,7119000000
16,EBITDA ratio,-1.9229,0.5025,0.5324,0.4183,0.4716,0.4930,0.7215,0.6823,0.6609,0.6331,0.6536,0.6897,0.6962,0.3905,0.4293,0.4492,0.4683,0.5504,0.5287,0.5195,0.4676,0.7765
17,Operating Income,-6433000,26930000,50953000,18918000,32394000,56205000,204635000,353563000,493534000,512619000,652249000,793333000,827015000,790000000,1448000000,1750000000,2167000000,2379000000,2583000000,2673000000,3033000000,3449000000
18,Operating Income ratio,-2.3729,0.4028,0.4060,0.2018,0.2988,0.3606,0.6521,0.6156,0.6070,0.5153,0.5672,0.5976,0.6068,0.4401,0.3430,0.3738,0.3637,0.4078,0.4116,0.4083,0.3679,0.3762
19,Total Other Income Expenses (Gains),- -,-385000,1492000,948000,1328000,3790000,7908000,4871000,-20038000,-18914000,-42107000,-34094000,-37323000,-290000000,-41000000,-97000000,-138000000,138000000,-63000000,-192000000,-267000000,2249000000
20,Income Before Tax,- -,26545000,52445000,19866000,33722000,59995000,212543000,358434000,473496000,493705000,610142000,759239000,789692000,500000000,1407000000,1653000000,2029000000,2517000000,2520000000,2481000000,2766000000,5698000000
21,Income Before Tax Ratio,- -,0.3970,0.4179,0.2119,0.3110,0.3849,0.6773,0.6241,0.5824,0.4963,0.5306,0.5719,0.5794,0.2786,0.3333,0.3531,0.3406,0.4314,0.4015,0.3790,0.3355,0.6215
22,Income Tax expense (Gain),- -,10748000,17739000,6489000,11773000,19585000,69275000,117822000,172524000,179551000,202375000,237498000,227955000,230000000,402000000,358000000,580000000,-25000000,500000000,521000000,658000000,1629000000
23,Net Income,- -,15797000,34706000,13377000,21949000,40410000,143268000,240612000,300972000,315988000,398298000,509673000,551576000,254000000,981000000,1274000000,1422000000,2514000000,1988000000,1933000000,2089000000,4058000000
24,Net Income ratio,- -,0.2363,0.2766,0.1427,0.2025,0.2593,0.4566,0.4190,0.3702,0.3176,0.3464,0.3839,0.4047,0.1415,0.2324,0.2721,0.2387,0.4309,0.3168,0.2952,0.2534,0.4426
25,EPS,- -,0.05,0.07,0.07,0.34,-0.08,0.51,0.70,0.85,0.87,1.08,1.39,1.52,0.65,1.72,2.29,2.39,4.27,3.46,3.44,3.79,7.23
26,EPS Diluted,- -,0.05,0.07,0.07,0.33,-0.08,0.48,0.68,0.83,0.85,1.07,1.38,1.50,0.64,1.71,2.28,2.37,4.23,3.43,3.42,3.77,7.19
27,Weighted Average Shares Outstanding,148893360,148893360,271963010,271645000,264325000,266090000,282370000,344925000,355920000,364925000,368120000,365725000,363560000,390000000,570000000,555000000,595000000,589000000,575000000,561000000,552000000,563000000
28,Weighted Average Shares Outstanding Diluted,148893360,149368945,274250475,273198750,265310000,266090000,297995000,354900000,360820000,370450000,372380000,369475000,366830000,395000000,575000000,560000000,599000000,594000000,579000000,565000000,555000000,566000000
