,https://roic.ai/company/MCK,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,13189100000,13716400000,12886700000,20857300000,30382300000,36734200000,42010000000,50006000000,57120800000,69506100000,80514600000,88050000000,92977000000,101703000000,106632000000,108702000000,112084000000,122734000000,122455000000,137609000000,179045000000,190884000000,198533000000,208357000000,214319000000,231051000000,238228000000
2,COGS,12025400000,12498100000,11777600000,19248800000,27517400000,34210500000,39579000000,47209100000,54018300000,66257900000,77049900000,84188000000,88645000000,96694000000,101254000000,103026000000,106114000000,116167000000,115471000000,129300000000,167634000000,179468000000,187262000000,197173000000,202565000000,219028000000,226080000000
3,Gross Profit,1163700000,1218300000,1109100000,1608500000,2864900000,2523700000,2431000000,2796900000,3102500000,3248200000,3464700000,3862000000,4332000000,5009000000,5378000000,5676000000,5970000000,6567000000,6984000000,8309000000,11411000000,11416000000,11271000000,11184000000,11754000000,12023000000,12148000000
4,Gross Profit Ratio,0.0882,0.0888,0.0861,0.0771,0.0943,0.0687,0.0579,0.0559,0.0543,0.0467,0.0430,0.0439,0.0466,0.0493,0.0504,0.0522,0.0533,0.0535,0.0570,0.0604,0.0637,0.0598,0.0568,0.0537,0.0548,0.0520,0.0510
5,Research and Development Exp.,- -,- -,- -,- -,114700000,112600000,147500000,135100000,149400000,172700000,182000000,223000000,284000000,347000000,364000000,376000000,407000000,440000000,480000000,456000000,392000000,392000000,341000000,125000000,71000000,96000000,- -
6,General and Administrative Exp.,1124000000,872900000,944500000,1159100000,2218700000,2051600000,2075500000,1946200000,2023200000,2092100000,2273200000,2480000000,2790000000,3189000000,3075000000,2566000000,2762000000,3065000000,2351000000,5418000000,7901000000,7276000000,7466000000,8138000000,8403000000,9168000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,743000000,746000000,767000000,764000000,1847000000,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1124000000,872900000,944500000,1159100000,2218700000,2051600000,2075500000,1946200000,2023200000,2092100000,2273200000,2480000000,2790000000,3189000000,3818000000,3312000000,3529000000,3829000000,4198000000,5418000000,7901000000,7276000000,7466000000,8138000000,8403000000,9168000000,8849000000
9,Other Expenses,69800000,71300000,71800000,87200000,199300000,201300000,111600000,22000000,- -,- -,1200000000,45000000,-6000000,-5000000,- -,-20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1193800000,944200000,1016300000,1246300000,2532700000,2365500000,2334600000,2103300000,2172600000,2264800000,3655200000,2748000000,3068000000,3531000000,4182000000,3668000000,3936000000,4269000000,4678000000,5874000000,8293000000,7668000000,7807000000,8263000000,8474000000,9264000000,8849000000
11,COGS and Expenses,13219200000,13442300000,12793900000,20495100000,30050100000,36576000000,41913600000,49312400000,56190900000,68522700000,80705100000,86936000000,91713000000,100225000000,105436000000,106694000000,110050000000,120436000000,120149000000,135174000000,175927000000,187136000000,195069000000,205436000000,211039000000,228292000000,234929000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,22000000,23000000,20000000,18000000,29000000,48000000,39000000,49000000,12000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000000,187000000,222000000,251000000,240000000,303000000,374000000,353000000,308000000,283000000,264000000,249000000,217000000
14,Depreciation and Amortization,69800000,71300000,71800000,87200000,199300000,201300000,246100000,207500000,203700000,232100000,250900000,266000000,295000000,371000000,441000000,474000000,139000000,551000000,591000000,704000000,1017000000,885000000,910000000,951000000,949000000,922000000,887000000
15,EBITDA,585800000,295400000,237000000,340700000,401300000,1047300000,250100000,808700000,1052400000,1143500000,11100000,1438000000,1537000000,1829000000,1649000000,2525000000,2068000000,2721000000,2750000000,3012000000,3682000000,4404000000,7902000000,1248000000,1603000000,2089000000,-4130000000
16,EBITDA ratio,0.0444,0.0215,0.0184,0.0163,0.0132,0.0285,0.0060,0.0162,0.0184,0.0165,0.0001,0.0163,0.0165,0.0180,0.0155,0.0232,0.0185,0.0222,0.0225,0.0219,0.0206,0.0231,0.0398,0.0060,0.0075,0.0090,-0.0173
17,Operating Income,-30100000,274100000,92800000,362200000,332200000,158200000,96400000,693600000,929900000,983400000,-190500000,1114000000,1264000000,1478000000,1196000000,2008000000,1821000000,2149000000,2315000000,2367000000,2968000000,3545000000,7109000000,762000000,886000000,2489000000,-5040000000
18,Operating Income ratio,-0.0023,0.0200,0.0072,0.0174,0.0109,0.0043,0.0023,0.0139,0.0163,0.0141,-0.0024,0.0127,0.0136,0.0145,0.0112,0.0185,0.0162,0.0175,0.0189,0.0172,0.0166,0.0186,0.0358,0.0037,0.0041,0.0108,-0.0212
19,Total Other Income Expenses (Gains),-51600000,-50000000,-56400000,-108700000,-130200000,148700000,-86800000,-92400000,-74500000,-72000000,-49300000,44000000,33000000,-21000000,-132000000,-144000000,-186000000,-230000000,-396000000,-271000000,-311000000,-295000000,-218000000,-523000000,-276000000,-1345000000,6000000
20,Income Before Tax,-81700000,224100000,36400000,253500000,202000000,306900000,9600000,601200000,855400000,911400000,-239800000,1158000000,1297000000,1457000000,1064000000,1864000000,1635000000,1919000000,1919000000,2096000000,2657000000,3250000000,6891000000,239000000,610000000,1144000000,-5034000000
21,Income Before Tax Ratio,-0.0062,0.0163,0.0028,0.0122,0.0066,0.0084,0.0002,0.0120,0.0150,0.0131,-0.0030,0.0132,0.0139,0.0143,0.0100,0.0171,0.0146,0.0156,0.0157,0.0152,0.0148,0.0170,0.0347,0.0011,0.0028,0.0050,-0.0211
