,https://roic.ai/company/EAR,2017,2018,2019,2020
0,INCOME STATEMENT, , , , 
1,Revenue,6620000,23163000,32790000,69154000
2,COGS,4467000,11423000,15790000,21873000
3,Gross Profit,2153000,11740000,17000000,47281000
4,Gross Profit Ratio,0.3252,0.5068,0.5185,0.6837
5,Research and Development Exp.,5449000,9520000,12841000,12045000
6,General and Administrative Exp.,5774000,8251000,12470000,20582000
7,Selling and Marketing Exp.,9269000,25540000,35725000,49525000
8,"Selling, General and Administrative Exp.",15043000,33791000,48195000,70107000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,20492000,43311000,61036000,82152000
11,COGS and Expenses,24959000,54734000,76826000,104025000
12,Interest Income ,35000,164000,627000,37000
13,Interest Expense (Gain),1783000,424000,711000,1920000
14,Depreciation and Amortization,371000,695000,1528000,2525000
15,EBITDA,-22462000,-32674000,-42247000,-35410000
16,EBITDA ratio,-3.3931,-1.4106,-1.2884,-0.5120
17,Operating Income,-18339000,-31571000,-44036000,-34871000
18,Operating Income ratio,-2.7702,-1.3630,-1.3430,-0.5043
19,Total Other Income Expenses (Gains),-6277000,-2222000,-450000,-4984000
20,Income Before Tax,-24616000,-33793000,-44486000,-39855000
21,Income Before Tax Ratio,-3.7184,-1.4589,-1.3567,-0.5763
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-24616000,-33793000,-44486000,-39855000
24,Net Income ratio,-3.7184,-1.4589,-1.3567,-0.5763
25,EPS,-1.76,-2.25,-3.17,-3.80
26,EPS Diluted,-1.76,-2.25,-3.17,-3.80
27,Weighted Average Shares Outstanding,13961203,15020276,13961203,7890375
28,Weighted Average Shares Outstanding Diluted,13961203,15020276,13961203,7890375
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1719395/000156459021013613/0001564590-21-013613-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,51051000,13384000,212185000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,51051000,13384000,212185000
34,Net Receivables,- -,965000,2051000,3793000
35,Inventory,- -,2160000,2880000,2739000
