,https://roic.ai/company/WSC,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,453335000,- -,445942000,751412000,1063665000,1367645000,1894897000
2,COGS,290395000,- -,280372000,462028000,650352000,707672000,926689000
3,Gross Profit,162940000,- -,165570000,289384000,413313000,659973000,968208000
4,Gross Profit Ratio,0.3594,- -,0.3713,0.3851,0.3886,0.4826,0.5110
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,139355000,688567,162351000,254871000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",139355000,688567,162351000,254871000,271004000,360626000,511446000
9,Other Expenses,22675000,- -,11480000,8730000,10195000,41531000,79810000
10,Operating Expenses,162030000,688567,173831000,263601000,281199000,402157000,591256000
11,COGS and Expenses,452425000,688567,454203000,725629000,931551000,1109829000,1517945000
12,Interest Income ,9778000,1251227,12232000,- -,- -,- -,- -
13,Interest Expense (Gain),92028000,- -,119308000,70281000,122504000,119886000,117987000
14,Depreciation and Amortization,136892000,- -,107876000,136467000,189436000,246948000,315567000
15,EBITDA,123264000,-688567,78546000,119108000,298627000,386049000,643244000
16,EBITDA ratio,0.2719,-Infinity,0.1761,0.1585,0.2808,0.2823,0.3395
17,Operating Income,-20772000,-688567,-58322000,6261000,117525000,182715000,360273000
18,Operating Income ratio,-0.0458,-Infinity,-0.1308,0.0083,0.1105,0.1336,0.1901
19,Total Other Income Expenses (Gains),-82250000,1251227,-107076000,-98433000,-131259000,-162287000,-150583000
20,Income Before Tax,-103022000,562660,-165398000,-92172000,-13734000,20428000,209690000
21,Income Before Tax Ratio,-0.2273,Infinity,-0.3709,-0.1227,-0.0129,0.0149,0.1107
22,Income Tax expense (Gain),-34069000,- -,-936000,-38600000,-2191000,-51451000,49546000
23,Net Income,-71587000,562660,-147702000,-49040000,-11122000,70666000,160144000
24,Net Income ratio,-0.1579,Infinity,-0.3312,-0.0653,-0.0105,0.0517,0.0845
25,EPS,-4.92,0.05,-7.47,-0.59,-0.10,0.42,0.95
26,EPS Diluted,-4.92,0.01,-7.47,-0.59,-0.10,0.41,0.92
27,Weighted Average Shares Outstanding,50000000,14845029,19760189,87209605,108683820,169230177,169230177
28,Weighted Average Shares Outstanding Diluted,50000000,62500000,19760189,87209605,108683820,173650251,173650251
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1647088/000114420416091401/0001144204-16-091401-index.html,https://www.sec.gov/Archives/edgar/data/1647088/000114420417015086/0001144204-17-015086-index.html,https://www.sec.gov/Archives/edgar/data/1647088/000164708818000006/0001647088-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1647088/000162828019002990/0001628280-19-002990-index.html,- -,https://www.sec.gov/Archives/edgar/data/1647088/000164708821000034/0001647088-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1647088/000164708822000009/0001647088-22-000009-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,1007861,188063,9185000,8958000,3045000,24937000,12699000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1007861,188063,9185000,8958000,3045000,24937000,12699000
34,Net Receivables,- -,- -,97683000,206624000,247596000,335560000,399887000
35,Inventory,- -,- -,10082000,16218000,15387000,21655000,32739000
36,Other Current Assets,- -,73441,10833000,24547000,26560000,37340000,37715000
37,Total Current Assets,1007861,261504,127783000,256347000,292588000,419492000,483040000
38,PP&E,- -,- -,1123812000,2113040000,2238823000,3469466000,3640223000
39,Goodwill,- -,- -,28609000,247017000,235177000,1171219000,1178806000
40,Intangible Assets,- -,- -,126259000,131801000,126625000,495947000,460678000
41,Intangible Assets,- -,- -,154868000,378818000,361802000,1667166000,1639484000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,500089682,501340910,4279000,4280000,4436000,16081000,10852000
45,Total Non-Current Assets,500089682,501340910,1282959000,2496138000,2605061000,5152713000,5290559000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,501097543,501602414,1410742000,2752485000,2897649000,5572205000,5773599000
48,Accounts Payable,- -,- -,57051000,90353000,109926000,106926000,118271000
49,Short-Term Debt,- -,- -,1881000,1959000,29133000,64584000,71126000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,45182000,71778000,82978000,135485000,159639000
52,Other Current Liabilities,133460,75671,51616000,104933000,98375000,141672000,168609000
53,Total Current Liabilities,133460,75671,155730000,269023000,320412000,448667000,517645000
54,Long-Term Debt,- -,- -,624865000,1674540000,1751018000,2637570000,2888575000
55,Deferred Revenue,- -,- -,5377000,7723000,12342000,- -,- -
56,Deferred Tax Liabilities,- -,- -,139847000,90945000,70693000,307541000,354879000
57,Other Non-Current Liabilities,19500000,19500000,373000,8057000,34229000,37150000,15737000
58,Total Non-Current Liabilities,19500000,19500000,770462000,1781265000,1868282000,2982261000,3259191000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,147562000,231824000,247261000
