,https://roic.ai/company/SHAK,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,57038000,82456000,118530000,190592000,268475000,358810000,459310000,594519000,522867000,739893000
2,COGS,31210000,43961000,64237000,113492000,164238000,225882000,299821000,397840000,310149000,433376000
3,Gross Profit,25828000,38495000,54293000,77100000,104237000,132928000,159489000,196679000,212718000,306517000
4,Gross Profit Ratio,0.4528,0.4669,0.4581,0.4045,0.3883,0.3705,0.3472,0.3308,0.4068,0.4143
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,12041000,19345000,27940000,60108000,61896000,76803000,97861000,129250000,115842000,145224000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12041000,19345000,27940000,60108000,61896000,76803000,97861000,129250000,115842000,145224000
9,Other Expenses,9101000,13190000,23105000,10239000,14536000,22312000,29917000,41744000,130601000,175514000
10,Operating Expenses,21142000,32535000,51045000,70347000,76432000,99115000,127778000,170994000,246443000,320738000
11,COGS and Expenses,52352000,76496000,115282000,183839000,240670000,324997000,427599000,568834000,556592000,754114000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,374000,1643000,2415000,434000,815000,1577000
14,Depreciation and Amortization,2162000,3541000,5809000,10222000,14502000,21704000,29000000,40704000,50245000,60236000
15,EBITDA,6692000,9424000,8589000,4750000,33672000,174436000,55456000,64351000,8959000,45934000
16,EBITDA ratio,0.1173,0.1143,0.0725,0.0249,0.1254,0.4862,0.1207,0.1082,0.0171,0.0621
17,Operating Income,4686000,5935000,3143000,6753000,27805000,33813000,31711000,25685000,-43876000,-15853000
18,Operating Income ratio,0.0822,0.0720,0.0265,0.0354,0.1036,0.0942,0.0690,0.0432,-0.0839,-0.0214
19,Total Other Income Expenses (Gains),-156000,-52000,-363000,-325000,691000,126480000,-901000,1829000,-1601000,-1482000
20,Income Before Tax,4530000,5883000,2780000,6428000,28496000,160293000,30810000,27514000,-45477000,-17335000
21,Income Before Tax Ratio,0.0794,0.0713,0.0235,0.0337,0.1061,0.4467,0.0671,0.0463,-0.0870,-0.0234
22,Income Tax expense (Gain),397000,460000,662000,3304000,6350000,151409000,8862000,3386000,57000,-7224000
23,Net Income,4133000,5423000,2118000,-8776000,12446000,-320000,15179000,19827000,-42158000,-8655000
24,Net Income ratio,0.0725,0.0658,0.0179,-0.0460,0.0464,-0.0009,0.0330,0.0333,-0.0806,-0.0117
25,EPS,3.30,4.51,0.19,-0.65,0.54,-0.09,0.54,0.63,-1.14,-0.26
26,EPS Diluted,3.30,4.51,0.19,-0.65,0.53,-0.09,0.52,0.61,-1.14,-0.26
27,Weighted Average Shares Outstanding,1252000,1203000,11230208,13588000,22956000,25876000,28299000,31381000,37129000,39137000
28,Weighted Average Shares Outstanding Diluted,1252000,1203000,11230208,13588000,23449000,25876000,29179000,32251000,37129000,39137000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1620533/000162053315000003/0001620533-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1620533/000162053316000187/0001620533-16-000187-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053317000041/0001620533-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053318000015/0001620533-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053319000010/0001620533-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053320000006/0001620533-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1620533/000162053321000027/0001620533-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1620533/000162053322000014/0001620533-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , 
