,https://roic.ai/company/E,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,28010467650,30510166310,31202696070,28288700820,31031092750,48978040000,49933073480,49046506990,52308314310,59636264240,74469830620,86888100750,88222086360,108868000000,84345000000,99479000000,110522000000,127220000000,114697000000,109847000000,67740000000,55762000000,66919000000,75822000000,69881000000,43987000000,76570000000
2,COGS,17529257160,19130620700,19867252860,18528301800,20121266130,31583382620,31883078880,31921636090,34505367680,39063106720,48530094490,57489728750,58270829330,76408000000,58351000000,69135000000,79191000000,108924000000,101824000000,97839000000,68463000000,51683000000,59944000000,62610000000,58980000000,40855000000,62602000000
3,Gross Profit,10481210490,11379545610,11335443210,9760399020,10909826620,17394657380,18049994600,17124870900,17802946630,20573157520,25939736130,29398372000,29951257030,32460000000,25994000000,30344000000,31331000000,18296000000,12873000000,12008000000,-723000000,4079000000,6975000000,13212000000,10901000000,3132000000,13968000000
4,Gross Profit Ratio,0.3742,0.3730,0.3633,0.3450,0.3516,0.3552,0.3615,0.3492,0.3403,0.3450,0.3483,0.3383,0.3395,0.2982,0.3082,0.3050,0.2835,0.1438,0.1122,0.1093,-0.0107,0.0732,0.1042,0.1743,0.1560,0.0712,0.1824
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4004000000,4181000000,4785000000,4749000000,4658000000,5301000000,5337000000,2778000000,2994000000,2951000000,3093000000,2996000000,2863000000,2882000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4004000000,4181000000,4785000000,4749000000,4658000000,5301000000,5337000000,2778000000,2994000000,2951000000,3093000000,2996000000,2863000000,2882000000
9,Other Expenses,6050541780,6557922140,6630902460,6683149080,6378144220,6592870080,6618705990,8586259700,8351607540,8063580080,9125302480,10071215480,11053480920,9815000000,9813000000,9579000000,9318000000,-751000000,-929000000,-917000000,-656000000,-836000000,-686000000,-662000000,-1008000000,-950000000,-903000000
10,Operating Expenses,6050541780,6557922140,6630902460,6683149080,6378144220,6592870080,6618705990,8586259700,8351607540,8063580080,9125302480,10071215480,11053480920,13819000000,13994000000,14364000000,14067000000,3907000000,4372000000,4420000000,2122000000,2158000000,2265000000,2431000000,1988000000,1913000000,1979000000
11,COGS and Expenses,23579798940,25688542840,26498155320,25211450880,26499410350,38176252700,38501784870,40507895790,42856975220,47126686800,57655396970,67560944230,69324310250,90227000000,72345000000,83499000000,93258000000,112831000000,106196000000,102259000000,70585000000,53841000000,62209000000,65041000000,60968000000,42768000000,64581000000
12,Interest Income ,- -,- -,- -,- -,- -,502557280,- -,- -,435128440,- -,- -,393241110,- -,7985000000,5950000000,6117000000,6379000000,7218000000,5732000000,6459000000,8576000000,5850000000,3924000000,3967000000,3087000000,3531000000,3723000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,793231300,- -,- -,622519520,- -,303107290,462948590,- -,8198000000,6497000000,6713000000,7396000000,8274000000,6649000000,7686000000,10059000000,6253000000,5997000000,4631000000,3952000000,4958000000,4216000000
14,Depreciation and Amortization,3055687380,3395464220,3595450950,3771315180,3594538430,3798992320,4678837330,4966879640,4701451630,4562550800,5504901200,6153200490,7039769680,8422000000,8762000000,8881000000,8297000000,9538000000,9421000000,9970000000,9654000000,7559000000,7483000000,6988000000,8106000000,7304000000,7062000000
15,EBITDA,7002031980,7968815460,8468173350,7542630360,8508829980,14726418940,15978628470,12693560400,14134528030,16481246560,22711094690,26401708050,26300371020,35870000000,26382000000,31069000000,33227000000,37259000000,30235000000,25439000000,14077000000,14284000000,20321000000,21715000000,17797000000,6277000000,22362000000
16,EBITDA ratio,0.2500,0.2612,0.2714,0.2666,0.2742,0.3007,0.3200,0.2588,0.2702,0.2764,0.3050,0.3039,0.2981,0.3295,0.3128,0.3123,0.3006,0.2929,0.2636,0.2316,0.2078,0.2562,0.3037,0.2864,0.2547,0.1427,0.2920
17,Operating Income,4430668710,4398194780,4507268220,2560537980,4002986120,10288582620,10414150060,8510022100,9500568950,12453513760,16814433650,19327156520,18897776110,18641000000,12055000000,16111000000,17435000000,15026000000,8888000000,7917000000,-2781000000,2157000000,8012000000,9983000000,6432000000,-3275000000,12341000000
18,Operating Income ratio,0.1582,0.1442,0.1445,0.0905,0.1290,0.2101,0.2086,0.1735,0.1816,0.2088,0.2258,0.2224,0.2142,0.1712,0.1429,0.1620,0.1578,0.1181,0.0775,0.0721,-0.0411,0.0387,0.1197,0.1317,0.0920,-0.0745,0.1612
19,Total Other Income Expenses (Gains),-484324110,175156460,365454180,1210777200,911305430,-154387300,885641080,-783341340,-122280620,78194080,547112880,1063796760,1161863780,609000000,18000000,429000000,1042000000,1574000000,5076000000,-575000000,-1199000000,-1265000000,-1168000000,124000000,-686000000,-2703000000,-1238000000
20,Income Before Tax,3946344600,4573351240,4872722400,3771315180,4914291550,10134195320,11299791140,7726680760,9378288330,12531707840,17361546530,20390953280,20059639890,19250000000,12073000000,16540000000,18477000000,16600000000,13964000000,7342000000,-3980000000,892000000,6844000000,10107000000,5746000000,-5978000000,11103000000
21,Income Before Tax Ratio,0.1409,0.1499,0.1562,0.1333,0.1584,0.2069,0.2263,0.1575,0.1793,0.2101,0.2331,0.2347,0.2274,0.1768,0.1431,0.1663,0.1672,0.1305,0.1217,0.0668,-0.0588,0.0160,0.1023,0.1333,0.0822,-0.1359,0.1450
22,Income Tax expense (Gain),1815630480,2219184140,2242725030,1447816680,2055157720,4347333420,3535820860,3129553480,3235672250,4649597040,8121417890,10568260120,9233867810,9692000000,6756000000,9157000000,10674000000,11659000000,9005000000,6492000000,3147000000,1936000000,3467000000,5970000000,5591000000,2650000000,4956000000
23,Net Income,2130714120,2354167100,2629997370,2323498500,2859133830,5786861900,7763970280,4597127280,5574884630,7269098720,8781668310,9217298850,10026733530,9558000000,4367000000,6318000000,6860000000,7788000000,5160000000,1291000000,-8783000000,-1464000000,3374000000,4126000000,148000000,-8635000000,6128000000
24,Net Income ratio,0.0761,0.0772,0.0843,0.0821,0.0921,0.1182,0.1555,0.0937,0.1066,0.1219,0.1179,0.1061,0.1137,0.0878,0.0518,0.0635,0.0621,0.0612,0.0450,0.0118,-0.1297,-0.0263,0.0504,0.0544,0.0021,-0.1963,0.0800
25,EPS,1.06,1.18,1.32,1.16,1.43,2.90,3.96,2.40,2.96,3.87,4.66,4.98,5.48,5.46,2.42,3.48,3.79,4.30,2.84,0.72,-4.90,-0.82,1.88,2.30,0.08,-4.84,3.43
26,EPS Diluted,1.06,1.18,1.32,1.16,1.43,2.90,3.96,2.40,2.96,3.87,4.66,4.98,5.48,5.46,2.42,3.48,3.78,4.30,2.84,0.72,-4.90,-0.82,1.88,2.30,0.08,-4.84,3.43
27,Weighted Average Shares Outstanding,2002932551,2001366120,1997928177,1997800587,1995560198,1997054545,1959168301,1915389343,1880489672,1878131490,1884136732,1852475632,1831310945,1834600000,1804545455,1811250000,1811352021,1811162791,1816901408,1793055556,1800204082,1800550000,1794680851,1793913043,1796100000,1786250000,1786274826
28,Weighted Average Shares Outstanding Diluted,2002932551,2001366120,1997928177,1997800587,1995560198,1997054545,1959884117,1916010796,1887473036,1884688152,1884136732,1852475632,1831310945,1834600000,1804545455,1811250000,1811352021,1811162791,1816901408,1793055556,1800204082,1800550000,1794680851,1793913043,1797250000,1789500000,1786274826
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,938231730,1050135290,1578180240,777625920,1212423800,1247875280,1307107330,3267734130,1619821200,1262908160,1332321180,3984691710,2117280690,1939000000,1608000000,1549000000,1500000000,7765000000,5431000000,6614000000,5200000000,5674000000,7363000000,10836000000,5994000000,9413000000,8254000000
32,Short-Term Investments,- -,- -,2446361190,1392393780,1963729040,1799410600,1377913660,1209318930,1274418150,1290940000,1366937890,972116270,2913575760,3236000000,- -,380000000,262000000,235000000,5239000000,5281000000,5310000000,6404000000,6219000000,6852000000,7144000000,5756000000,10610000000
33,Cash and Short-Term Investments,938231730,1050135290,4024541430,2170019700,3176152840,3047285880,2685020990,4477053060,2894239350,2553848160,2699259070,4956807980,5030856450,5175000000,1608000000,1929000000,1762000000,8000000000,10670000000,11895000000,10510000000,12078000000,13582000000,17688000000,13138000000,15169000000,18864000000
34,Net Receivables,8844959310,10200051650,10060899030,9151599780,10770696020,13422112440,13752162760,13542656670,13777214530,14193700880,18584951720,18799046590,20708472910,23522000000,22371000000,25041000000,26532000000,30622000000,30527000000,30572000000,21923000000,18665000000,16657000000,14853000000,13831000000,11560000000,19017000000
35,Inventory,5086573020,6009955600,2616361020,2437754940,2627580760,3128206120,2817642370,3202932170,3287284200,3317346960,3560455270,4752231680,5507536100,6082000000,5495000000,6589000000,7575000000,8496000000,7939000000,7555000000,3910000000,4637000000,4621000000,4651000000,4734000000,3893000000,6077000000
