,https://roic.ai/company/PHOT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,15758570,16358303,- -,- -,- -,- -,- -,- -,498736,1450745,4858976,8537676,3499642,1231281,2452104,4573461,8217562,7000812
2,COGS,10834944,11695063,- -,- -,- -,- -,- -,- -,352481,1038771,4005863,7172376,2980503,1275580,2180603,4105172,5668435,4020570
3,Gross Profit,4923626,4663240,- -,- -,- -,- -,- -,- -,146255,411974,853113,1365300,519139,-44299,271501,468289,2549127,2980242
4,Gross Profit Ratio,0.3124,0.2851,- -,- -,- -,- -,- -,- -,0.2933,0.2840,0.1756,0.1599,0.1483,-0.0360,0.1107,0.1024,0.3102,0.4257
5,Research and Development Exp.,138863,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,380000,120000,- -,23868,83820,- -,1683049,3163007,7127103,2684107,1888537,- -,5016977,7010059,4870204
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,380000,120000,- -,23868,83820,4024226,1683049,3163007,7127103,2684107,1888537,- -,5016977,7010059,4870204
9,Other Expenses,4189058,5895194,- -,- -,-1060000,39288,- -,- -,- -,- -,- -,- -,- -,- -,2320455,- -,- -,- -
10,Operating Expenses,4327921,5895194,- -,380000,-940000,39288,23868,83820,4024226,1683049,3163007,7127103,2684107,1888537,2320455,5016977,7010059,4870204
11,COGS and Expenses,15162865,17590257,- -,380000,-940000,39288,23868,83820,4376707,2721820,7168870,14299479,5664610,3164117,4501058,9122149,12678494,8890774
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),326844,- -,- -,-250000,-80000,- -,- -,2104,58217,- -,5275749,- -,- -,- -,- -,1320811,1204119,1089734
14,Depreciation and Amortization,65097,73208,- -,- -,- -,- -,- -,- -,9260,8528,173925,140189,120263,114985,1890,222753,927584,708868
15,EBITDA,-552440,-1520465,- -,-810000,780000,-39288,-23868,-83820,-4299677,-2177776,-15930464,-86485910,-5568582,-7579699,-5319084,-9901218,-5271292,-4813188
16,EBITDA ratio,-0.0351,-0.0929,- -,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-8.6211,-1.5011,-3.2786,-10.1299,-1.5912,-6.1559,-2.1692,-2.1649,-0.6415,-0.6875
17,Operating Income,-10916,-1231954,- -,-380000,940000,-39288,-23868,-83820,-3877971,-1271075,-10942711,-6486070,-2164968,-2808892,-2048954,-4548689,-5016827,-1889962
18,Operating Income ratio,-0.0007,-0.0753,- -,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-7.7756,-0.8762,-2.2521,-0.7597,-0.6186,-2.2813,-0.8356,-0.9946,-0.6105,-0.2700
19,Total Other Income Expenses (Gains),-933465,-361719,- -,-250000,-80000,- -,- -,- -,-430966,-915229,-10437427,-80140029,-3523877,-4885792,-3272020,-6924448,-2475106,-4257924
20,Income Before Tax,-944381,-1593673,- -,-630000,860000,- -,- -,- -,- -,-2186304,-21380138,-86626099,-5688845,-7694684,-5320974,-11473137,-7491933,-6147886
21,Income Before Tax Ratio,-0.0599,-0.0974,- -,-Infinity,Infinity,- -,- -,- -,- -,-1.5070,-4.4001,-10.1463,-1.6256,-6.2493,-2.1700,-2.5086,-0.9117,-0.8782
22,Income Tax expense (Gain),61134,-61134,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-117550,-231952
23,Net Income,-1005515,-1532539,- -,-560000,860000,-39288,-23868,-85924,-4367154,-2186304,-21380138,-86626099,-5688845,-7694684,-5320974,-11444782,-7285445,-6379838
24,Net Income ratio,-0.0638,-0.0937,- -,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-8.7564,-1.5070,-4.4001,-10.1463,-1.6256,-6.2493,-2.1700,-2.5024,-0.8866,-0.9113
