,https://roic.ai/company/MMSI,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1400000,4400000,10500000,18400000,25400000,33300000,42600000,50500000,60600000,68400000,78000000,91447512,104035806,116227201,135953508,151398000,166585000,190674000,207768000,227143000,257462000,296755000,359449000,394288000,449049000,509689000,542149000,603838000,727852000,882753000,994852000,963875000,1074751000
2,COGS,1700000,2000000,3800000,7600000,12300000,17400000,23300000,26900000,35100000,39600000,44300000,56503777,65938044,67711728,75229716,83908000,97493000,117596000,127977000,133872000,148660000,168257000,193981000,212296000,254682000,284467000,306368000,338813000,401599000,487983000,562486000,562698000,589418000
3,Gross Profit,-300000,2400000,6700000,10800000,13100000,15900000,19300000,23600000,25500000,28800000,33700000,34943735,38097762,48515473,60723792,67490000,69092000,73078000,79791000,93271000,108802000,128498000,165468000,181992000,194367000,225222000,235781000,265025000,326253000,394770000,432366000,401177000,485333000
4,Gross Profit Ratio,-0.2143,0.5455,0.6381,0.5870,0.5157,0.4775,0.4531,0.4673,0.4208,0.4211,0.4321,0.3821,0.3662,0.4174,0.4467,0.4458,0.4148,0.3833,0.3840,0.4106,0.4226,0.4330,0.4603,0.4616,0.4328,0.4419,0.4349,0.4389,0.4482,0.4472,0.4346,0.4162,0.4516
5,Research and Development Exp.,- -,- -,- -,- -,- -,2100000,2300000,2500000,4400000,3200000,3600000,3864171,4117839,4007622,4626459,5079000,6992000,8582000,8688000,9160000,11168000,15335000,21938000,27795000,33886000,36632000,40810000,45229000,51403000,59532000,65615000,57537000,71247000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,14300000,15700000,17500000,20400000,23300352,24040297,27732363,30467921,35071000,38579000,45486000,48133000,53127000,64787000,87615000,104502000,122106000,128642000,147894000,156348000,184398000,229134000,276018000,327274000,297724000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2100000,4700000,8000000,9100000,10200000,12800000,14300000,15700000,17500000,20400000,23300352,24040297,27732363,30467921,35071000,38579000,45486000,48133000,53127000,64787000,87615000,104502000,122106000,128642000,147894000,156348000,184398000,229134000,276018000,327274000,297724000,335690000
9,Other Expenses,100000,200000,500000,1100000,1400000,1600000,1700000,2400000,2700000,2800000,3600000,4319682,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,100000,2300000,5200000,9100000,10500000,13900000,16800000,19200000,22800000,23500000,27600000,31484205,28158136,31739985,35094380,40150000,45571000,54068000,56821000,62287000,75955000,102950000,126440000,149901000,162528000,184526000,197158000,229627000,280537000,335550000,392889000,355261000,406937000
11,COGS and Expenses,1800000,4300000,9000000,16700000,22800000,31300000,40100000,46100000,57900000,63100000,71900000,87987982,94096180,99451713,110324096,124058000,143064000,171664000,184798000,196159000,224615000,271207000,320421000,362197000,417210000,468993000,503526000,568440000,682136000,823533000,955375000,917959000,996355000
