,https://roic.ai/company/HNCKF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11383,79923,97914
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11383,-79923,-97914
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1917174,1173749,1311241,1503418,653505,390187,216627,174366,193353,635897,1739173,2266242,1962959
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,114745,33773,139080,132716,22174,283,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,2031919,1207522,1450321,1636134,675679,390470,216627,174366,193353,635897,1739173,2266242,1962959
9,Other Expenses,118180,208025,305851,1175516,1910813,890690,1534578,2784568,20860,24389,13725,12521,10893,9834,5082,3876,2968,1713,- -,- -,- -
10,Operating Expenses,118180,208025,305851,1175516,1910813,890690,1534578,2784568,2052779,1231911,1464046,1648655,686572,400304,221709,178242,196321,637610,1739173,2266242,1962959
11,COGS and Expenses,118180,208025,305851,1175516,1910813,890690,1534578,2784568,2052779,1231911,1464046,1648655,686572,400304,221709,178242,196321,637610,1750556,2346165,2060873
12,Interest Income ,- -,- -,- -,1148,- -,8537,33697,- -,463052,22688,51175,18024,5856,5388,4124,3576,1302,6275,35950,15995,25335
13,Interest Expense (Gain),3479,- -,- -,33796,- -,- -,- -,- -,426700,- -,- -,- -,7144,- -,- -,- -,- -,- -,- -,25211,30775
14,Depreciation and Amortization,- -,- -,808,2511,6077,6780,7493,14528,20860,24389,18456,12521,10893,10117,5082,3876,2968,1713,11383,79923,97914
15,EBITDA,-190657,-64308,-407631,-1235085,-1904736,-883910,-1527085,-2701882,-1568867,-1184834,-1440859,-1636134,-669823,-384799,22582501,9881492,-164260,-583933,-4604416,-2210310,-1893109
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,118180,-208025,-305851,1175516,-1910813,890690,1534578,-2784568,-2052779,-1231911,-1464046,-1648655,-686572,400304,-221709,-178242,-196321,-637610,-1750556,-2346165,-2060873
18,Operating Income ratio,Infinity,-Infinity,-Infinity,Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),72477,-143717,102588,62080,3810721,-1772843,-3035459,66434,-8310,16161,46444,18024,-13028,-764535,-22795004,-10052282,-27791,-45689,2901193,682491,39075
20,Income Before Tax,- -,- -,- -,- -,1899908,-882153,-1500881,-2718134,-2061089,-1215750,-1417602,-1630631,-699600,-364231,-23016713,-10230524,-224112,-683299,1150637,-1663674,-2021798
21,Income Before Tax Ratio,- -,- -,- -,- -,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,-951270,-364386,-303761,-939923,-102822,261788,-198082,22,-380398,-68652,-213200,- -,- -,- -,- -,- -,- -
23,Net Income,-49182,-351032,-202922,-1146084,-948638,-517767,-1197120,-1778211,-1958267,-1477538,-1219520,-1630653,-319202,-295579,-22803513,-10230524,-224112,-683299,1150637,-1663674,-2021798
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity
25,EPS,-0.20,-0.80,-0.30,-1.00,-0.40,-0.20,-0.30,-1.70,-0.30,-0.20,-0.20,-0.20,-0.04,-0.03,-2.50,-1.14,-0.02,-0.03,0.03,-0.03,-0.03
26,EPS Diluted,-0.20,-0.80,-0.30,-1.00,-0.40,-0.20,-0.30,-1.70,-0.30,-0.20,-0.20,-0.20,-0.04,-0.03,-2.50,-1.14,-0.02,-0.03,0.02,-0.03,-0.03
27,Weighted Average Shares Outstanding,378608,505299,810309,1141288,2348392,3069846,4220631,5503140,6031786,6037059,6494715,7716114,8103232,9037349,9037349,9037348,18347211,25986111,42391792,51169610,60475382
28,Weighted Average Shares Outstanding Diluted,378608,505299,810309,1141288,2348392,3069846,4220631,5503140,6031786,6037059,6494715,7716114,8103232,9037349,9037349,9037348,18347211,25986111,56057074,51169610,60475382
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9476,62,124288,174931,486954,741271,1558991,9707914,4125235,813736,3137745,236530,518489,99655,95893,11964,85758,4066588,405849,1640642,3762980
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2683560,- -,- -
33,Cash and Short-Term Investments,9476,62,124288,174931,486954,741271,1558991,9707914,4125235,813736,3137745,236530,518489,99655,95893,11964,85758,4066588,3089409,1640642,3762980
34,Net Receivables,2299,1800,26270,95474,- -,60678,228349,486721,2250306,1324306,163583,47134,42357,26628,18370,19916,10504,30651,1090803,1071018,103742
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4347,4347,4347,12347,120629,44516,47102,1334566,53486,38844,110287,27625,17982,15930,11606,6596,8406,361425,293861,64365,87515
37,Total Current Assets,16122,6209,154905,282752,607583,846465,1834442,11529201,6429027,2176886,3411615,311289,578828,142213,125869,38476,104668,4458664,4474073,2776025,3954237
38,PP&E,153500,153500,184542,190389,198004,200278,15003805,22129420,248085,233914,219459,32368357,32932656,33010359,10017164,13289,10321,9464,2403713,4731475,6052089
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,187900,187900,187900,- -,337900,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1131491,1148941,1573651,3818337,7278174,10110628,350958,187900,24771994,28321528,30122066,575120,- -,337900,337900,187900,187900,187900,232000,232000,232000
45,Total Non-Current Assets,1284991,1302441,1758193,4008726,7476178,10310906,15354763,22317320,25207979,28743342,30529425,32943477,33270556,33348259,10355064,201189,198221,197364,2635713,4963475,6284089
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1301113,1308650,1913098,4291478,8083761,11157371,17189205,33846521,31637006,30920228,33941040,33254766,33849384,33490472,10480933,239665,302889,4656028,7109786,7739500,10238326
48,Accounts Payable,234619,138328,169066,331436,101163,89141,288542,740832,172741,- -,- -,151784,70910,2539,15641,3929,4970,134982,229422,235421,81291
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76070,88182
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,90060,5787,14424,- -,- -,- -,1484,- -,285527,369013,102498,123400,16880,10952,11920,10000,10000,83559,148364,49408
53,Total Current Liabilities,234619,228388,174853,345860,101163,89141,288542,742316,172741,285527,369013,254282,194310,19419,26593,15849,14970,144982,312981,459855,218881
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,217394,169212
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,341926,627266,1084809,376703,819203,524665,382346,219678,213200,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,275000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,341926,627266,1084809,376703,819203,524665,382346,219678,213200,- -,- -,- -,- -,- -,417394,444212
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293464,217394
61,Total Liabilities,234619,228388,174853,345860,101163,431067,915808,1827125,549444,1104730,893678,636628,413988,232619,26593,15849,14970,144982,312981,877249,663093
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6184192,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53870374,55091542,60173313
64,Retained Earnings,-5117698,-5468730,-5671652,-6817736,-7766374,-8284141,-10070362,-10880384,-12838651,-14316189,-15535709,-20923418,-21242620,-21538199,-44341712,-54572236,-54796348,-55479647,-54329010,-55992684,-58014482
65,Other Comprehensive Income/Loss,- -,- -,209600,399932,1402485,-808,-23669,-38198,-59058,-83447,-101903,-76340,6035603,6153639,6153639,6153639,6196470,6745535,-113899,7763393,-933
66,Other Total Stockholders Equity,- -,6548992,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7369340,- -,7417335
67,Total Stockholders Equity,1066494,1080262,1738245,3945618,7982598,10726304,16273397,32019396,31087562,29815498,33047362,32618138,33435396,33257853,10454340,223816,287919,4511046,6796805,6862251,9575233
68,Total Liabilities And Stockholders Equity,1301113,1308650,1913098,4291478,8083761,11157371,17189205,33846521,31637006,30920228,33941040,33254766,33849384,33490472,10480933,239665,302889,4656028,7109786,7739500,10238326
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1301113,1308650,1913098,4291478,8083761,11157371,17189205,33846521,31637006,30920228,33941040,33254766,33849384,33490472,10480933,239665,302889,4656028,7109786,7739500,10238326
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-49182,-351032,-202922,-1146084,-948638,-517767,-1197120,-1778211,-1958267,-1477538,-1219520,-1630653,-319202,-295579,-22803513,-10230524,-224112,-683299,1150637,-1663674,-2021798
74,Depreciation and Amortization,- -,- -,808,2511,6077,6780,7493,14528,20860,24389,18456,12521,10893,10117,5082,3876,2968,1713,11383,79923,97914
75,Deferred Income Tax,- -,- -,- -,- -,- -,-364386,-303761,-939923,-102822,261788,-198082,22,-380398,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,317436,149060,365144,531004,- -,118036,- -,- -,42831,360493,500742,- -,615545
77,Change in Working Capital,-170739,-5732,-78005,93803,-257504,3413,-55446,-507052,-68760,132914,-147494,-55341,238857,-24600,10621,6560,6723,-243154,-141802,329074,41088
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20147,- -,128011,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130012,- -,- -,- -
81,Other Working Capital,- -,-5732,-78005,93803,-257504,3413,-55446,-507052,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,143717,13300,386632,51282,139799,424518,1153811,471362,6527,- -,-18024,5884,-99337,22585928,10055858,29093,51964,-2865243,1254677,- -
83,Cash Provided by Operating Activities,-219921,-213047,-266819,-663138,-1148783,-732161,-1124316,-2056847,-1320191,-902860,-1181496,-1160471,-443966,-291363,-201882,-164230,-142497,-512283,-1344283,- -,-1267251
