,https://roic.ai/company/QNTO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,2115000,2580000,3258000,3864000,3966000,5626000,6105000,7564000,8346000,9221000,11028000,12252000,13638000,17490000,32602000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,716000,865000,1535000,1735000,2004000,2718000,3277000,3728000,4323000,4854000,6187000,7199000,7693000,9497000,17022000
7,Selling and Marketing Exp.,32000,- -,- -,56000,41000,67000,80000,75000,69000,113000,195000,217000,195000,113000,351000
8,"Selling, General and Administrative Exp.",748000,865000,1535000,1791000,2045000,2785000,3357000,3803000,4392000,4967000,6382000,7416000,7888000,9610000,17373000
9,Other Expenses,- -,- -,- -,- -,2955000,3215000,3643000,3197000,3608000,5033000,4618000,5584000,8112000,- -,- -
10,Operating Expenses,- -,- -,- -,- -,5000000,6000000,7000000,7000000,8000000,10000000,11000000,13000000,16000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,4420000,5015000,5414000,5480000,5530000,5836000,6290000,7281000,8424000,9183000,10588000,12125000,14111000,16323000,24995000
13,Interest Expense (Gain),2360000,2464000,2436000,1955000,1909000,1720000,1682000,1720000,2091000,2565000,3002000,3820000,5426000,5488000,4375000
14,Depreciation and Amortization,17000,14000,41000,55000,54000,106000,142000,167000,182000,204000,241000,250000,344000,443000,48000
15,EBITDA,3180000,3332000,3278000,3121000,2845000,3399000,2943000,3823000,4267000,5003000,5915000,6741000,9197000,10468000,13319000
16,EBITDA ratio,1.5035,1.2915,1.0061,0.8077,0.7173,0.6042,0.4821,0.5054,0.5113,0.5426,0.5364,0.5502,0.6744,0.5985,0.4085
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0038,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4470000,- -
20,Income Before Tax,803000,854000,801000,1111000,882000,1573000,1119000,1936000,1994000,2234000,2672000,2671000,3427000,4537000,9314000
21,Income Before Tax Ratio,0.3797,0.3310,0.2459,0.2875,0.2224,0.2796,0.1833,0.2559,0.2389,0.2423,0.2423,0.2180,0.2513,0.2594,0.2857
22,Income Tax expense (Gain),313000,343000,314000,440000,354000,592000,417000,694000,723000,736000,1205000,667000,950000,1292000,2492000
23,Net Income,490000,511000,487000,671000,528000,981000,702000,1242000,1271000,1498000,1467000,2004000,2477000,3245000,6404000
24,Net Income ratio,0.2317,0.1981,0.1495,0.1737,0.1331,0.1744,0.1150,0.1642,0.1523,0.1625,0.1330,0.1636,0.1816,0.1855,0.1964
25,EPS,0.12,0.20,0.21,0.33,0.30,0.55,0.40,0.73,0.74,0.84,0.79,1.04,1.27,1.64,3.23
26,EPS Diluted,0.12,0.20,0.21,0.32,0.30,0.55,0.38,0.69,0.68,0.77,0.74,1.01,1.24,1.61,3.23
27,Weighted Average Shares Outstanding,2777250,2487824,2336168,2076310,1749132,1776016,1778380,1703732,1718456,1718410,1857457,1923491,1956612,1975836,1982697
28,Weighted Average Shares Outstanding Diluted,2777250,2491918,2337064,2085498,1757798,1785668,1854540,1810642,1882466,1935903,1994485,1982998,2005438,2012399,1982697
