,https://roic.ai/company/IBAL,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4800000,5600000,6900000,7600000,10800000,6700000,7500000,9100000,10329759,13982903,12530973,11999311,10138428,8287526,5421912,5125717,5460147,6581460,7359003,8146274,9634221,12768868,6594210,7646901000,11049514,17819945000,16082938,19785503,18099473,11650588,10494941,11113982,9526575,8986024,10002443
2,COGS,3600000,3700000,4100000,4700000,7300000,4600000,5000000,6000000,7061919,10502750,9802477,9826994,8308541,6265931,4333248,3714301,4670290,5207035,5954054,6550508,7661519,9879182,5591368,6081980000,8587872,14092373000,13045001,15577846,14808065,10047312,9241435,9552308,8830035,8132391,8779587
3,Gross Profit,1200000,1900000,2800000,2900000,3500000,2100000,2500000,3100000,3267840,3480153,2728496,2172317,1829887,2021595,1088664,1411416,789857,1374425,1404949,1595766,1972702,2889686,1002842,1564921000,2461642,3727572000,3037937,4207657,3291408,1603276,1253506,1561674,696540,853633,1222856
4,Gross Profit Ratio,0.2500,0.3393,0.4058,0.3816,0.3241,0.3134,0.3333,0.3407,0.3164,0.2489,0.2177,0.1810,0.1805,0.2439,0.2008,0.2754,0.1447,0.2088,0.1909,0.1959,0.2048,0.2263,0.1521,0.2046,0.2228,0.2092,0.1889,0.2127,0.1819,0.1376,0.1194,0.1405,0.0731,0.0950,0.1223
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1515350,1859629,1753687,1636457,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,813607,688213,828635,1041563,1019347,2027640,1126676,914412,693510,683886,856221,868734,1546110
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,948530,1573593,1143881,1334762,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,493809,446922000,524141000,802864000,971387000,999018000,879667000,721490000,448292000,470084000,550614000,584950,596582
8,"Selling, General and Administrative Exp.",1500000,1500000,1900000,2200000,2700000,2300000,2100000,2100000,2463880,3433222,2897568,2971219,2240502,1612408,1243435,1520237,1132355,1153859,1181874,1212317,1343472,1548141,1307416,447610213,524969635,803905563,972406347,1001045640,880793676,722404412,448985510,470767886,551470221,1453684,2142692
9,Other Expenses,- -,100000,100000,200000,200000,200000,100000,100000,106000,73100,- -,- -,191371,86554,- -,- -,- -,- -,- -,- -,- -,- -,- -,-446475078,-523616859,-802061136,-970415613,-998018982,-878787333,-720768510,-447843708,-469613916,-550063386,- -,- -
