,https://roic.ai/company/RERE,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,3261520000,3931858000,4858199000,7780275000
2,COGS,2801433000,3176401000,3610434000,5735393000
3,Gross Profit,460087000,755457000,1247765000,2044882000
4,Gross Profit Ratio,0.1411,0.1921,0.2568,0.2628
5,Research and Development Exp.,65759000,142858000,151536000,264560000
6,General and Administrative Exp.,434928000,799023000,843859000,1495695000
7,Selling and Marketing Exp.,237562000,566792000,740542000,1206649000
8,"Selling, General and Administrative Exp.",672490000,1365815000,1584401000,2702344000
9,Other Expenses,-21701000,-21410000,-29395000,-26950000
10,Operating Expenses,716548000,1487263000,1706542000,2939954000
11,COGS and Expenses,3517981000,4663664000,5316976000,8675347000
12,Interest Income ,8273000,7813000,9321000,8370000
13,Interest Expense (Gain),6536000,12397000,21090000,16778000
14,Depreciation and Amortization,38121000,234672000,360781000,- -
15,EBITDA,-165206000,-487939000,-136067000,-943632000
16,EBITDA ratio,-0.0507,-0.1241,-0.0280,-0.1213
17,Operating Income,-256461000,-731806000,-458777000,-895072000
18,Operating Income ratio,-0.0786,-0.1861,-0.0944,-0.1150
19,Total Other Income Expenses (Gains),47097000,-1003000,-51635000,-58775000
20,Income Before Tax,-209364000,-732809000,-510412000,-953847000
21,Income Before Tax Ratio,-0.0642,-0.1864,-0.1051,-0.1226
22,Income Tax expense (Gain),-1922000,-30120000,-47320000,-143863000
23,Net Income,-207941000,-704888000,-470618000,-816547000
24,Net Income ratio,-0.0638,-0.1793,-0.0969,-0.1050
25,EPS,-4.88,-7.11,-7.97,-3.67
26,EPS Diluted,-4.88,-7.11,-7.97,-3.67
27,Weighted Average Shares Outstanding,222634836,222634836,222634836,222634836
28,Weighted Average Shares Outstanding Diluted,222634836,222634836,222634836,222634836
29,SEC Link,- -,- -,- -,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,665560000,410783000,918076000,1356342000
32,Short-Term Investments,- -,125573000,97866000,510467000
33,Cash and Short-Term Investments,665560000,536356000,1015942000,1866809000
34,Net Receivables,318747000,492995000,597412000,1655285000
35,Inventory,75223000,65557000,176994000,478751000
36,Other Current Assets,- -,- -,84290000,150000000
37,Total Current Assets,1059530000,1094908000,1874638000,4150845000
38,PP&E,67538000,99218000,69562000,173455000
39,Goodwill,- -,1803415000,1803415000,1803415000
40,Intangible Assets,18991000,1682963000,1367841000,1075811000
