,https://roic.ai/company/GBLX,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,60485,47015,- -,54593,2036331,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2510364,3454552,3120620,- -
2,COGS,47791,45927,- -,115537,951706,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,782727,3246097,4002083,- -
3,Gross Profit,12694,1088,- -,-60944,1084625,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1727637,208455,-881463,- -
4,Gross Profit Ratio,0.2099,0.0231,- -,-1.1163,0.5326,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6882,0.0603,-0.2825,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,298982,329406,- -,- -,- -,2635505,251231,102841,75718,187760,- -,- -,- -,19552288,15802783,6483513,- -
7,Selling and Marketing Exp.,- -,- -,34574,10963,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",88197,71974,333556,340369,1635695,150519,116620,2635505,251231,102841,75718,187760,7973850,6958769,8933111,19552288,15802783,6483513,- -
9,Other Expenses,- -,- -,- -,41583,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,88197,71974,- -,381952,1635695,150519,116620,2635505,251231,102841,75718,187760,7973850,6958769,8933111,19552288,15802783,6483513,- -
11,COGS and Expenses,135988,117901,337742,497489,2587401,150519,116620,2635505,251231,102841,75718,187760,7973850,6958769,8933111,20335015,19048880,10485596,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,22847,173333,164954,63673,51408,52767,230,105204,901134,5176361,5191259,1625204,1285460
14,Depreciation and Amortization,- -,- -,4186,25581,316667,- -,- -,- -,270,207,300,138,70025,177122,415979,804788,622968,258729,47353
15,EBITDA,-75503,-71225,-333556,-419648,-241017,-150519,-116620,-2635505,-250961,-102634,-75418,-187622,-7903825,-6781647,-8517132,-16993041,-17312793,-10402809,-1954264
16,EBITDA ratio,-1.2483,-1.5149,-Infinity,-7.6868,-0.1184,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-6.7692,-5.0116,-3.3336,-Infinity
17,Operating Income,-75503,-70886,-337742,-442896,-551070,-150519,-116620,-2635505,-383420,-102841,-111718,-187760,-7973850,-6958769,-8933111,-17824651,-15594328,-12010030,-2001617
18,Operating Income ratio,-1.2483,-1.5077,-Infinity,-8.1127,-0.2706,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.1004,-4.5141,-3.8486,-Infinity
