,https://roic.ai/company/HIHO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,17800000,25200000,22500000,18187000,17543000,19430000,20370000,25360000,27680000,25840000,31470000,33160000,33730000,21740000,31150000,25370000,21930000,22940000,22373000,22935000,19603000,19166000,14277000,12558000,9168000
2,COGS,13200000,18700000,16500000,13829000,15051000,16050000,16490000,20260000,22550000,21600000,25230000,28090000,27030000,17040000,24590000,20250000,17030000,17480000,16656000,17007000,14033000,12424000,10697000,8405000,6461000
3,Gross Profit,4600000,6500000,6000000,4358000,2492000,3380000,3880000,5100000,5130000,4240000,6240000,5070000,6700000,4700000,6560000,5120000,4900000,5460000,5717000,5928000,5570000,6742000,3580000,4153000,2707000
4,Gross Profit Ratio,0.2584,0.2579,0.2667,0.2396,0.1421,0.1740,0.1905,0.2011,0.1853,0.1641,0.1983,0.1529,0.1986,0.2162,0.2106,0.2018,0.2234,0.2380,0.2555,0.2585,0.2841,0.3518,0.2508,0.3307,0.2953
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,3630000,3720000,4220000,4990000,5170000,5850000,7350000,5820000,4370000,4830000,4890000,4550000,4660000,4446000,4412000,4809000,4804000,4335000,3406000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2500000,4200000,3800000,3452000,3521000,3625000,3723000,4219000,4985000,5165000,5850000,7351000,5823000,4367000,4857000,4891000,4549000,4659000,4446000,4412000,4809000,4804000,4335000,3406000,3323000
9,Other Expenses,500000,900000,900000,1011000,- -,- -,- -,- -,- -,-1781000,100000,500000,- -,- -,-30000,- -,- -,- -,0,-0,-0,0,0,0,- -
10,Operating Expenses,3000000,5100000,4700000,4463000,3521000,3625000,3723000,4219000,4985000,3384000,5950000,7851000,5823000,4367000,4827000,4891000,4549000,4659000,4446000,4412000,4809000,4804000,4335000,3406000,3323000
11,COGS and Expenses,16200000,23800000,21200000,18292000,18572000,19670000,20210000,24590000,27950000,25240000,31080000,35440000,32850000,21510000,29420000,25140000,21580000,22140000,21102000,21419000,18842000,17228000,15032000,11811000,9784000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000,6000,3000,4000,14000,17000,18000,10000,8000,16000,33000,65000,16000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141000,47000,57000,24000,9000,1000,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,500000,900000,900000,1011000,- -,1070000,1130000,1110000,1150000,1090000,940000,830000,780000,640000,670000,670000,590000,560000,393000,317000,266000,319000,261000,145000,1000000
15,EBITDA,1900000,2400000,2300000,762000,-1218000,900000,1670000,2190000,1090000,1200000,1580000,-1060000,1651000,1117000,2497000,1064000,1009000,1331000,1677000,1811000,1029000,2381000,-395000,1040000,393000
16,EBITDA ratio,0.1067,0.0952,0.1022,0.0419,-0.0694,0.0463,0.0820,0.0864,0.0394,0.0464,0.0502,-0.0320,0.0489,0.0514,0.0802,0.0419,0.0460,0.0580,0.0750,0.0790,0.0525,0.1242,-0.0277,0.0828,0.0429
17,Operating Income,1600000,1400000,1300000,-105000,-1029000,-241000,159000,875000,-269000,602000,286000,-2777000,881000,333000,1726000,230000,355000,793000,1271000,1516000,761000,1938000,-755000,747000,-616000
18,Operating Income ratio,0.0899,0.0556,0.0578,-0.0058,-0.0587,-0.0124,0.0078,0.0345,-0.0097,0.0233,0.0091,-0.0837,0.0261,0.0153,0.0554,0.0091,0.0162,0.0346,0.0568,0.0661,0.0388,0.1011,-0.0529,0.0595,-0.0672
19,Total Other Income Expenses (Gains),-200000,100000,100000,-144000,-189000,71000,381000,205000,199000,-482000,354000,827000,-201000,77000,24000,140000,55000,-23000,6000,-9000,- -,134000,61000,149000,16000
20,Income Before Tax,1400000,1500000,1400000,-249000,-1218000,-170000,540000,1080000,-70000,120000,640000,-1950000,680000,410000,1750000,370000,410000,770000,1277000,1507000,761000,2072000,-694000,896000,-600000
21,Income Before Tax Ratio,0.0787,0.0595,0.0622,-0.0137,-0.0694,-0.0087,0.0265,0.0426,-0.0025,0.0046,0.0203,-0.0588,0.0202,0.0189,0.0562,0.0146,0.0187,0.0336,0.0571,0.0657,0.0388,0.1081,-0.0486,0.0713,-0.0654
22,Income Tax expense (Gain),200000,200000,100000,16000,34000,60000,50000,100000,90000,70000,50000,30000,-40000,10000,120000,190000,-40000,170000,134000,243000,236000,512000,-26000,209000,-146000
23,Net Income,1200000,1300000,1300000,-265000,-1252000,-230000,490000,980000,-150000,40000,590000,-1920000,770000,420000,1650000,180000,450000,600000,1150000,1251000,527000,1550000,-630000,686000,-461000
24,Net Income ratio,0.0674,0.0516,0.0578,-0.0146,-0.0714,-0.0118,0.0241,0.0386,-0.0054,0.0015,0.0187,-0.0579,0.0228,0.0193,0.0530,0.0071,0.0205,0.0262,0.0514,0.0545,0.0269,0.0809,-0.0441,0.0546,-0.0503
25,EPS,0.55,0.44,0.46,-0.09,-0.43,-0.08,0.17,0.32,-0.05,0.01,0.16,-0.50,0.21,0.11,0.44,0.05,0.12,0.16,0.30,0.33,0.14,0.41,-0.17,0.18,-0.12
26,EPS Diluted,0.55,0.41,0.44,-0.09,-0.43,-0.08,0.17,0.30,-0.05,0.01,0.16,-0.50,0.20,0.11,0.44,0.05,0.12,0.16,0.30,0.33,0.14,0.41,-0.17,0.18,-0.12
27,Weighted Average Shares Outstanding,2181818,2954545,2826087,2868000,2905000,2904000,2902000,3030000,3260000,3465000,3636000,3809888,3744423,3755000,3765000,3777850,3778825,3778825,3787000,3802000,3802000,3802000,3801874,3910000,4006400
28,Weighted Average Shares Outstanding Diluted,2181818,3170732,2954545,2868000,2905000,2904000,2903000,3258000,3260000,3544000,3690000,3809888,3773677,3758000,3777000,3788302,3781307,3788604,3795000,3802000,3802000,3802000,3801874,3910000,4006400
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1026785/000119312503015179/0001193125-03-015179-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420404009017/0001144204-04-009017-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420405020342/v020622_20f.htm,https://www.sec.gov/Archives/edgar/data/1026785/000114420406027089/v046407_20f.htm,https://www.sec.gov/Archives/edgar/data/1026785/000114420407034319/0001144204-07-034319-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420408037494/0001144204-08-037494-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420409033757/0001144204-09-033757-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420410035590/0001144204-10-035590-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420411038126/0001144204-11-038126-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420412037346/v316328_20f.htm,https://www.sec.gov/Archives/edgar/data/1026785/000114420413037111/0001144204-13-037111-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420414040334/0001144204-14-040334-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420415039978/0001144204-15-039978-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420416110857/0001144204-16-110857-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000161577417003429/0001615774-17-003429-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000161577418006288/s111057_20f.htm,https://www.sec.gov/Archives/edgar/data/1026785/000121390019011948/f20f2019_highwayholdings.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,2190000,3150000,4160000,3950000,6380000,5300000,3890000,5810000,6280000,6860000,5580000,4630000,5420000,9727000,9140000,10028000,11267000,8827000,7760000,7757000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,310000,300000,300000,320000,- -,- -,- -,- -,170000,110000,- -,- -,- -,- -,- -,- -,1067000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,2190000,3150000,4470000,4250000,6680000,5620000,3890000,5810000,6280000,6860000,5750000,4740000,5420000,9727000,9140000,10028000,11267000,8827000,8827000,7757000
34,Net Receivables,- -,- -,- -,- -,- -,2830000,2870000,3760000,5170000,3790000,4740000,4770000,3430000,3240000,4800000,3720000,3960000,3160000,2943000,4321000,3403000,2223000,2264000,2008000,973000
35,Inventory,- -,- -,- -,- -,- -,4190000,4570000,4390000,5060000,4120000,6100000,5780000,4010000,3500000,4240000,3970000,2960000,3700000,2081000,1425000,2265000,2933000,1539000,2000000,2238000
36,Other Current Assets,- -,- -,- -,- -,- -,1460000,1410000,1610000,1680000,1510000,1900000,2350000,1700000,1270000,1060000,1070000,1760000,1680000,987000,844000,714000,749000,722000,388000,513000
37,Total Current Assets,- -,- -,- -,- -,- -,10670000,12000000,14230000,16160000,16100000,18360000,16790000,14950000,14290000,16960000,14510000,13420000,13960000,15738000,15730000,16410000,17172000,13352000,13223000,11481000
38,PP&E,- -,- -,- -,- -,- -,4240000,3660000,3780000,3470000,2790000,3980000,3650000,2840000,2050000,2410000,2030000,1770000,1210000,1094000,1121000,954000,770000,886000,4588000,3628000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77000,77000,77000,77000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,790000,730000,670000,470000,- -,70000,50000,20000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,790000,730000,670000,470000,- -,70000,50000,20000,10000,- -,- -,- -,- -,77000,77000,77000,77000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,110000,10000,- -,- -,- -,- -,2000,1000,31000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,230000,230000,180000,170000,150000,170000,190000,160000,150000,170000,180000,60000,40000,32000,32000,32000,32000,32000,229000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,-230000,-240000,-180000,-170000,-150000,-170000,-190000,-162000,-151000,-171000,-140000,100000,570000,46000,79000,79000,79000,980000,129000,377000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,5030000,4490000,4460000,3940000,2790000,4050000,3700000,2860000,2060000,2440000,2070000,1930000,1820000,1249000,1309000,1142000,958000,1898000,4946000,4005000
