,https://roic.ai/company/GLYC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,3813913,15257351,3992649,15027004,20070750,18500,- -,- -,- -,10162935,1160
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,15257351,3992649,15027000,20071000,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,7799155,9438400,11701155,19571073,25050179,23281820,24100092,40091773,47029264,44929198,47492
6,General and Administrative Exp.,- -,2157314,- -,6596000,7805000,8650000,9832188,11413050,14360038,16743000,17115
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2157314,- -,6596000,7805000,8650000,9832188,11413050,14360038,16743000,17115
9,Other Expenses,- -,- -,2880214,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,11595714,14581369,26167073,32855179,31931820,33932280,51504823,61389302,61672198,64607
11,COGS and Expenses,9898715,11595714,14581369,26167073,32855179,31931820,33932280,51504823,61389302,61672198,64607
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,3231190,3497391,482487,20
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,83861,99923,133051,158708,191484,190540,263541,275123,279234,270754,264600
15,EBITDA,-6029332,3755945,-10472535,-10962858,-12578014,-31619298,-33668739,-51229700,-61110068,-50756149,201153
16,EBITDA ratio,-1.5809,0.2462,-2.6230,-0.7295,-0.6267,-1709.1512,-Infinity,-Infinity,-Infinity,-4.9942,173.4078
17,Operating Income,-6084802,3661637,-10588720,-11139807,-12784825,-31913485,-33932280,-51504823,-61389302,-51509390,-63447205
18,Operating Income ratio,-1.5954,0.2400,-2.6521,-0.7413,-0.6370,-1725.0532,-Infinity,-Infinity,-Infinity,-5.0684,-54695.8664
19,Total Other Income Expenses (Gains),-28391,-5615,-16866,17979,15723,103812,651212,3231190,3497391,482614,- -
20,Income Before Tax,-6113193,3656022,-10605586,-11121828,-12769102,-31809673,-33281068,-48273633,-57891911,-51026776,- -
21,Income Before Tax Ratio,-1.6029,0.2396,-2.6563,-0.7401,-0.6362,-1719.4418,-Infinity,-Infinity,-Infinity,-5.0209,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-6113193,3656022,-10605586,-11121566,-12769498,-31809838,-33281068,-48273633,-57891911,-51026903,- -
24,Net Income ratio,-1.6029,0.2396,-2.6563,-0.7401,-0.6362,-1719.4507,-Infinity,-Infinity,-Infinity,-5.0209,- -
25,EPS,-5.11,0.36,-8.87,-0.60,-0.67,-1.50,-1.13,-1.18,-1.34,-1.12,-1.23
26,EPS Diluted,-5.11,0.33,-8.87,-0.60,-0.67,-1.50,-1.13,-1.18,-1.34,-1.12,-1.23
27,Weighted Average Shares Outstanding,1196162,10234987,1196162,18452252,19010587,21256312,29395756,41044621,43254782,45721139,51453204
28,Weighted Average Shares Outstanding Diluted,1196162,11016532,1196162,18452252,19010587,21256312,29395756,41044621,43254782,45721139,51453204
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1253689/000119312515093802/d838695d10k.htm,https://www.sec.gov/Archives/edgar/data/1253689/000155837016003688/0001558370-16-003688-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837017001198/0001558370-17-001198-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837018001553/0001558370-18-001553-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837019001537/0001558370-19-001537-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837020001723/0001558370-20-001723-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837021002222/0001558370-21-002222-index.htm,https://www.sec.gov/Archives/edgar/data/1253689/000155837022002737/0001558370-22-002737-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,28172174,17372832,2310603,55198923,46802560,40041641,123924738,209917595,158201441,137035017,90254890
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,28172174,17372832,2310603,55198923,46802560,40041641,123924738,209917595,158201441,137035017,90254890
34,Net Receivables,- -,- -,- -,22334,38683,268659,101955,413122,185953,2149,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,194207,596181,2573072,893915,403127,209844,3192929,1938402,4140369,1236179,533804
37,Total Current Assets,28366381,17969013,4883675,56115172,47244370,40520144,127219622,212269119,162527763,138273345,90788694
38,PP&E,234502,450759,399799,452270,521378,1056332,1106899,957226,3828989,2945897,1945027
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,308521,- -,- -,696531,696531,811851,256684,1612927,1612927,1612927,1612927
45,Total Non-Current Assets,543023,450759,399799,1148801,1217909,1868183,1363583,2570153,5441916,4558824,3557954
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,28909404,18419772,5283474,57263973,48462279,42388327,128583205,214839272,167969679,142832169,94346648
48,Accounts Payable,535597,764195,1144895,874028,564235,1565210,2647091,2663579,1435660,2089939,2107615
