,https://roic.ai/company/RVP,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,9641451,16145635,20316299,19078332,21521700,24235016,25324519,26289720,27899318,38981837,36219562,32102296,33644503,30785127,34520630,29552200,29826636,34493838,33274702,41797179,81862453,93029933
2,COGS,7877369,13322965,14990932,14654006,16410599,15428699,17778272,18300205,19673110,25465660,23815107,21199466,22468085,20475170,22498927,18987029,19484581,24522250,23052900,27659223,44854100,174741773
3,Gross Profit,1764082,2822670,5325367,4424326,5111101,8806317,7546247,7989515,8226208,13516177,12404455,10902830,11176418,10309957,12021703,10565171,10342055,9971588,10221802,14137956,37008353,-81711840
4,Gross Profit Ratio,0.1830,0.1748,0.2621,0.2319,0.2375,0.3634,0.2980,0.3039,0.2949,0.3467,0.3425,0.3396,0.3322,0.3349,0.3482,0.3575,0.3467,0.2891,0.3072,0.3383,0.4521,-0.8783
5,Research and Development Exp.,899149,756542,337930,561135,626941,934209,958798,1071143,1066068,1030622,885445,815018,871851,837073,616784,607527,571842,740567,621365,516095,574527,901381
6,General and Administrative Exp.,- -,- -,8576298,9766143,12482981,10748821,13302147,16864301,12769774,18814392,14260151,10738110,10022621,10989790,9595399,9328029,8795310,8351053,6776705,6432158,8301169,17378301
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,4835272,4372163,3674168,3439535,4220809,4414339,3967081,3837491,4025786,4658548,4404441,4217863,4061904,4477651
8,"Selling, General and Administrative Exp.",- -,- -,8576298,9766143,12482981,10748821,13302147,16864301,17605046,23186555,17934319,14177645,14243430,15404129,13562480,13165520,12821096,13009601,11181146,10650021,12363073,21855952
9,Other Expenses,10371391,8779734,2319073,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,11270540,9536276,11233301,10327278,13109922,11683030,14260945,17935444,18671114,24217177,18819764,14992663,15115281,16241202,14179264,13773047,13392938,13750168,11802511,11166116,12937600,22757333
11,COGS and Expenses,19147909,22859241,26224233,24981284,29520521,27111729,32039217,36235649,38344224,49682837,42634871,36192129,37583366,36716372,36678191,32760076,32877519,38272418,34855411,38825339,57791700,197499106
12,Interest Income ,204195,51943,10035,44553,475121,1372715,1976406,1870512,855685,57604,32324,62596,46999,38943,33941,24917,26522,65695,144124,351166,2262758,- -
13,Interest Expense (Gain),203776,553617,446392,307142,243922,339688,411154,326304,54359,21892,302843,240484,231210,230578,222808,219672,213295,210761,177190,166897,260264,227183
14,Depreciation and Amortization,938570,1196120,1328700,1308624,1294297,1366907,1426748,1430072,1397333,1396793,1516226,1311746,1335858,1284249,1074520,858391,872868,834951,886814,852080,832069,1257417
15,EBITDA,-9302263,-5465543,-5050836,9329736,68405959,-137091,-3311544,-6645345,-8191888,-11841205,4043706,2984509,-2556006,-4608053,-1049100,5400258,-2607612,-2877934,-289257,4175086,27165580,76435411
16,EBITDA ratio,-0.9648,-0.3385,-0.2486,0.4890,3.1785,-0.0057,-0.1308,-0.2528,-0.2936,-0.3038,0.1116,0.0930,-0.0760,-0.1497,-0.0304,0.1827,-0.0874,-0.0834,-0.0087,0.0999,0.3318,0.8216
17,Operating Income,-10445028,-6713606,-6389571,-5902952,-7998821,-2876713,-6714698,-9945929,-10444906,-13295602,-6780604,-4089833,-3938863,-5931245,-2157561,-3207876,-3507002,-3778580,-1320195,2971840,24070753,72595188
18,Operating Income ratio,-1.0833,-0.4158,-0.3145,-0.3094,-0.3717,-0.1187,-0.2651,-0.3783,-0.3744,-0.3411,-0.1872,-0.1274,-0.1171,-0.1927,-0.0625,-0.1085,-0.1176,-0.1095,-0.0397,0.0711,0.2940,0.7803
19,Total Other Income Expenses (Gains),- -,- -,-2800710,13616922,74866561,1033027,1565252,1544208,801326,35712,9005241,5522112,-184211,-191635,-188867,7530071,-186773,-145066,-33066,184269,2002494,2355623
20,Income Before Tax,- -,- -,- -,7713970,66867740,-1843686,-5149446,-8401721,-9643580,-13259890,2224637,1432279,-4123074,-6122880,-2346428,4322195,-3693775,-3923646,-1353261,3156109,26073247,74950811
21,Income Before Tax Ratio,- -,- -,- -,0.4043,3.1070,-0.0761,-0.2033,-0.3196,-0.3457,-0.3402,0.0614,0.0446,-0.1225,-0.1989,-0.0680,0.1463,-0.1238,-0.1137,-0.0407,0.0755,0.3185,0.8057
22,Income Tax expense (Gain),- -,- -,- -,265473,12176345,-605363,-1279962,-1453617,- -,-3837590,-176057,13797,9818,90972,8177,7877,1132,-187608,-13318,7875,1850234,18886570
23,Net Income,-10444609,-7215280,-6825928,7448497,54691395,-1238323,-3869484,-6948104,-9643580,-9422300,2400694,1418482,-4132892,-6213852,-2354605,4314318,-3694907,-3736038,-1339943,3148234,24223013,56064241
24,Net Income ratio,-1.0833,-0.4469,-0.3360,0.3904,2.5412,-0.0511,-0.1528,-0.2643,-0.3457,-0.2417,0.0663,0.0442,-0.1228,-0.2018,-0.0682,0.1460,-0.1239,-0.1083,-0.0403,0.0753,0.2959,0.6026
25,EPS,-0.96,-0.47,-0.45,0.23,2.33,-0.12,-0.23,-0.35,-0.46,-0.45,0.04,0.02,-0.19,-0.26,-0.12,0.21,-0.15,-0.14,-0.06,0.07,0.80,1.69
26,EPS Diluted,-0.96,-0.47,-0.45,0.20,2.08,-0.12,-0.23,-0.35,-0.46,-0.45,0.04,0.02,-0.19,-0.26,-0.12,0.20,-0.15,-0.14,-0.06,0.07,0.80,1.68
27,Weighted Average Shares Outstanding,14716190,19774006,20300454,21001004,22600166,23332277,23591999,23727029,23794566,23806533,23872783,24171238,26219728,26999698,27375450,27822593,29354437,31958121,32666454,32672475,33169307,33169307
28,Weighted Average Shares Outstanding Diluted,14716190,19774006,20300454,24438870,25335519,23332277,23591999,23727029,23794566,23806533,26248874,26354786,26219728,26999698,27375450,29481294,29354437,31958121,32666454,32672475,33300654,33300654
