,https://roic.ai/company/PZN,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,33584000,51896000,78596000,115087000,147149000,101404000,63039000,77525000,83045000,76280000,95769000,112511000,116607000,108336000,141295000,153579000,150746000,138619000,199334000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,31755000,36822000,41273000,46523000,48330000,58904000,61419000,88109000,68487000,77072000
3,Gross Profit,- -,- -,- -,- -,- -,- -,63039000,77525000,83045000,44525000,58947000,71238000,70084000,60006000,82391000,92160000,62637000,70132000,122262000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,0.5837,0.6155,0.6332,0.6010,0.5539,0.5831,0.6001,0.4155,0.5059,0.6134
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,5734000,8380000,- -,- -,33252000,37555000,45191000,7346000,8099000,10285000,14667000,12788000,13337000,13405000,16973000,14859000,16403000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,5734000,8380000,- -,- -,33252000,37555000,45191000,7346000,8099000,10285000,14667000,12788000,13337000,13405000,16973000,14859000,16403000
9,Other Expenses,- -,- -,- -,- -,142739000,37011000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,- -,142739000,37011000,33252000,37555000,45191000,7346000,8099000,10285000,14667000,12788000,13337000,13405000,16973000,14859000,16403000
11,COGS and Expenses,19171000,33846000,47019000,314012000,142739000,37011000,33252000,37555000,45191000,39101000,44921000,51558000,61190000,61118000,72241000,74824000,105082000,83346000,93475000
12,Interest Income ,- -,- -,- -,- -,- -,- -,480000,208000,244000,200000,112000,71000,40000,80000,213000,764000,1039000,466000,210000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,1485000,232000,- -,30000,- -,8000,21000,24000,29000,77000,48000,16000,2000
14,Depreciation and Amortization,- -,- -,175000,292000,368000,501000,472000,432000,406000,179000,178000,224000,789000,1058000,1024000,995000,1039000,1214000,1180000
15,EBITDA,11774000,14880000,-25790000,-711224000,6711000,64484000,4019000,5216000,6933000,5960000,7437000,10215000,13603000,-37214000,42473000,22644000,15344000,14391000,27659000
16,EBITDA ratio,0.3506,0.2867,-0.3281,-6.1799,0.0456,0.6359,0.0638,0.0673,0.0835,0.0781,0.0777,0.0908,0.1167,-0.3435,0.3006,0.1474,0.1018,0.1038,0.1388
17,Operating Income,14413000,18050000,31577000,-198925000,4410000,64393000,29787000,39970000,37854000,37179000,50848000,60953000,55417000,47218000,69054000,78755000,45664000,55273000,105859000
