,https://roic.ai/company/ACST,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,29041,127114,707395,450160,216290,27788,- -,- -,- -,- -,196000
2,COGS,- -,- -,5106,396944,262302,187897,60082,- -,- -,- -,- -,76000
3,Gross Profit,- -,29041,122008,310452,187858,28393,-32294,- -,- -,- -,- -,120000
4,Gross Profit Ratio,- -,1.0000,0.9598,0.4389,0.4173,0.1313,-1.1622,- -,- -,- -,- -,0.6122
5,Research and Development Exp.,1121087,1461871,3158701,2939210,3862092,5212495,5453000,- -,12133250,28734272,15974000,4173000
6,General and Administrative Exp.,- -,857749,- -,4189052,6031971,4722194,1607427,- -,3118297,4238316,5799000,5513000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2665000,1142000
8,"Selling, General and Administrative Exp.",- -,857749,- -,4189052,6031971,4722194,1607427,- -,3118297,4238316,8464000,6655000
9,Other Expenses,417213,146872,3513946,-0,-0,- -,- -,- -,- -,- -,- -,8000
10,Operating Expenses,1538301,2466493,6672647,7128262,9894063,9934689,7060428,- -,15251547,32972588,24438000,10836000
11,COGS and Expenses,1538301,2466493,6677754,7525205,10156365,10122586,7120510,- -,15251547,32972588,24438000,10912000
12,Interest Income ,19031,12040,43393,46145,28990,69542,54235,- -,55753,355752,336000,107000
13,Interest Expense (Gain),432,1434,9014,2623,876,3245,1668,- -,283411,273367,247000,- -
14,Depreciation and Amortization,8624,13336,671763,649602,1594231,1866431,1766998,- -,2069056,2117286,2320000,924000
15,EBITDA,-1529677,-2412076,-5857884,-6080239,-8840829,547135,-2892749,- -,-14007945,-30988616,-21828000,-18754000
16,EBITDA ratio,-Infinity,-83.0579,-46.0835,-8.5952,-19.6393,2.5296,-104.1001,- -,-Infinity,-Infinity,-Infinity,-95.6837
17,Operating Income,-1538733,-2437452,-6550639,-6817810,-9706205,-9906297,-7092722,- -,-15251547,-33714050,-24438000,-16419000
18,Operating Income ratio,-Infinity,-83.9317,-51.5334,-9.6379,-21.5617,-45.8011,-255.2427,- -,-Infinity,-Infinity,-Infinity,-83.7704
19,Total Other Income Expenses (Gains),11399,- -,11978,85346,-729731,8583755,2431306,- -,-1400020,-4906381,-1075000,-3259000
20,Income Before Tax,- -,- -,-6538661,-6732464,-10435936,-1322541,-4661416,- -,-16651567,-38620431,-25513000,-19678000
21,Income Before Tax Ratio,- -,- -,-51.4392,-9.5173,-23.1827,-6.1147,-167.7483,- -,-Infinity,-Infinity,-Infinity,-100.3980
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1508303,-2426846,-6538661,-6732464,-10435936,-1322541,-4661416,- -,-16651567,-38620431,-25513000,-19678000
24,Net Income ratio,-Infinity,-83.5665,-51.4392,-9.5173,-23.1827,-6.1147,-167.7483,- -,-Infinity,-Infinity,-Infinity,-100.3980
