,https://roic.ai/company/CME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,226552000,396630000,469079000,536041000,752802000,977296000,1089947000,1756101000,2561019000,2612800000,3003700000,3280600000,2914600000,2936300000,3112500000,3326800000,3595200000,3644700000,4309400000,4868000000,4883600000,4689700000
2,COGS,- -,35070000,39857000,46583000,51445000,67886000,300062000,357298000,429504000,529300000,640700000,696200000,536800000,554200000,584100000,581500000,567800000,586800000,672200000,898700000,856500000,837000000
3,Gross Profit,- -,361560000,429222000,489458000,701357000,909410000,789885000,1398803000,2131515000,2083500000,2363000000,2584400000,2377800000,2382100000,2528400000,2745300000,3027400000,3057900000,3637200000,3969300000,4027100000,3852700000
4,Gross Profit Ratio,- -,0.9116,0.9150,0.9131,0.9317,0.9305,0.7247,0.7965,0.8323,0.7974,0.7867,0.7878,0.8158,0.8113,0.8123,0.8252,0.8421,0.8390,0.8440,0.8154,0.8246,0.8215
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,200079000,204342000,230317000,261280000,279336000,79507000,136995000,- -,165500000,157500000,162400000,337100000,360100000,398200000,403600000,437700000,421400000,453900000,547800000,634700000,581200000
7,Selling and Marketing Exp.,5219000,- -,- -,- -,- -,- -,16740000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5219000,200079000,204342000,230317000,261280000,279336000,96247000,136995000,- -,165500000,157500000,162400000,337100000,360100000,398200000,403600000,437700000,421400000,453900000,547800000,634700000,581200000
9,Other Expenses,229416000,37639000,48509000,53016000,53408000,64917000,72783000,185256000,544481000,323600000,375000000,260500000,348700000,385000000,361800000,353000000,387000000,324500000,575700000,833700000,755000000,626300000
10,Operating Expenses,234635000,237718000,252851000,283333000,314688000,344253000,169030000,322251000,544481000,489100000,532500000,422900000,685800000,745100000,760000000,756600000,824700000,745900000,1029600000,1381500000,1389700000,1207500000
11,COGS and Expenses,234635000,272788000,292708000,329916000,366133000,412139000,469092000,679549000,973985000,1018400000,1173200000,1119100000,1222600000,1299300000,1344100000,1338100000,1392500000,1332700000,1701800000,2280200000,2246200000,2044500000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,134000000,140300000,116900000,132200000,151400000,119400000,117400000,123500000,117000000,157700000,178000000,166200000,166900000
14,Depreciation and Amortization,33489000,37639000,48509000,53016000,56928000,68221000,75323000,142695000,238371000,251400000,258000000,260500000,253100000,238100000,233200000,228600000,225300000,208500000,248700000,473300000,464400000,385400000
15,EBITDA,24241000,152004000,202738000,259141000,424584000,576600000,746980000,1238497000,1486335000,1822900000,2119500000,2311800000,2068300000,1989200000,2124200000,2302800000,2636400000,2851800000,3182700000,3341600000,3351500000,3925400000
16,EBITDA ratio,0.1070,0.3832,0.4322,0.4834,0.5640,0.5900,0.6853,0.7053,0.5804,0.6977,0.7056,0.7047,0.7096,0.6775,0.6825,0.6922,0.7333,0.7825,0.7385,0.6864,0.6863,0.8370
17,Operating Income,-8083000,123842000,176371000,206125000,386669000,565157000,620855000,1050493000,1582195000,1589100000,1831100000,2021100000,1692000000,1637000000,1768400000,1988700000,2202700000,2312000000,2607600000,2587800000,2637400000,2645200000
18,Operating Income ratio,-0.0357,0.3122,0.3760,0.3845,0.5136,0.5783,0.5696,0.5982,0.6178,0.6082,0.6096,0.6161,0.5805,0.5575,0.5682,0.5978,0.6127,0.6343,0.6051,0.5316,0.5401,0.5640
19,Total Other Income Expenses (Gains),- -,-9477000,-22142000,- -,-19013000,-56778000,50802000,45309000,-334231000,-151600000,-109200000,-84600000,1400000,-36000000,3000000,-31900000,84900000,214300000,170200000,101800000,84700000,728400000
20,Income Before Tax,-8083000,114365000,154229000,206125000,367656000,508379000,671657000,1095802000,1247964000,1437500000,1721900000,1936500000,1693400000,1601000000,1771400000,1956800000,2287600000,2526300000,2777800000,2689600000,2722100000,3373600000
21,Income Before Tax Ratio,-0.0357,0.2883,0.3288,0.3845,0.4884,0.5202,0.6162,0.6240,0.4873,0.5502,0.5733,0.5903,0.5810,0.5452,0.5691,0.5882,0.6363,0.6931,0.6446,0.5525,0.5574,0.7194
22,Income Tax expense (Gain),-3339000,46063000,60162000,83993000,148101000,201522000,264309000,437269000,532478000,611700000,769800000,122100000,786700000,622900000,644500000,709800000,753500000,-1537100000,814100000,573800000,615700000,736700000
23,Net Income,-5909000,68302000,94067000,122132000,219555000,306857000,407348000,658533000,715486000,825800000,951400000,1812300000,896300000,976800000,1127100000,1247000000,1534100000,4063400000,1962200000,2116500000,2105200000,2636400000
24,Net Income ratio,-0.0261,0.1722,0.2005,0.2278,0.2917,0.3140,0.3737,0.3750,0.2794,0.3161,0.3167,0.5524,0.3075,0.3327,0.3621,0.3748,0.4267,1.1149,0.4553,0.4348,0.4311,0.5622
25,EPS,-0.04,0.47,0.65,0.75,1.31,1.79,2.35,3.01,2.44,2.49,2.87,5.45,2.71,2.94,3.37,3.71,4.55,12.00,5.73,5.93,5.88,7.36
26,EPS Diluted,-0.04,0.47,0.63,0.72,1.28,1.76,2.32,2.99,2.43,2.48,2.86,5.43,2.70,2.92,3.35,3.69,4.53,11.94,5.71,5.91,5.87,7.34
27,Weighted Average Shares Outstanding,143873500,143873500,145331210,163457135,167723465,171575000,173480000,218770000,293690000,331830000,331495000,332735000,331252000,332678000,334409000,336224000,337496000,338707000,342344000,357155000,357764000,358363000
28,Weighted Average Shares Outstanding Diluted,143873500,146366445,150302685,169674790,172054400,174195000,175620000,220535000,294835000,332740000,332475000,333810000,332319000,334398000,336063000,337894000,338966000,340226000,343737000,358239000,358524000,358988000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1156375/000104746903009665/0001047469-03-009665-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000119312504038979/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000119312505046676/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000119312506046258/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000119312507043084/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000119312508040449/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1156375/000119312510043180/0001193125-10-043180-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000119312511050252/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637512000016/0001156375-12-000016-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637513000007/0001156375-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637514000012/cme-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637515000014/cme-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637516000116/0001156375-16-000116-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637517000016/0001156375-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637518000026/0001156375-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637519000010/0001156375-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637520000013/0001156375-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637521000020/0001156375-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637522000076/0001156375-22-000076-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,30655000,69101000,339260000,185124000,357562000,610891000,969504000,845312000,297895000,260600000,855200000,1042300000,1604700000,2469700000,1366100000,1692600000,1868600000,1903600000,1374500000,1551400000,1633200000,2834900000
32,Short-Term Investments,- -,1829352000,2813491000,627042000,389950000,3045882000,2902054000,203308000,310077000,42600000,4088700000,9381500000,56600000,68400000,74700000,72500000,83300000,90100000,72900000,83200000,100900000,115000000
33,Cash and Short-Term Investments,30655000,1898453000,3152751000,812166000,747512000,3656773000,3871558000,1048620000,607972000,303200000,4943900000,10423800000,1661300000,2538100000,1440800000,1765100000,1951900000,1993700000,1447400000,1634600000,1734100000,2949900000
34,Net Receivables,28526000,40986000,50865000,55237000,78825000,86980000,126291000,194727000,276660000,248300000,297500000,289400000,267500000,302700000,341200000,357800000,364400000,359700000,553300000,491800000,461300000,434500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,208251000,6671000,11515000,3855976000,1868528000,39669000,32403000,3743708000,18226896000,6147500000,146100000,232600000,6789100000,21564800000,40763300000,35781600000,37715200000,44553100000,39886000000,37441400000,87088500000,158377400000
37,Total Current Assets,267432000,1946110000,3215131000,4723379000,2694865000,3783422000,4030252000,4987055000,19111528000,6699000000,5387500000,10945800000,8717900000,24405600000,42545300000,37904500000,40031500000,46906500000,41886700000,39567800000,89283900000,161761800000
38,PP&E,80393000,75901000,109563000,118203000,131361000,153329000,168755000,377452000,707215000,738500000,786800000,821900000,724000000,513400000,508900000,491700000,425200000,399700000,448700000,544000000,579200000,505300000
39,Goodwill,- -,- -,- -,- -,- -,- -,11496000,5049211000,7519209000,7549200000,7983600000,7984000000,7566900000,7569000000,7569000000,7569000000,7569000000,7569000000,10805300000,10742500000,10798800000,10528000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,12776000,9783789000,20351373000,20228500000,20493800000,20353300000,20029000000,19916500000,19812700000,19713200000,19617100000,19521600000,22675400000,22293000000,22040600000,20707300000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,24272000,14833000000,27870582000,27777700000,28477400000,28337300000,27595900000,27485500000,27381700000,27282200000,27186100000,27090600000,33480700000,33035500000,32839400000,31235300000
