,https://roic.ai/company/BE,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,208540000,375996000,742038000,785177000,794247000,972176000
2,COGS,312029000,394040000,624968000,687590000,628454000,774595000
3,Gross Profit,-103489000,-18044000,117070000,97587000,165793000,197581000
4,Gross Profit Ratio,-0.4963,-0.0480,0.1578,0.1243,0.2087,0.2032
5,Research and Development Exp.,46848000,51146000,89135000,104168000,83577000,103396000
6,General and Administrative Exp.,61545000,55674000,118817000,152650000,107085000,122188000
7,Selling and Marketing Exp.,29101000,32415000,62975000,73573000,55916000,86499000
8,"Selling, General and Administrative Exp.",90646000,88089000,181792000,226223000,163001000,208687000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,137494000,139235000,270927000,330391000,246578000,312083000
11,COGS and Expenses,449523000,533275000,895895000,1017981000,875032000,1086678000
12,Interest Income ,394000,- -,4322000,5661000,1475000,262000
13,Interest Expense (Gain),81190000,108623000,85828000,94236000,78789000,69025000
14,Depreciation and Amortization,43100000,46105000,43459000,78584000,52279000,53454000
15,EBITDA,-154639000,-107235000,-110929000,-133415000,-26229000,-40920000
16,EBITDA ratio,-0.7415,-0.2852,-0.1495,-0.1699,-0.0330,-0.0421
17,Operating Income,-240983000,-157279000,-153857000,-232804000,-80785000,-114502000
18,Operating Income ratio,-1.1556,-0.4183,-0.2073,-0.2965,-0.1017,-0.1178
19,Total Other Income Expenses (Gains),-94604000,-123350000,-104095000,-90029000,-98046000,-77821000
20,Income Before Tax,-335587000,-280629000,-257952000,-322833000,-178831000,-192323000
21,Income Before Tax Ratio,-1.6092,-0.7464,-0.3476,-0.4112,-0.2252,-0.1978
22,Income Tax expense (Gain),729000,636000,1537000,633000,256000,1046000
23,Net Income,-279658000,-262599000,-241753000,-306868000,-157553000,-164445000
24,Net Income ratio,-1.3410,-0.6984,-0.3258,-0.3908,-0.1984,-0.1692
25,EPS,-4.81,-4.21,-4.54,-2.67,-1.14,-1.19
26,EPS Diluted,-4.81,-4.21,-4.54,-2.67,-1.14,-1.19
27,Weighted Average Shares Outstanding,58135362,58557362,53268000,115118000,138722000,138722000
28,Weighted Average Shares Outstanding Diluted,58135362,58557362,53268000,115118000,138722000,138722000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1664703/000166470319000008/0001664703-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/0001664703-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1664703/000166470321000017/0001664703-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1664703/000166470322000034/0001664703-22-000034-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,156577000,103828000,220728000,202823000,246947000,396035000
32,Short-Term Investments,- -,26816000,104350000,- -,- -,- -
33,Cash and Short-Term Investments,156577000,130644000,325078000,202823000,246947000,396035000
34,Net Receivables,45982000,37362000,91482000,49959000,110580000,124237000
35,Inventory,83155000,90260000,132476000,109606000,142059000,143370000
36,Other Current Assets,106371000,161715000,123545000,110319000,119018000,142778000
37,Total Current Assets,392085000,419981000,672581000,472707000,618604000,806420000
38,PP&E,538445000,497789000,481414000,607059000,636249000,710766000
39,Goodwill,- -,- -,- -,- -,- -,1957000
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,1957000
42,Investments,6125000,5014000,6046000,5733000,1954000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,267392000,298203000,229627000,237092000,197580000,206428000
45,Total Non-Current Assets,811962000,801006000,717087000,849884000,835783000,919151000
46,Other Assets,- -,- -,- -,- -,- -,- -
