,https://roic.ai/company/BF-B,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,994900000,1098100000,1066600000,1005800000,1016600000,1118900000,1260100000,1414500000,1401400000,1420200000,1544000000,1584000000,1669000000,1776000000,1877000000,1924000000,1958000000,2060000000,2213000000,2312000000,1976000000,2218000000,2582000000,2481000000,2469000000,2586000000,2723000000,2849000000,2991000000,3134000000,3089000000,2994000000,3248000000,3324000000,3363000000,3461000000
2,COGS,457300000,514200000,489300000,412700000,392100000,426900000,487000000,554700000,538000000,552800000,618000000,630000000,639000000,676000000,712000000,718000000,825000000,878000000,915000000,912000000,655000000,737000000,887000000,904000000,858000000,862000000,928000000,894000000,913000000,951000000,945000000,973000000,1046000000,1158000000,1236000000,1367000000
3,Gross Profit,537600000,583900000,577300000,593100000,624500000,692000000,773100000,859800000,863400000,867400000,926000000,954000000,1030000000,1100000000,1165000000,1206000000,1133000000,1182000000,1298000000,1400000000,1321000000,1481000000,1695000000,1577000000,1611000000,1724000000,1795000000,1955000000,2078000000,2183000000,2144000000,2021000000,2202000000,2166000000,2127000000,2094000000
4,Gross Profit Ratio,0.5404,0.5317,0.5413,0.5897,0.6143,0.6185,0.6135,0.6078,0.6161,0.6108,0.5997,0.6023,0.6171,0.6194,0.6207,0.6268,0.5787,0.5738,0.5865,0.6055,0.6685,0.6677,0.6565,0.6356,0.6525,0.6667,0.6592,0.6862,0.6948,0.6966,0.6941,0.6750,0.6780,0.6516,0.6325,0.6050
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,484000000,481000000,487000000,527000000,574000000,480000000,537000000,592000000,548000000,539000000,574000000,610000000,650000000,686000000,697000000,688000000,667000000,765000000,641000000,642000000,671000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295000000,299000000,321000000,354000000,371000000,325000000,361000000,415000000,383000000,350000000,366000000,395000000,408000000,436000000,437000000,417000000,383000000,414000000,396000000,383000000,399000000
8,"Selling, General and Administrative Exp.",329400000,381300000,364100000,363600000,374000000,443000000,509800000,569400000,586500000,556100000,606000000,617000000,672000000,723000000,755000000,779000000,780000000,808000000,881000000,945000000,805000000,898000000,1007000000,931000000,889000000,940000000,1005000000,1058000000,1122000000,1134000000,1105000000,1050000000,1179000000,1037000000,1025000000,1070000000
9,Other Expenses,18100000,20500000,21500000,21100000,25400000,25500000,29600000,35100000,36600000,43500000,46000000,50000000,51000000,55000000,62000000,- -,- -,-4000000,10000000,37000000,-47000000,-19000000,3000000,-15000000,5000000,-71000000,2000000,-1000000,-15000000,22000000,-9000000,-18000000,-16000000,-15000000,11000000,-15000000
10,Operating Expenses,347500000,401800000,385600000,384700000,399400000,468500000,539400000,604500000,623100000,599600000,652000000,667000000,723000000,778000000,817000000,779000000,780000000,804000000,891000000,982000000,758000000,879000000,1010000000,916000000,894000000,869000000,1007000000,1057000000,1107000000,1156000000,1096000000,1032000000,1163000000,1022000000,1036000000,1055000000
11,COGS and Expenses,804800000,916000000,874900000,797400000,791500000,895400000,1026400000,1159200000,1161100000,1152400000,1270000000,1297000000,1362000000,1454000000,1529000000,1497000000,1605000000,1682000000,1806000000,1894000000,1413000000,1616000000,1897000000,1820000000,1752000000,1731000000,1935000000,1951000000,2020000000,2107000000,2041000000,2005000000,2209000000,2180000000,2272000000,2422000000
