,https://roic.ai/company/EDAP,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,32727240,23192352,19163253,27327617,24006718,19979016,18440553,22146629,20794511,20265177,22362105,23053000,24885000,23708000,22292000,26065000,24079000,26785000,32253000,35611000,35746000,39182000,44911000,41662000,44066000
2,COGS,16181802,11596176,10774671,14231315,15216617,11513784,13071322,13666260,12303285,11945741,13168704,13955000,14213000,14253000,13435000,15632000,14760000,15584000,18468000,19200000,20938000,22265000,23909000,23284000,25643000
3,Gross Profit,16545438,11596176,8388581,13096302,8790100,8465233,5369231,8480369,8491226,8319436,9193401,9098000,10672000,9455000,8857000,10433000,9319000,11201000,13785000,16411000,14808000,16917000,21002000,18378000,18423000
4,Gross Profit Ratio,0.5056,0.5000,0.4377,0.4792,0.3662,0.4237,0.2912,0.3829,0.4083,0.4105,0.4111,0.3947,0.4289,0.3988,0.3973,0.4003,0.3870,0.4182,0.4274,0.4608,0.4143,0.4318,0.4676,0.4411,0.4181
5,Research and Development Exp.,3363633,3240108,3142364,3982128,3435793,3188638,3063368,1521834,1782338,2442035,3198898,4255000,3651000,3268000,2436000,2659000,2595000,2932000,2690000,3868000,3881000,4088000,3728000,4496000,3402000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3862000,3822000,3320000,3044000,3185000,3200000,3328000,3202000,3296000,3428000,3593000,4224000,4335000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5684000,6401000,6684000,5874000,6620000,6279000,6678000,7406000,8856000,9526000,10551000,10850000,9279000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9546000,10223000,10004000,8918000,9805000,9479000,10006000,10608000,12152000,12954000,14144000,15074000,13614000,16633000
9,Other Expenses,13999986,14495220,13363494,12859930,9680237,10056692,10412909,7787688,8030232,8970292,10089834,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,17363619,17735328,16505858,16842057,13116030,13245330,13476277,9309522,9812571,11412327,13288731,13801000,13874000,13272000,11354000,12464000,12074000,12938000,13298000,16020000,16835000,18232000,18802000,18110000,20035000
11,COGS and Expenses,33545421,29331504,27280529,31073372,28332647,24759114,26547599,22975781,22115856,23358067,26457435,27756000,28087000,27525000,24789000,28096000,26834000,28522000,31766000,35220000,37773000,40497000,42711000,41394000,45678000
12,Interest Income ,- -,511596,- -,- -,992413,455520,177069,146061,186593,224276,331275,412000,252000,265000,185000,126000,59000,31000,18000,21000,18000,19000,20000,10000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1413000,1454000,2136000,875000,2065000,1967000,65000,64000,57000,44000,111000,165000,108000,145000
14,Depreciation and Amortization,1454544,1534788,1795779,1349026,1104804,1116881,981421,1048243,1201453,1257008,1298352,1785000,1801000,1233000,1413000,931000,1179000,900000,1002000,1025000,1573000,1610000,1879000,2105000,- -
15,EBITDA,1545453,-5542290,-4709571,13414659,9138512,-2759801,-8092754,178519,241473,-2117744,-4279829,4303000,-4439000,-8409000,1745000,-4361000,-1740000,569000,158000,5526000,1324000,1741000,4235000,1025000,1038000
