,https://roic.ai/company/MOBQ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,3422665,4506807,5660102,6069356,3248132,3170035,3243318,2890652,3157532,3257950,2491875,2268523,385628,1474392,9717796,6184010,2672615
2,COGS,2324185,3183825,3844047,4383183,2260065,2237396,2417834,2170265,2353095,2104203,1627851,1603500,684004,1043616,7297550,4360645,1954383
3,Gross Profit,1098480,1322982,1816055,1686173,988067,932639,825484,720387,804437,1153747,864024,665023,-298376,430776,2420246,1823365,718232
4,Gross Profit Ratio,0.3209,0.2936,0.3209,0.2778,0.3042,0.2942,0.2545,0.2492,0.2548,0.3541,0.3467,0.2932,-0.7737,0.2922,0.2491,0.2949,0.2687
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,2155753,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15882475,9204465,- -
7,Selling and Marketing Exp.,- -,- -,- -,771867,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,2927620,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15882475,9204465,6575365
9,Other Expenses,1776710,1806684,2721058,- -,2569021,2694826,3033448,4667122,6665082,11086616,11549375,8950494,4908934,17257867,- -,- -,10131866
10,Operating Expenses,1776710,1806684,2721058,2927620,2569021,2694826,3033448,4667122,6665082,11086616,11549375,8950494,4908934,17257867,15882475,9204465,16707231
11,COGS and Expenses,4100895,4990509,6565105,7310803,4829086,4932222,5451282,6837387,9018177,13190819,13177226,10553994,5592938,18301483,23180025,13565110,18661614
12,Interest Income ,224,2676,25948,12096,4975,749,633,436,274,164,41,3,- -,- -,- -,- -,- -
13,Interest Expense (Gain),4532,- -,- -,1042,1031,818,2177,62689,227094,251394,996011,3525072,3058310,2304401,346204,715262,817430
14,Depreciation and Amortization,5590,4201,5705,17865,30838,56961,129607,233825,289289,274896,192955,159234,22594,42866,1528644,1807007,1
15,EBITDA,-672416,-476825,-873350,-1211486,-1545141,-1704477,-2077724,-3837547,-5571082,-9979809,-9270758,-7026197,-7164589,-56163462,-41872527,-12507126,-15988998
16,EBITDA ratio,-0.1965,-0.1058,-0.1543,-0.1996,-0.4757,-0.5377,-0.6406,-1.3276,-1.7644,-3.0632,-3.7204,-3.0973,-18.5790,-38.0926,-4.3089,-2.0225,-5.9825
17,Operating Income,-678230,-483702,-905003,-1241447,-1580954,-1762187,-2207964,-3946735,-5860645,-9932869,-10685351,-8285471,-5207310,-16827091,-13462229,-11381100,-15988999
18,Operating Income ratio,-0.1982,-0.1073,-0.1599,-0.2045,-0.4867,-0.5559,-0.6808,-1.3653,-1.8561,-3.0488,-4.2881,-3.6524,-13.5035,-11.4129,-1.3853,-1.8404,-5.9825
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-1544,-187326,-226820,-573230,225627,-2425032,-5038183,-41683638,-30285146,-3648295,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-2209508,-4134061,-6087465,-10506099,-10459724,-10710503,-10245493,-58510729,-43747375,-15029395,- -
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-0.6812,-1.4301,-1.9279,-3.2248,-4.1975,-4.7214,-26.5683,-39.6846,-4.5018,-2.4304,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-682538,-481026,-879055,-1230393,-1577010,-1762256,-2209508,-4134061,-6087465,-10506099,-10459724,-10710503,-10245493,-58510729,-43747375,-15029395,- -
24,Net Income ratio,-0.1994,-0.1067,-0.1553,-0.2027,-0.4855,-0.5559,-0.6812,-1.4301,-1.9279,-3.2248,-4.1975,-4.7214,-26.5683,-39.6846,-4.5018,-2.4304,- -
25,EPS,-48.00,-28.00,-44.00,-64.00,-64.00,-52.00,-44.00,-64.00,-52.00,-68.00,-56.00,-52.00,-20.00,-72.00,-24.00,-5.92,- -
26,EPS Diluted,-48.00,-28.00,-44.00,-64.00,-64.00,-52.00,-44.00,-64.00,-52.00,-68.00,-56.00,-52.00,-20.00,-72.00,-24.00,-5.92,- -
27,Weighted Average Shares Outstanding,14701,17856,20053,20677,25177,33801,51415,65541,106097,154161,182414,208938,460248,938694,1952538,2537811,2537811
