,https://roic.ai/company/BNTX,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,61598000,127575000,108589000,482325000,18976700000
2,COGS,- -,9318000,13690000,17361000,59333000,3860700000
3,Gross Profit,- -,52280000,113885000,91228000,422992000,15116000000
4,Gross Profit Ratio,- -,0.8487,0.8927,0.8401,0.8770,0.7966
5,Research and Development Exp.,- -,85496000,143040000,226466000,647062000,- -
6,General and Administrative Exp.,- -,22889000,24049000,40692000,86912000,278500000
7,Selling and Marketing Exp.,- -,6603000,3041000,2718000,14512000,50400000
8,"Selling, General and Administrative Exp.",- -,29492000,27090000,43410000,101424000,328900000
9,Other Expenses,- -,-1431000,-2392000,2870000,-236075000,-128800000
10,Operating Expenses,- -,113557000,167738000,272746000,512411000,200100000
11,COGS and Expenses,- -,122875000,181428000,290107000,571744000,4060800000
12,Interest Income ,- -,2133000,1996000,1781000,1564000,1500000
13,Interest Expense (Gain),- -,676000,1721000,1718000,2003000,5400000
14,Depreciation and Amortization,- -,10529000,21984000,33896000,38744000,75200000
15,EBITDA,- -,-74403000,-23714000,-143710000,-105055000,15127000000
16,EBITDA ratio,- -,-1.2079,-0.1859,-1.3234,-0.2178,0.7971
17,Operating Income,- -,-61277000,-53854000,-181518000,-82417000,15283800000
18,Operating Income ratio,- -,-0.9948,-0.4221,-1.6716,-0.1709,0.8054
19,Total Other Income Expenses (Gains),- -,-24628000,6192000,2078000,-63385000,-237400000
20,Income Before Tax,- -,-85905000,-47662000,-179440000,-145802000,15046400000
21,Income Before Tax Ratio,- -,-1.3946,-0.3736,-1.6525,-0.3023,0.7929
22,Income Tax expense (Gain),- -,45000,600000,-268000,-161000000,4753900000
23,Net Income,- -,-85653000,-48019000,-179056000,15198000,10292500000
24,Net Income ratio,- -,-1.3905,-0.3764,-1.6489,0.0315,0.5424
25,EPS,- -,-0.38,-0.21,-0.85,0.06,327.50
26,EPS Diluted,- -,-0.38,-0.21,-0.85,0.06,327.50
27,Weighted Average Shares Outstanding,- -,226262336,226262336,211499000,253300000,31427370
28,Weighted Average Shares Outstanding Diluted,- -,226262336,226262336,211499000,253300000,31427370
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1776985/000156459020014536/0001564590-20-014536-index.htm,https://www.sec.gov/Archives/edgar/data/1776985/000156459021016723/0001564590-21-016723-index.htm,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,303680000,172106000,411495000,519149000,1210209000,1692700000
32,Short-Term Investments,1528000,246000,336000,1680000,137234000,381600000
33,Cash and Short-Term Investments,305208000,172352000,411831000,520829000,1347443000,2074300000
34,Net Receivables,5972000,9094000,28440000,20205000,166366000,12382100000
35,Inventory,3266000,3876000,5789000,11722000,64120000,502500000
36,Other Current Assets,3679000,4315000,2901000,7395000,88967000,113400000
37,Total Current Assets,318125000,189637000,448961000,560151000,1666896000,15072300000
38,PP&E,60508000,101522000,115965000,148060000,325956000,520400000
39,Goodwill,534000,534000,534000,2978000,53697000,57800000
40,Intangible Assets,10650000,83003000,87508000,86456000,109793000,144600000
41,Intangible Assets,11184000,83537000,88042000,89434000,163490000,202400000
42,Investments,66000,19000,18000,- -,- -,21300000
43,Tax Assets,- -,- -,- -,- -,161233000,- -
44,Other Non-Current Assets,76000,-2000,- -,2000,1045000,14400000
45,Total Non-Current Assets,71834000,185076000,204025000,237496000,651724000,758500000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,389959000,374713000,652986000,797647000,2318620000,15830800000
48,Accounts Payable,6218000,52538000,41721000,20498000,102288000,160000000
49,Short-Term Debt,- -,- -,- -,- -,9142000,129900000
50,Tax Payable,- -,- -,297000,150000,- -,1568900000
51,Deferred Revenue,33466000,77346000,66027000,93583000,299583000,186100000
52,Other Current Liabilities,16952000,28660000,18373000,24061000,195001000,3005600000
53,Total Current Liabilities,56636000,158544000,126121000,138142000,606014000,3481600000
54,Long-Term Debt,26669000,50349000,54218000,68904000,231047000,171600000
