,https://roic.ai/company/EVFM,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,100000,- -,- -,- -,- -,- -,- -,- -,446000,8244000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,468000,4055000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,-22000,4189000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-0.0493,0.5081
5,Research and Development Exp.,3249095,11447844,5174876,34409664,6578678,3945757,43415000,22230000,17050000,33129000
6,General and Administrative Exp.,2591945,2974842,4416181,7639427,5463622,6098944,34227000,30512000,30085000,24709000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,56467000,113152000
8,"Selling, General and Administrative Exp.",2591945,2974842,4416181,7639427,5463622,6098944,34227000,30512000,86552000,137861000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5841040,14422686,9591057,42049091,12042300,10044701,77642000,52742000,103602000,170990000
11,COGS and Expenses,5841040,14422686,9591057,42049091,12042300,10044701,77642000,52742000,104070000,175045000
12,Interest Income ,1732,1349,7555,26033,59465,51250,127000,458000,169000,15000
13,Interest Expense (Gain),936526,56808,374891,1133987,1035763,- -,- -,458000,169000,15000
14,Depreciation and Amortization,123712,72216,17669,58425,69094,45870,262000,263000,302000,1023000
15,EBITDA,-6767378,-14396427,-9565833,-41990666,-11973206,-9998831,-77380000,-44724000,-141834000,-204137000
16,EBITDA ratio,-67.6738,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-318.0135,-24.7619
17,Operating Income,-5741040,-14422686,-9591057,-42049091,-12042300,-10044701,-77642000,-52742000,-103624000,-166801000
18,Operating Income ratio,-57.4104,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-232.3408,-20.2330
19,Total Other Income Expenses (Gains),-2086576,-593567,-1228179,-1107954,-976298,51250,-48068000,-27287000,-38681000,-38374000
20,Income Before Tax,-7827616,-15016253,-10819236,-43157045,-13018598,-9993451,-125710000,-80029000,-142305000,-205175000
21,Income Before Tax Ratio,-78.2762,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-319.0695,-24.8878
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,2000,4000,4000,17000
23,Net Income,-7827616,-15016253,-10819236,-43157045,-13018598,-9993451,-125712000,-80033000,-142309000,-205192000
24,Net Income ratio,-78.2762,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-319.0785,-24.8899
25,EPS,-5.50,-12.48,-32.16,-18.90,-5.64,-4.33,-5.74,-1.99,-2.12,-1.64
26,EPS Diluted,-5.50,-12.48,-32.16,-18.90,-5.64,-4.33,-5.74,-1.99,-2.12,-1.64
27,Weighted Average Shares Outstanding,1423517,1166032,336267,2282676,2300171,2305360,21900574,40228517,67157278,125168570
28,Weighted Average Shares Outstanding Diluted,1423517,1166032,336267,2282676,2300171,2305360,21900574,40228517,67157278,125168570
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1618835/000156459015001988/0001564590-15-001988-index.htm,https://www.sec.gov/Archives/edgar/data/1618835/000156459016015451/0001564590-16-015451-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000156459017005093/0001564590-17-005093-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000156459018003259/0001564590-18-003259-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000161883519000031/0001618835-19-000031-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000161883520000047/0001618835-20-000047-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000161883521000040/0001618835-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1618835/000161883522000057/0001618835-22-000057-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,11099858,4364007,75947516,37748603,11477852,3416960,1330000,15571000,48892000,7732000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,8233000,- -,- -
33,Cash and Short-Term Investments,11099858,4364007,75947516,37748603,11477852,3416960,1330000,23804000,48892000,7732000
34,Net Receivables,- -,- -,- -,- -,- -,- -,261000,686000,1317000,6449000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,7162000,7674000
36,Other Current Assets,1484950,141863,925773,1976997,1029546,608432,887000,1931000,40359000,8285000
37,Total Current Assets,12584808,4505870,76873289,39725600,12507398,4025392,2478000,26421000,97730000,30140000
38,PP&E,197419,24401,24809,186372,109320,- -,593000,554000,11190000,11169000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,40000,- -,- -,200000,200000,93382,939000,1320000,1048000,1203000
45,Total Non-Current Assets,237419,24401,24809,386372,309320,93382,1532000,1874000,12238000,12372000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12822227,4530271,76898098,40111972,12816718,4118774,4010000,28295000,109968000,42512000
48,Accounts Payable,700218,643612,997269,4017192,503739,566253,8882000,6008000,10641000,10316000
49,Short-Term Debt,628141,207097,- -,2756351,- -,- -,4010000,197000,54699000,111258000
50,Tax Payable,- -,- -,- -,- -,- -,- -,188000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,580319,677522,912320,2325958,398453,845768,14437000,6454000,11943000,16089000
53,Total Current Liabilities,1908678,1528231,1909589,9099501,902192,1412021,27329000,12659000,77283000,137663000
54,Long-Term Debt,- -,- -,9741080,7205176,- -,- -,- -,- -,31241000,4424000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1617224,2204749,- -,- -,- -,- -,37000,- -,97000,- -
58,Total Non-Current Liabilities,1617224,2204749,9741080,7205176,- -,- -,37000,- -,31338000,4424000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,197000,8320000,6756000
61,Total Liabilities,3525902,3732980,11650669,16304677,902192,1412021,27366000,12659000,108621000,142087000
62,Preferred Stock,51051921,57488653,- -,- -,- -,- -,- -,- -,- -,4740000
63,Common Stock,51,51,1366,1374,1382,231,3000,5000,8000,16000
64,Retained Earnings,-43839223,-58855476,-69674712,-112831757,-125850355,-135843806,-433146000,-513179000,-655488000,-860680000
65,Other Comprehensive Income/Loss,-256899,-110982,-128651,-93175,-144729,-92373,-604000,-849000,- -,5089000
66,Other Total Stockholders Equity,2340475,2275045,135049426,136730853,137908228,138642701,410391000,529659000,656827000,751260000
67,Total Stockholders Equity,9296325,797291,65247429,23807295,11914526,2706753,-23356000,15636000,1347000,-99575000
68,Total Liabilities And Stockholders Equity,12822227,4530271,76898098,40111972,12816718,4118774,4010000,28295000,109968000,42512000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12822227,4530271,76898098,40111972,12816718,4118774,4010000,28295000,109968000,42512000
