,https://roic.ai/company/AHT-PD,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,20132568,29303224,36215000,29892000,42278601,116925062,331650000,480434000,1128767000,1172856000,916595000,841365000,889797000,922606000,942260000,794849000,1336966000,1492043000,1439270000,1430789000,1502759000,508238000,805411000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,739137000,753587000,615683000,605883000,627637000,635243000,643388000,545523000,905545000,1011856000,980880000,978937000,411862000,514341000,697023000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,389630000,419269000,300912000,235482000,262160000,287363000,298872000,249326000,431421000,480187000,458390000,451852000,1090897000,-6103000,108388000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.3452,0.3575,0.3283,0.2799,0.2946,0.3115,0.3172,0.3137,0.3227,0.3218,0.3185,0.3158,0.7259,-0.0120,0.1346
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,4002950,11854944,14523000,20359000,- -,- -,29951000,30619000,44522000,44050000,52821000,61776000,57333000,62727000,66487000,80053000,11107000,78098000,16153000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,4002950,11854944,14523000,20359000,26953000,28702000,29951000,30619000,44522000,44050000,52821000,57243000,14310000,8366000,13288000,10931000,11107000,28048000,16153000
9,Other Expenses,18602883,23737343,31828000,- -,- -,- -,- -,- -,211570000,230239000,215242000,133435000,126213000,133979000,127990000,115186000,253433000,298224000,299930000,327580000,332635000,302815000,218851000
10,Operating Expenses,18602883,23737343,31828000,- -,- -,- -,- -,- -,238523000,258941000,245193000,164054000,170735000,178029000,180811000,172429000,267743000,306590000,313218000,338511000,343742000,330863000,235004000
11,COGS and Expenses,18602883,23737343,31828000,26053000,41703494,100517510,259727000,400934000,977660000,1012528000,860876000,769937000,798372000,813272000,824199000,717952000,1173288000,1318446000,1294098000,1317448000,1364536000,845204000,932027000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,14183000,26112000,11173000,283000,85000,125000,71000,62000,90000,331000,2202000,3952000,3067000,672000,207000
