,https://roic.ai/company/KSPN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,55300000,130400000,183300000,268300000,312800000,356600000,411100000,454900000,492600000,536800000,517000000,481700000,571300000,698500000,1358132000,1414589000,1388032000,1281869000,1330626000,1365133000,1238486000,1471157000,1265658000,987625000,813988000,652416000,542589000,458544000,393659000,358490000,334661000,353470000,442856000,418190000,325935000,158345000
2,COGS,32500000,77000000,108800000,236600000,187100000,210800000,243300000,266300000,306800000,340400000,339800000,307900000,360300000,414900000,823644000,879633000,935256000,815071000,842726000,869999000,806873000,951935000,819911000,656730000,552327000,433036000,344435000,286422000,245755000,222572000,204089000,218811000,299013000,290116000,229836000,142041000
3,Gross Profit,22800000,53400000,74500000,31700000,125700000,145800000,167800000,188600000,185800000,196400000,177200000,173800000,211000000,283600000,534488000,534956000,452776000,466798000,487900000,495134000,431613000,519222000,445747000,330895000,261661000,219380000,198154000,172122000,147904000,135918000,130572000,134659000,143843000,128074000,96099000,16304000
4,Gross Profit Ratio,0.4123,0.4095,0.4064,0.1182,0.4019,0.4089,0.4082,0.4146,0.3772,0.3659,0.3427,0.3608,0.3693,0.4060,0.3935,0.3782,0.3262,0.3642,0.3667,0.3627,0.3485,0.3529,0.3522,0.3350,0.3215,0.3363,0.3652,0.3754,0.3757,0.3791,0.3902,0.3810,0.3248,0.3063,0.2948,0.1030
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",15100000,34700000,48700000,- -,89500000,106700000,129000000,147100000,147600000,158600000,150600000,136100000,155700000,196400000,371998000,416990000,422737000,465893000,459441000,450162000,426854000,519246000,470386000,380802000,310710000,244749000,192653000,158572000,137529000,132143000,126002000,139691000,167924000,159996000,117828000,22029000
9,Other Expenses,1400000,4100000,5300000,6800000,7400000,10400000,12800000,14300000,15700000,17900000,17100000,15200000,16300000,19500000,34944000,37721000,- -,40914000,- -,- -,- -,- -,30731000,15158000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5226000,11463000,- -
10,Operating Expenses,16500000,38800000,54000000,6800000,96900000,117100000,141800000,161400000,163300000,176500000,167700000,151300000,172000000,215900000,406942000,454711000,422737000,506807000,459441000,450162000,426854000,519246000,501117000,395960000,310710000,244749000,192653000,158572000,137529000,132143000,126002000,139691000,167924000,165222000,129291000,22029000
11,COGS and Expenses,49000000,115800000,162800000,243400000,284000000,327900000,385100000,427700000,470100000,516900000,507500000,459200000,532300000,630800000,1230586000,1334344000,1357993000,1321878000,1302167000,1320161000,1233727000,1471181000,1321028000,1052690000,863037000,677785000,537088000,444994000,383284000,354715000,330091000,358502000,466937000,455338000,359127000,164070000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2910000,3557000,3429000,2384000,2010000,1951000,1860000,775000,332000,723000,884000,- -
14,Depreciation and Amortization,1400000,4100000,5300000,6800000,7400000,10400000,12800000,14300000,15700000,17900000,17100000,15200000,16300000,19500000,34944000,37721000,41792000,42328000,39646000,38952000,36735000,37212000,39051000,23358000,16471000,12158000,6630000,4437000,4304000,4388000,5191000,9282000,14162000,9116000,11463000,2708000
15,EBITDA,7200000,17500000,24300000,29100000,29300000,34300000,32800000,36000000,32100000,7200000,-22600000,26900000,50400000,86100000,137607000,121381000,71474000,-12483000,71015000,85685000,38434000,46840000,-22409000,-45625000,-36053000,-14973000,12371000,40803000,14759000,8233000,9921000,6495000,-28358000,-87463000,-46076000,-4726000
16,EBITDA ratio,0.1302,0.1342,0.1326,0.1085,0.0937,0.0962,0.0798,0.0791,0.0652,0.0134,-0.0437,0.0558,0.0882,0.1233,0.1013,0.0858,0.0515,-0.0097,0.0534,0.0628,0.0310,0.0318,-0.0177,-0.0462,-0.0443,-0.0230,0.0228,0.0890,0.0375,0.0230,0.0296,0.0184,-0.0640,-0.2091,-0.1414,-0.0298
17,Operating Income,6300000,14600000,20500000,24900000,28800000,28700000,26000000,27200000,22500000,19900000,9500000,22500000,39000000,67700000,127546000,80245000,30039000,-40009000,28459000,44972000,4759000,-24000,-55370000,-65065000,-49049000,-25369000,5501000,36300000,10375000,3775000,4570000,-3868000,-51401000,-96806000,-57175000,-5725000
18,Operating Income ratio,0.1139,0.1120,0.1118,0.0928,0.0921,0.0805,0.0632,0.0598,0.0457,0.0371,0.0184,0.0467,0.0683,0.0969,0.0939,0.0567,0.0216,-0.0312,0.0214,0.0329,0.0038,-0.0000,-0.0437,-0.0659,-0.0603,-0.0389,0.0101,0.0792,0.0264,0.0105,0.0137,-0.0109,-0.1161,-0.2315,-0.1754,-0.0362
19,Total Other Income Expenses (Gains),-500000,-1200000,-1500000,-2600000,-6900000,-4800000,-6000000,-5500000,-6100000,-30600000,-49200000,-10800000,-4900000,-1100000,-24883000,3415000,-357000,-1118000,-1429000,-1405000,-783000,-1069000,-6090000,-3918000,-6385000,-5319000,-3189000,-2318000,-1930000,-1881000,-1700000,306000,8549000,-496000,-1248000,-1709000
20,Income Before Tax,5800000,13400000,19000000,22300000,21900000,23900000,20000000,21700000,16400000,-10700000,-39700000,11700000,34100000,66600000,102663000,83660000,29682000,-41127000,27030000,43567000,3976000,-1093000,-61460000,-68983000,-55434000,-30688000,2312000,33982000,8445000,1894000,2870000,-3562000,-42852000,-97302000,-58423000,-7434000
21,Income Before Tax Ratio,0.1049,0.1028,0.1037,0.0831,0.0700,0.0670,0.0486,0.0477,0.0333,-0.0199,-0.0768,0.0243,0.0597,0.0953,0.0756,0.0591,0.0214,-0.0321,0.0203,0.0319,0.0032,-0.0007,-0.0486,-0.0698,-0.0681,-0.0470,0.0043,0.0741,0.0215,0.0053,0.0086,-0.0101,-0.0968,-0.2327,-0.1792,-0.0469
22,Income Tax expense (Gain),2800000,6600000,8200000,8800000,8600000,9400000,8000000,8400000,6600000,-4400000,-14300000,4600000,13500000,26000000,41270000,43510000,12891000,-9341000,8302000,4892000,1090000,-2041000,37975000,-28000,-12985000,275000,150000,248000,168000,116000,181000,-6773000,-299000,80000,321000,-3542000
23,Net Income,3000000,6800000,10800000,13500000,13300000,14500000,12000000,13300000,9800000,-6300000,-25400000,7100000,20600000,40600000,61393000,40150000,16791000,-45470000,23067000,41841000,609000,11669000,-99435000,-68955000,-42449000,-30963000,2162000,33734000,8277000,1778000,2689000,3211000,-42553000,-97382000,-58744000,-3892000
24,Net Income ratio,0.0542,0.0521,0.0589,0.0503,0.0425,0.0407,0.0292,0.0292,0.0199,-0.0117,-0.0491,0.0147,0.0361,0.0581,0.0452,0.0284,0.0121,-0.0355,0.0173,0.0306,0.0005,0.0079,-0.0786,-0.0698,-0.0521,-0.0475,0.0040,0.0736,0.0210,0.0050,0.0080,0.0091,-0.0961,-0.2329,-0.1802,-0.0246
25,EPS,2.60,5.40,8.00,10.00,9.80,10.60,8.80,9.40,6.80,-4.20,-17.40,4.80,14.00,25.60,23.40,16.80,8.00,-22.60,12.40,24.20,0.40,7.60,-64.00,-44.20,-27.00,-19.80,1.40,21.40,5.00,1.20,1.80,1.80,-23.60,-53.40,-32.35,-2.10
26,EPS Diluted,2.60,5.40,8.00,10.00,9.80,10.60,8.80,9.40,6.60,-4.20,-17.40,4.80,13.20,24.00,23.00,16.60,7.80,-22.60,12.00,23.00,0.40,7.20,-64.00,-44.20,-27.00,-19.80,1.40,21.20,5.00,1.20,1.80,1.80,-23.60,-53.40,-32.35,-2.10
27,Weighted Average Shares Outstanding,1153846,1259259,1350000,1350000,1357143,1367925,1363636,1414894,1441176,1500000,1459770,1479167,1474125,1585938,2622850,2424900,2096900,2011200,1871100,1726550,1598100,1539850,1552300,1561150,1568500,1570850,1576000,1578850,1629200,1587200,1558350,1608100,1809550,1814300,1816000,1849000
28,Weighted Average Shares Outstanding Diluted,1153846,1259259,1350000,1350000,1357143,1367925,1363636,1414894,1484848,1500000,1459770,1479167,1551600,1691667,2667700,2424900,2127650,2011200,1910450,1814850,1606600,1599300,1552300,1561150,1568500,1570850,1601800,1593900,1643100,1594850,1566150,1616050,1809550,1814300,1816000,1849000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/795212/000093041319001668/0000930413-19-001668-index.htm,https://www.sec.gov/Archives/edgar/data/795212/000114036120013775/0001140361-20-013775-index.htm,https://www.sec.gov/Archives/edgar/data/795212/000114036121015301/0001140361-21-015301-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197050000,191219000,229768000,197209000,118630000,74655000,30055000,71514000,75212000,88515000,132982000,131002000,118537000,104311000,27974000,31326000,4355000,2977000,1809000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197050000,191219000,229768000,197209000,118630000,74655000,30055000,71514000,75212000,88515000,132982000,131002000,118537000,104311000,27974000,31326000,4355000,2977000,1809000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10191000,9885000,6202000,8671000,7874000,13848000,7559000,4505000,5248000,6673000,4015000,2684000,3545000,4597000,7085000,4469000,5383000,4201000,2718000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,378005000,424783000,431246000,402712000,504860000,440241000,378188000,266568000,234164000,191327000,155429000,150167000,126377000,120046000,126004000,109112000,94842000,67958000,24515000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10459000,14049000,22330000,17895000,14992000,17578000,13817000,10557000,3137000,1940000,5350000,7114000,6699000,2033000,8271000,8481000,10783000,4929000,1748000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,595705000,639936000,689546000,626487000,646356000,546322000,429619000,353144000,317761000,288455000,297776000,290967000,255158000,230987000,169334000,153388000,115363000,80065000,30790000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155417000,125641000,130196000,132464000,138252000,82248000,50437000,33908000,21478000,16651000,9057000,12419000,15769000,30666000,45097000,13546000,7529000,5501000,5010000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39191000,39191000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27857000,23968000,3668000,1760000,732000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67048000,63159000,3668000,1760000,732000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40667000,39964000,25039000,27511000,32715000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11607000,12217000,14872000,13861000,12367000,10423000,6980000,7514000,9485000,8014000,8407000,9031000,9082000,9952000,26331000,17814000,11453000,10480000,8760000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207691000,177822000,170107000,173836000,183334000,92671000,57417000,41422000,30963000,24665000,17464000,21450000,24851000,40618000,138476000,94519000,22650000,17741000,14502000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,803396000,817758000,859653000,800323000,829690000,638993000,487036000,394566000,348724000,313120000,315240000,312417000,280009000,271605000,307810000,247907000,138013000,97806000,45292000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326959000,306298000,358396000,322831000,311372000,237774000,170302000,130549000,130007000,93141000,79438000,77625000,63527000,51888000,52307000,41780000,34329000,24120000,8894000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1640000,395000,780000,3659000,3393000,3501000,3748000,1974000,1363000,1503000,936000,1066000,938000,- -,- -,- -,- -,22659000,8622000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5797000,10092000,9852000,8983000,9228000,7935000,6955000,6681000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48478000,79768000,52304000,42530000,65387000,53540000,42180000,38701000,28025000,29516000,22456000,7873000,7397000,8974000,9198000,10846000,8132000,4479000,2512000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377077000,386461000,411480000,369020000,380152000,294815000,216230000,171224000,159395000,124160000,108627000,96656000,81714000,69845000,70733000,60561000,49416000,57939000,20028000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5060000,4587000,4085000,3552000,2986000,2388000,1748000,1068000,- -,- -,- -,- -,- -,- -,- -,- -,7588000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34215000,32113000,38790000,48204000,52248000,42477000,32805000,27601000,25783000,26046000,25853000,23965000,26555000,26492000,39141000,29131000,24867000,35352000,16187000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34215000,32113000,43850000,52791000,56333000,46029000,35791000,29989000,27531000,27114000,25853000,23965000,26555000,26492000,39141000,29131000,24867000,35352000,23775000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7860000,7465000,6977000,14887000,12000000,9036000,5858000,5858000,4486000,3764000,2940000,2004000,938000,- -,- -,- -,- -,22773000,2854000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,411292000,418574000,455330000,421811000,436485000,340844000,252021000,201213000,186926000,151274000,134480000,120621000,108269000,96337000,109874000,89692000,74283000,93291000,43803000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,540000,542000,550000,557000,560000,563000,564000,565000,565000,566000,567000,583000,583000,584000,643000,643000,644000,32000,33000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233381000,256448000,298289000,298898000,310567000,212768000,143451000,101002000,70039000,72201000,91071000,99348000,84264000,86953000,90164000,47611000,-50227000,-108971000,-112863000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-116000,-23000,-1140000,-2078000,-1888000,-1625000,2396000,1518000,416000,-2157000,-2774000,-119000,-2181000,-812000,-802000,-998000,-735000,-1479000,-2007000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158299000,142217000,106624000,81135000,83966000,86443000,88604000,90268000,90778000,91236000,91896000,91984000,89074000,88543000,107931000,110958000,114048000,114933000,116326000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,392104000,399184000,404323000,378512000,393205000,298149000,235015000,193353000,161798000,161846000,180760000,191796000,171740000,175268000,197936000,158214000,63730000,4515000,1489000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,803396000,817758000,859653000,800323000,829690000,638993000,487036000,394566000,348724000,313120000,315240000,312417000,280009000,271605000,307810000,247906000,138013000,97806000,45292000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,803396000,817758000,859653000,800323000,829690000,638993000,487036000,394566000,348724000,313120000,315240000,312417000,280009000,271605000,307810000,247907000,138013000,97806000,45292000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/795212/000093041319001668/0000930413-19-001668-index.htm,https://www.sec.gov/Archives/edgar/data/795212/000114036120013775/0001140361-20-013775-index.htm,https://www.sec.gov/Archives/edgar/data/795212/000114036121015301/0001140361-21-015301-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,13300000,14500000,12000000,13300000,9800000,-6300000,-25400000,7100000,20600000,40600000,61393000,40150000,16791000,-45470000,23067000,41841000,609000,11669000,-99435000,-68955000,-42449000,-30963000,2162000,33734000,8277000,1778000,2689000,3211000,-42553000,-97382000,-58744000,-3892000
74,Depreciation and Amortization,- -,- -,- -,- -,7400000,10400000,12800000,14300000,15700000,17900000,17100000,15200000,16300000,19500000,34944000,37721000,41792000,42328000,39646000,38952000,36735000,37212000,39051000,23358000,16471000,12158000,6630000,4437000,4304000,4388000,5191000,9282000,14162000,9116000,11463000,2708000
75,Deferred Income Tax,- -,- -,- -,- -,400000,-200000,4100000,-500000,300000,-7100000,-6200000,3000000,1400000,3000000,8251000,-3124000,-1731000,-9877000,-4106000,6948000,4186000,-4387000,42475000,- -,- -,- -,- -,- -,- -,- -,- -,-6988000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312000,97000,255000,487000,538000,1306000,3067000,3032000,276000,323000
77,Change in Working Capital,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218628000,34847000,24591000,-20599000,8737000,-14697000,-38118000,-31469000,-23554000,5929000,24854000,5162000,-20867000,-12302000,-62541000,-5774000,-26880000,-43821000
