,https://roic.ai/company/ESGC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,66440808,112981293,156696479,149728694,164613000,206474107,215346000,235470000,284175000,274428000,252994000,261253000,270126000,155452000
2,COGS,26501494,49940474,85189369,81709933,88017000,117043643,134002000,132933000,155777000,172764000,164240000,134708000,155396000,81725000
3,Gross Profit,39939314,63040819,71507110,68018761,76596000,89430464,81344000,102537000,128398000,101664000,88754000,126545000,114730000,73727000
4,Gross Profit Ratio,0.6011,0.5580,0.4563,0.4543,0.4653,0.4331,0.3777,0.4355,0.4518,0.3705,0.3508,0.4844,0.4247,0.4743
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,411563,1440820,1805417,2231019,19225000,1650527,26308000,42680000,49546000,64019000,63309000,68029000,87134000,144319000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",411563,1440820,1805417,2231019,19225000,1650527,26308000,42680000,49546000,64019000,63309000,68029000,87134000,144319000
9,Other Expenses,7112750,14715809,17364623,14219331,- -,25043917,- -,- -,- -,- -,- -,- -,-2328000,-760000
10,Operating Expenses,7524313,16156629,19170040,16450350,19225000,26694445,26308000,42680000,49546000,64019000,63309000,68029000,84806000,143559000
11,COGS and Expenses,34025807,66097103,104359409,98160283,107242000,143738088,160310000,175613000,205323000,236783000,227549000,202737000,240202000,225284000
12,Interest Income ,1179551,2314044,1849766,1387178,1986000,4687945,4733000,2393000,4930000,5709000,2365000,1855000,16419000,11992000
13,Interest Expense (Gain),2516638,7612926,13560657,17489975,3570000,15447530,6202000,8677000,9987000,12915000,18717000,19293000,24093000,20771000
14,Depreciation and Amortization,- -,31533309,58295519,58493676,69042000,88078725,103673000,100987000,118951000,130588000,138214000,118276000,132418000,67913000
15,EBITDA,33460646,82890788,119897155,125459153,125645000,150992100,148895000,152368000,182460000,160011000,171775000,124121000,-260028000,-352491000
16,EBITDA ratio,0.5036,0.7337,0.7652,0.8379,0.7633,0.7313,0.6914,0.6471,0.6421,0.5831,0.6790,0.4751,-0.9626,-2.2675
17,Operating Income,31958147,46316595,51006612,51861327,57371000,61438606,55036000,59857000,78852000,37645000,25445000,58516000,-395739000,-501792000
18,Operating Income ratio,0.4810,0.4099,0.3255,0.3464,0.3485,0.2976,0.2556,0.2542,0.2775,0.1372,0.1006,0.2240,-1.4650,-3.2280
19,Total Other Income Expenses (Gains),-1014138,-821624,-2607984,-2314493,-1584000,-7798862,-9458000,-9870000,-16344000,-11646000,-2951000,-59134000,-7386000,-12095000
20,Income Before Tax,30944009,45494970,48398629,49546834,55787000,53639744,45578000,49987000,62508000,25999000,22494000,-618000,-403125000,-513887000
21,Income Before Tax Ratio,0.4657,0.4027,0.3089,0.3309,0.3389,0.2598,0.2117,0.2123,0.2200,0.0947,0.0889,-0.0024,-1.4924,-3.3058
22,Income Tax expense (Gain),1697450,6013338,7572166,7152920,8237000,10059749,11913000,12843000,13178000,12711000,11039000,9127000,7328000,-22183000
23,Net Income,29246558,37731215,40468813,42322582,44796000,37406096,27107000,29861000,40344000,3797000,3805000,-22575000,-423867000,-418992000
24,Net Income ratio,0.4402,0.3340,0.2583,0.2827,0.2721,0.1812,0.1259,0.1268,0.1420,0.0138,0.0150,-0.0864,-1.5691,-2.6953
25,EPS,17.94,20.10,21.06,21.90,23.16,19.14,13.74,13.10,14.86,1.32,1.28,-7.26,-119.90,-77.92
26,EPS Diluted,17.94,19.98,20.94,21.66,22.86,18.84,13.62,13.04,14.50,1.04,1.02,-7.26,-119.90,-77.92
27,Weighted Average Shares Outstanding,1626948,1875781,1920614,1930564,1935564,1953781,1971945,2279512,2711392,2886591,2970514,3107557,3535328,5376629
28,Weighted Average Shares Outstanding Diluted,1626948,1887498,1934581,1933681,1938681,1956898,1971945,2279512,2743878,2951801,3047156,3174118,3608510,5788494
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,46417982,87701459,55811998,87612268,126167000,145422169,109705000,145449000,153664000,182774000,112267000,87762000,89117000,2563000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1042000,3802000
33,Cash and Short-Term Investments,46417982,87701459,55811998,87612268,126167000,145422169,109705000,145449000,153664000,182774000,112267000,87762000,90159000,6365000
