,https://roic.ai/company/NLSN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,4806000000,4808000000,5126000000,5532000000,5612000000,5703000000,6288000000,6172000000,6309000000,6572000000,6515000000,6498000000,6290000000,3500000000
2,COGS,2057000000,2023000000,2129000000,2237000000,2278000000,2398000000,2620000000,2539000000,2607000000,2765000000,2805000000,2822000000,2760000000,1212000000
3,Gross Profit,2749000000,2785000000,2997000000,3295000000,3334000000,3305000000,3668000000,3633000000,3702000000,3807000000,3710000000,3676000000,3530000000,2288000000
4,Gross Profit Ratio,0.5720,0.5792,0.5847,0.5956,0.5941,0.5795,0.5833,0.5886,0.5868,0.5793,0.5695,0.5657,0.5612,0.6537
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,1888000000,1778000000,1815000000,1917000000,1915000000,1851000000,1862000000,1958000000,1929000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,1888000000,1778000000,1815000000,1917000000,1915000000,1851000000,1862000000,1958000000,1929000000,- -,891000000
9,Other Expenses,2115000000,2080000000,2206000000,529000000,520000000,510000000,573000000,574000000,603000000,640000000,675000000,756000000,2736000000,512000000
10,Operating Expenses,2115000000,2080000000,2206000000,2417000000,2298000000,2325000000,2490000000,2489000000,2454000000,2502000000,2633000000,2685000000,2736000000,1403000000
11,COGS and Expenses,4172000000,4103000000,4335000000,4654000000,4576000000,4723000000,5110000000,5028000000,5061000000,5267000000,5438000000,5507000000,5496000000,2615000000
12,Interest Income ,17000000,7000000,5000000,6000000,4000000,2000000,3000000,4000000,4000000,4000000,8000000,6000000,2000000,- -
13,Interest Expense (Gain),701000000,647000000,660000000,477000000,413000000,309000000,300000000,311000000,333000000,374000000,394000000,397000000,371000000,285000000
14,Depreciation and Amortization,504000000,562000000,558000000,529000000,520000000,521000000,573000000,574000000,603000000,640000000,675000000,756000000,864000000,548000000
15,EBITDA,652000000,521000000,1302000000,1112000000,1346000000,1661000000,1493000000,1838000000,1747000000,1831000000,175000000,478000000,1296000000,1794000000
16,EBITDA ratio,0.1357,0.1084,0.2540,0.2010,0.2398,0.2913,0.2374,0.2978,0.2769,0.2786,0.0269,0.0736,0.2060,0.5126
17,Operating Income,420000000,116000000,730000000,794000000,952000000,861000000,1089000000,1093000000,1143000000,1225000000,-475000000,-93000000,466000000,872000000
18,Operating Income ratio,0.0874,0.0241,0.1424,0.1435,0.1696,0.1510,0.1732,0.1771,0.1812,0.1864,-0.0729,-0.0143,0.0741,0.2491
19,Total Other Income Expenses (Gains),-691000000,-719000000,-627000000,-690000000,-544000000,-341000000,-468000000,-132000000,-327000000,-397000000,-407000000,-570000000,-392000000,-314000000
20,Income Before Tax,-271000000,-603000000,103000000,104000000,408000000,520000000,621000000,961000000,816000000,828000000,-882000000,-663000000,74000000,558000000
21,Income Before Tax Ratio,-0.0564,-0.1254,0.0201,0.0188,0.0727,0.0912,0.0988,0.1557,0.1293,0.1260,-0.1354,-0.1020,0.0118,0.1594
22,Income Tax expense (Gain),36000000,-197000000,-46000000,22000000,140000000,91000000,236000000,383000000,309000000,388000000,-182000000,-260000000,67000000,-2000000
23,Net Income,-589000000,-491000000,130000000,84000000,273000000,740000000,384000000,570000000,502000000,429000000,-712000000,-415000000,-6000000,963000000
24,Net Income ratio,-0.1226,-0.1021,0.0254,0.0152,0.0486,0.1298,0.0611,0.0924,0.0796,0.0653,-0.1093,-0.0639,-0.0010,0.2751
25,EPS,-2.61,-1.79,0.47,0.24,0.75,1.97,1.01,1.55,1.40,1.20,-2.00,-1.17,-0.02,2.69
26,EPS Diluted,-2.61,-1.79,0.46,0.24,0.75,1.94,1.00,1.54,1.39,1.20,-2.00,-1.17,-0.02,2.67
27,Weighted Average Shares Outstanding,226674754,273905810,276499073,352469181,361787868,375797629,379333037,366996788,358830080,356714940,355601564,355731862,356860635,358649432
28,Weighted Average Shares Outstanding Diluted,226674754,273905810,279652586,357501954,366310984,380927966,384371452,370957804,362167129,358052433,355601564,355731862,356860635,360450514
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1492633/000119312512072683/0001193125-12-072683-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000119312513070319/0001193125-13-070319-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459014000287/nlsnnv-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1492633/000156459015000780/nlsnnv-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1492633/000156459016012905/0001564590-16-012905-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459017001729/0001564590-17-001729-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459018001617/0001564590-18-001617-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459019005165/0001564590-19-005165-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459020007004/0001564590-20-007004-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459021008814/0001564590-21-008814-index.htm,https://www.sec.gov/Archives/edgar/data/1492633/000156459022007612/0001564590-22-007612-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,467000000,514000000,421000000,319000000,288000000,564000000,273000000,357000000,754000000,656000000,524000000,454000000,610000000,380000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,467000000,514000000,421000000,319000000,288000000,564000000,273000000,357000000,754000000,656000000,524000000,454000000,610000000,380000000
34,Net Receivables,958000000,937000000,1014000000,1080000000,1110000000,1196000000,1241000000,1235000000,1171000000,1280000000,1118000000,1103000000,1154000000,517000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,189000000,195000000,219000000,266000000,278000000,374000000,505000000,316000000,297000000,346000000,361000000,420000000,460000000,243000000
37,Total Current Assets,1614000000,1646000000,1654000000,1665000000,1676000000,2134000000,2019000000,1908000000,2222000000,2282000000,2003000000,1977000000,2224000000,1140000000
38,PP&E,603000000,593000000,599000000,609000000,560000000,560000000,533000000,490000000,471000000,482000000,468000000,859000000,825000000,417000000
39,Goodwill,7185000000,7056000000,7096000000,7155000000,7352000000,7684000000,7671000000,7783000000,7845000000,8495000000,6987000000,5993000000,6040000000,5599000000
40,Intangible Assets,5070000000,4757000000,4607000000,4561000000,4555000000,4781000000,4715000000,4772000000,4736000000,5077000000,5024000000,4881000000,4470000000,3462000000
41,Intangible Assets,12255000000,11813000000,11703000000,11716000000,11907000000,12465000000,12386000000,12555000000,12581000000,13572000000,12011000000,10874000000,10510000000,9061000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,43000000,50000000,61000000,198000000,170000000,115000000,83000000,78000000,127000000,170000000,333000000,276000000,281000000,55000000
44,Other Non-Current Assets,576000000,498000000,412000000,316000000,272000000,256000000,355000000,272000000,329000000,360000000,364000000,333000000,295000000,147000000
45,Total Non-Current Assets,13477000000,12954000000,12775000000,12839000000,12909000000,13396000000,13357000000,13395000000,13508000000,14584000000,13176000000,12342000000,11911000000,9680000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,15091000000,14600000000,14429000000,14504000000,14585000000,15530000000,15376000000,15303000000,15730000000,16866000000,15179000000,14319000000,14135000000,10820000000
48,Accounts Payable,1020000000,1000000000,962000000,180000000,150000000,143000000,223000000,216000000,238000000,296000000,288000000,230000000,232000000,29000000
49,Short-Term Debt,- -,- -,- -,144000000,355000000,148000000,397000000,310000000,188000000,84000000,107000000,914000000,293000000,35000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000000,13000000
51,Deferred Revenue,438000000,435000000,452000000,443000000,373000000,306000000,304000000,322000000,297000000,361000000,355000000,345000000,370000000,131000000
52,Other Current Liabilities,557000000,189000000,193000000,925000000,873000000,938000000,874000000,839000000,871000000,956000000,907000000,1012000000,1019000000,462000000
53,Total Current Liabilities,2015000000,1624000000,1607000000,1692000000,1751000000,1535000000,1798000000,1687000000,1594000000,1697000000,1657000000,2501000000,1914000000,657000000
54,Long-Term Debt,8965000000,8548000000,8464000000,6619000000,6229000000,6492000000,6465000000,7028000000,7738000000,8357000000,8280000000,7395000000,8372000000,5717000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
