,https://roic.ai/company/TELA,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,4245000,8274000,15446000,18213000,29463000
2,COGS,1713000,5332000,6174000,6979000,10346000
3,Gross Profit,2532000,2942000,9272000,11234000,19117000
4,Gross Profit Ratio,0.5965,0.3556,0.6003,0.6168,0.6488
5,Research and Development Exp.,5786000,4339000,4151000,4255000,6743000
6,General and Administrative Exp.,4958000,4899000,6223000,10143000,12459000
7,Selling and Marketing Exp.,8712000,13646000,18060000,22111000,29062000
8,"Selling, General and Administrative Exp.",13670000,18545000,24283000,32254000,41521000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,19456000,22884000,28434000,36509000,48264000
11,COGS and Expenses,21169000,28216000,34608000,43488000,58610000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),4558000,1802000,3609000,3564000,-3597000
14,Depreciation and Amortization,761000,1248000,582000,525000,535000
15,EBITDA,-16015000,-18042000,-18234000,-24705000,-36338000
16,EBITDA ratio,-3.7727,-2.1806,-1.1805,-1.3564,-1.2333
17,Operating Income,-16924000,-17782000,-19162000,-25275000,-29451000
18,Operating Income ratio,-3.9868,-2.1491,-1.2406,-1.3877,-0.9996
19,Total Other Income Expenses (Gains),-4410000,-3310000,-3263000,-3519000,-3825000
20,Income Before Tax,-21334000,-21092000,-22425000,-28794000,-33276000
21,Income Before Tax Ratio,-5.0257,-2.5492,-1.4518,-1.5810,-1.1294
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-21334000,-21092000,-22425000,-28794000,-33276000
24,Net Income ratio,-5.0257,-2.5492,-1.4518,-1.5810,-1.1294
25,EPS,-4.20,-3.36,-17.10,-2.23,-2.57
26,EPS Diluted,-4.20,-3.36,-17.10,-2.23,-2.57
27,Weighted Average Shares Outstanding,6487857,6344673,1766412,12934421,12934421
28,Weighted Average Shares Outstanding Diluted,6487857,6344673,1766412,12934421,12934421
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1561921/000155837020003346/0001558370-20-003346-index.html,https://www.sec.gov/Archives/edgar/data/1561921/000155837021003483/0001558370-21-003483-index.htm,https://www.sec.gov/Archives/edgar/data/1561921/000155837022004151/0001558370-22-004151-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,11346000,17278000,45302000,74394000,43931000
32,Short-Term Investments,- -,- -,9285000,- -,- -
33,Cash and Short-Term Investments,11346000,17278000,54587000,74394000,43931000
34,Net Receivables,757000,1298000,2836000,2683000,4234000
35,Inventory,1815000,4348000,4603000,3907000,7658000
36,Other Current Assets,429000,330000,2308000,2241000,3232000
37,Total Current Assets,14347000,23254000,64334000,83225000,59055000
38,PP&E,1161000,758000,677000,626000,1186000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,2607000,2303000
41,Intangible Assets,- -,3215000,2911000,2607000,2303000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,24000,- -,- -,- -,- -
45,Total Non-Current Assets,1185000,3973000,3588000,3233000,3489000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,15532000,27227000,67922000,86458000,62544000
48,Accounts Payable,1507000,3421000,3171000,652000,2414000
49,Short-Term Debt,905000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,3736000,6138000,3542000,5953000,8161000
53,Total Current Liabilities,6148000,9559000,6713000,6605000,10575000
54,Long-Term Debt,3610000,29733000,30243000,30827000,31491000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,113945000,125795000,4000,- -,380000
58,Total Non-Current Liabilities,117555000,155528000,30247000,30827000,31871000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,123703000,165087000,36960000,37432000,42446000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,11000,14000,15000
64,Retained Earnings,-108171000,-137860000,-167859000,-196653000,-229929000
65,Other Comprehensive Income/Loss,-2785000,-3243000,-19000,-71000,-52000
66,Other Total Stockholders Equity,2785000,3243000,198829000,245736000,229966000
67,Total Stockholders Equity,-108171000,-137860000,30962000,49026000,20098000
68,Total Liabilities And Stockholders Equity,15532000,27227000,67922000,86458000,62544000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,15532000,27227000,67922000,86458000,62544000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1561921/000155837020003346/0001558370-20-003346-index.html,https://www.sec.gov/Archives/edgar/data/1561921/000155837021003483/0001558370-21-003483-index.htm,https://www.sec.gov/Archives/edgar/data/1561921/000155837022004151/0001558370-22-004151-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-21334000,-21092000,-22425000,-28794000,-33276000
74,Depreciation and Amortization,761000,1248000,582000,525000,535000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,197000,216000,457000,2058000,3661000
77,Change in Working Capital,75000,5496000,43926000,18999000,-28140000
78,Accounts Receivable,-578000,-541000,-1528000,149000,-1553000
79,Inventory,-127000,-4757000,-1839000,-620000,1439000
80,Accounts Payable,-748000,1914000,-773000,-2002000,1597000
81,Other Working Capital,8199000,13695000,57621000,76620000,48480000
82,Other Non-Cash Items,3933000,-5792000,-48063000,-17244000,26788000
83,Cash Provided by Operating Activities,-16368000,-19924000,-25523000,-24456000,-30432000
84,CAPEX,-114000,-1562000,-2697000,-167000,-627000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-9284000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,9289000,- -
88,Other Investing Activites,13000,-1496000,- -,- -,- -
89,Cash Used for Investing Activites,-101000,-1558000,-11981000,9122000,-627000
90,Debt Repayment,-188000,-18732000,- -,- -,- -
91,Common Stock Issued,- -,- -,51151000,44722000,38000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,26523000,46146000,14381000,-313000,547000
95,Cash Used/Provided by Financing Activities,26335000,27414000,65532000,44409000,585000
96,Effect of Forex Changes on Cash,- -,- -,-4000,17000,11000
97,Net Change In Cash,9866000,5932000,28024000,29092000,-30463000
98,Cash at the End of Period,11346000,17278000,45302000,74394000,43931000
99,Cash at the Beginning of Period,1480000,11346000,17278000,45302000,74394000
100,Free Cash Flow,-16482000,-21486000,-28220000,-24623000,-31059000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1561921/000155837020003346/0001558370-20-003346-index.html,https://www.sec.gov/Archives/edgar/data/1561921/000155837021003483/0001558370-21-003483-index.htm,https://www.sec.gov/Archives/edgar/data/1561921/000155837022004151/0001558370-22-004151-index.htm
102,false,,,,,
