,https://roic.ai/company/NXPL,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,471469,554983,438776,456269,- -,- -,- -,- -,- -,8410,3950601,4698638,6004955,5726572,5869558,5689796,8057012
2,COGS,- -,- -,- -,239447,247816,290498,256440,- -,- -,- -,- -,- -,202,2838521,3623516,4854216,4691748,4646180,4464476,6197289
3,Gross Profit,- -,- -,- -,232022,307167,148278,199829,- -,- -,- -,- -,- -,8208,1112080,1075122,1150739,1034824,1223378,1225320,1859723
4,Gross Profit Ratio,- -,- -,- -,0.4921,0.5535,0.3379,0.4380,- -,- -,- -,- -,- -,0.9760,0.2815,0.2288,0.1916,0.1807,0.2084,0.2154,0.2308
5,Research and Development Exp.,- -,- -,- -,230521,398447,321089,282441,- -,- -,156363,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,279696,4288685,1287349,4554370,568793,426650,2805358,2413843,2423959,1875596,2059378,2964274,1198063
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,664819,761237,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,279696,4288685,1287349,4554370,568793,426650,2805358,2413843,2423959,2540415,2820615,2964274,1369936
9,Other Expenses,119771,181203,405519,1234069,4974127,2547639,2387379,- -,- -,- -,115832,5000,- -,298047,291803,284386,-375955,-485909,294926,7112120
10,Operating Expenses,119771,181203,405519,1464590,5372574,2868728,2669820,279696,4288685,1443712,4670202,573793,426650,3103405,2705646,2708345,2164460,2334706,3259200,8482056
11,COGS and Expenses,119771,181203,405519,1704037,5620390,3159226,2926260,279696,4288685,1443712,4670202,573793,426852,5941926,6329162,7562561,6856208,6980886,7723676,14679345
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1616,115,- -
13,Interest Expense (Gain),2952,9,137,20904,6218,- -,4380,- -,- -,658155,- -,120575,- -,6069,603160,831,110,293495,1022024,1467300
14,Depreciation and Amortization,65400,15000,521,14352,16354,38106,37773,- -,5358,- -,- -,- -,- -,119412,291803,284386,288864,284880,322999,292
15,EBITDA,-54371,-166203,-404998,-1170222,-8508284,-6014889,-5704876,-220500,1467001,-1443712,-4656815,-573793,-411234,-1938730,-1694960,-3630633,-897198,-800634,-1418352,-13262403
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-2.4821,-15.3307,-13.7083,-12.5033,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-48.8982,-0.4907,-0.3607,-0.6046,-0.1567,-0.1364,-0.2493,-1.6461
17,Operating Income,-119771,-181203,-405519,-1232568,-5065407,-2720450,-2469991,-279696,-4288685,-1943712,-4670201,-573793,-418240,-1991325,-1630524,-1577606,-1129636,-1111328,-2033880,-6622333
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-2.6143,-9.1271,-6.2001,-5.4135,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-49.7313,-0.5041,-0.3470,-0.2627,-0.1973,-0.1893,-0.3575,-0.8219
19,Total Other Income Expenses (Gains),- -,- -,- -,27090,-3465449,-3332545,-3277038,-61306,-6190116,-6778562,-140871,1197911,7006,-72886,-959399,-2338244,-56536,-267681,-729495,-1485329
20,Income Before Tax,- -,- -,- -,-1205478,-8530856,-6052995,-5747029,-341002,-10478801,-8722274,-4811072,624118,-411234,-2064211,-2589923,-3915850,-1186172,-1379009,-2763375,-8107662
21,Income Before Tax Ratio,- -,- -,- -,-2.5569,-15.3714,-13.7952,-12.5957,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-48.8982,-0.5225,-0.5512,-0.6521,-0.2071,-0.2349,-0.4857,-1.0063
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23459,8534,747,- -,-6622333
23,Net Income,-716281,-181212,-405656,-1205478,-8530856,-6052995,-5747029,-2248665,-11579406,-8722274,-4811072,624118,-411234,-2064211,-2589923,-3939309,-1194706,-1379756,-2763375,-8107662
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-2.5569,-15.3714,-13.7952,-12.5957,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-48.8982,-0.5225,-0.5512,-0.6560,-0.2086,-0.2351,-0.4857,-1.0063
25,EPS,-39.20,-9.92,-22.20,-65.98,-468.75,-340.53,-314.54,-59175.39,-114647.58,-65581.01,-32289.07,4657.60,-446.32,-1206.44,-508.43,-315.47,-95.68,-56.91,-3.39,-9.94
26,EPS Diluted,-39.20,-9.92,-22.20,-65.98,-468.75,-340.53,-314.54,-59175.39,-114647.58,-65581.01,-32289.07,4657.60,-446.32,-1206.44,-508.43,-315.47,-95.68,-56.91,-3.39,-9.94
27,Weighted Average Shares Outstanding,18271,18271,18271,18271,18271,18271,18271,38,101,133,149,134,1220,1711,5094,12487,12486,24243,816003,816003
28,Weighted Average Shares Outstanding Diluted,18271,18271,18271,18271,18271,18271,18271,38,101,133,149,134,1220,1711,5094,12487,12486,24243,816003,816003
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058307/000149315221006558/0001493152-21-006558-index.htm,https://www.sec.gov/Archives/edgar/data/1058307/000149315222008346/0001493152-22-008346-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6999,3,113,240194,88400,43112,370,- -,94053,15047,20,- -,77137,963329,114733,233326,142888,75362,728762,17267978
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6999,3,113,240194,88400,43112,370,- -,94053,15047,20,- -,77137,963329,114733,233326,142888,75362,728762,17267978
34,Net Receivables,- -,- -,- -,49785,56121,28441,40974,- -,- -,- -,- -,- -,8410,182480,151102,384010,257606,320404,252587,349836
35,Inventory,- -,- -,- -,111818,98529,87461,99650,- -,- -,- -,- -,- -,- -,251518,335267,332895,269024,366298,361422,1019696
36,Other Current Assets,- -,- -,- -,92386,630294,175784,83595,- -,91791,40462,7500,- -,232222,235022,201005,130667,45639,115382,29696,737446
37,Total Current Assets,6999,3,113,494183,873344,334798,224589,- -,185844,55509,7520,- -,317769,1632349,802107,1080898,715157,877446,1372467,19374956
38,PP&E,- -,- -,4239,70135,67142,165196,293207,- -,- -,- -,- -,- -,- -,2218693,1978338,1757200,1519845,1424866,1161770,1042859
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,61660,108399,824990,- -,- -,- -,- -,- -,250000,275000,250000,- -,- -,- -,- -,75000
41,Intangible Assets,- -,- -,- -,- -,61660,108399,824990,- -,- -,- -,- -,- -,250000,275000,250000,225000,200000,125000,100000,75000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,14850,- -,4212,4632,- -,520,- -,- -,- -,1987455,189968,- -,- -,- -,- -,- -,72510
45,Total Non-Current Assets,- -,- -,4239,84985,128802,277807,1122829,- -,520,- -,- -,- -,2237455,2683661,2228338,1982200,1719845,1549866,1261770,1190369
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6999,3,4352,579168,1002146,612605,1347418,- -,186364,55509,7520,- -,2555224,4316010,3030445,3063098,2435002,2427312,2634237,20565325
48,Accounts Payable,39030,33946,38451,28828,16775,52618,88618,167686,- -,- -,492766,466493,402583,409995,373288,659285,625157,901244,747476,- -
49,Short-Term Debt,- -,- -,- -,186652,- -,50000,- -,- -,- -,145959,210110,- -,- -,76537,- -,- -,- -,53720,193804,273520
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1861,29168,48998,90526,88677,69410,56781
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16661,2624,243781,56800,87296,90274,- -
52,Other Current Liabilities,- -,- -,- -,32718,308588,387018,448673,- -,7079651,542805,1012455,299339,294376,624007,344705,300466,374330,402208,484971,2507229
53,Total Current Liabilities,39030,33946,38451,248198,325363,489636,537291,167686,7079651,688764,1715331,765832,696959,1127200,720617,1203532,1056287,1444468,1516525,2780749
54,Long-Term Debt,- -,- -,- -,49457,- -,- -,- -,7620,317292,- -,- -,- -,- -,- -,- -,- -,- -,343135,552523,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,67147,- -,- -,- -,- -,- -,307018,- -,- -,- -,- -,- -,253757
58,Total Non-Current Liabilities,- -,- -,- -,49457,- -,- -,- -,74767,317292,- -,- -,- -,- -,307018,- -,- -,- -,343135,552523,253757
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80857,52699,- -
61,Total Liabilities,39030,33946,38451,297655,325363,489636,537291,242453,7396943,688764,1715331,765832,696959,1434218,720617,1203532,1056287,1787603,2069048,3034506
62,Preferred Stock,- -,- -,- -,- -,10,- -,20,150,300,300,400,400,503,1884,2627,1679,1684,- -,- -,- -
63,Common Stock,3481,12,20,2405,2724,4394,9688,6486,17061,22583,25303,22664,1373,1925,5731,94,93,12,408,705
64,Retained Earnings,-8415554,-8596766,-9002422,-1698365,-10262971,-16484716,-22231745,-24480410,-36059816,-41947270,-41947270,-41947270,-49513552,-2011483,-4601406,-8540715,-9735421,-11115178,-13878553,-21986215
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2834820,-7645892,-7021774,- -,-12263,-32941,-400,-6172,-2152,-42832,3236
66,Other Total Stockholders Equity,8380042,8562811,8968303,1977473,10937020,16603291,23032164,24231321,28831876,44125952,47859648,48180148,51369941,4901729,6935817,10398908,11118531,11757027,14486166,39513093
67,Total Stockholders Equity,-32031,-33943,-34099,281513,676783,122969,810127,-242453,-7210579,-633255,-1707811,-765832,1858265,2881792,2309828,1859566,1378715,639709,565189,17530819
68,Total Liabilities And Stockholders Equity,6999,3,4352,579168,1002146,612605,1347418,- -,186364,55509,7520,- -,2555224,4316010,3030445,3063098,2435002,2427312,2634237,20565325
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6999,3,4352,579168,1002146,612605,1347418,- -,186364,55509,7520,- -,2555224,4316010,3030445,3063098,2435002,2427312,2634237,20565325
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058307/000149315221006558/0001493152-21-006558-index.htm,https://www.sec.gov/Archives/edgar/data/1058307/000149315222008346/0001493152-22-008346-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-716281,-181212,-405656,-1205478,-8530856,-6052995,-5747029,-2248665,-11579406,-8722274,-4811072,624118,-411234,-2064211,-2589923,-3939309,-1194706,-1379756,-2763375,-8107662
74,Depreciation and Amortization,65400,15000,521,14352,16354,38106,37773,- -,5358,- -,- -,- -,- -,119412,291803,284386,288864,284880,322999,292102
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,851316,3662500,462132,41516,- -,179834,1072500,190000,600000,219518,- -,74000,2481071
77,Change in Working Capital,6158,-1912,-4395,284323,301996,-702819,-157864,145016,-6726121,6260552,-1074556,941979,386642,884339,-423659,-204124,-218496,-225892,422964,16738265
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8410,853,19960,-197737,123970,-73827,67322,-172805
79,Inventory,- -,- -,- -,33107,13289,11068,-12189,- -,- -,- -,- -,- -,- -,-27577,-83749,2372,63872,-97274,4876,-658274
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18777,289751,- -,- -
81,Other Working Capital,-32031,-33943,-38338,245985,547981,-154838,-312702,-167686,-6893807,-633255,-1707811,-765832,-379190,505149,81490,-122634,-341130,-567022,-144058,16594207
82,Other Non-Cash Items,607754,-3172,184400,-294153,7238660,5467275,3926444,535643,13831608,1245584,5651585,-1566117,-365148,-632984,1487743,2943802,314635,661565,1106432,-15495866
83,Cash Provided by Operating Activities,-36969,-171296,-225130,-1200956,-973846,-1250433,-1940676,-716690,-806061,-754006,-192527,-20,-209906,-620944,-1044036,-315245,-590185,-659203,-836980,-4092090
84,CAPEX,- -,- -,-4760,-4387,-10963,-79937,-233671,-789,-36776,- -,- -,- -,-250000,-90847,-26448,-33193,-30331,-70194,-34903,-229307
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,325000,- -,-104943,- -,- -,- -,- -,30934,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-171100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,300000,450000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,324404,-29900,6912,27859,20225,- -,- -,- -,- -,-250000,-500000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-4760,320017,259137,376975,119188,19436,-312819,- -,- -,- -,-250000,-559913,-26448,-33193,-30331,-70194,-34903,-229307
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100834,- -,- -,-134200,- -,- -
91,Common Stock Issued,138730,164300,230000,1188125,794800,778170,1828326,286512,75000,550000,- -,- -,500000,- -,350000,- -,- -,- -,- -,12661984
92,Common Stock Repurchased,- -,- -,- -,-8567,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
