,https://roic.ai/company/IMOS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,18210936000,19220560000,19361930000,22005131000,19869391000,18387000,17940000,18480000,20337881000,23011381000
2,COGS,16644658000,16676599000,15969222000,16833516000,15781044000,14745000,14703000,15050000,16411742000,17979208000
3,Gross Profit,1566278000,2543961000,3392708000,5171615000,4088347000,3642000,3237000,3430000,3926139000,5032173000
4,Gross Profit Ratio,0.0860,0.1324,0.1752,0.2350,0.2058,0.1981,0.1804,0.1856,0.1930,0.2187
5,Research and Development Exp.,409754000,492774000,564928000,679626000,747779000,-838000,-985000,-939000,1007631000,1015512000
6,General and Administrative Exp.,568289000,539866000,593887000,621854000,667465000,-750000,-575000,-432000,498241000,528759000
7,Selling and Marketing Exp.,66537000,78314000,107706000,101901000,94649000,-72000,-64000,-53000,56076000,56978000
8,"Selling, General and Administrative Exp.",634826000,618180000,701593000,723755000,762114000,-822000,-639000,-485000,554317000,585737000
9,Other Expenses,- -,- -,- -,- -,- -,1688395000,1643965000,1377387000,-14353000,-13959000
10,Operating Expenses,1044580000,1110954000,1266521000,1403381000,1509893000,1686735000,1642341000,1375963000,1547595000,1587290000
11,COGS and Expenses,17689238000,17787553000,17235743000,18236897000,17290937000,14835000,14213000,15223000,17959337000,19566498000
12,Interest Income ,195842000,24608000,- -,- -,- -,38554000,53123000,49971000,64368000,27778000
13,Interest Expense (Gain),278673000,227765000,183005000,140804000,143470000,- -,- -,- -,171075000,162400000
14,Depreciation and Amortization,5786284000,4669896000,3294948000,2908965000,3021923000,- -,- -,- -,3731914000,4175519000
15,EBITDA,6465993000,6142085000,6450127000,7325558000,5991057000,90000,1532000,1782000,6925242000,7311278000
16,EBITDA ratio,0.3551,0.3196,0.3331,0.3329,0.3015,0.0049,0.0854,0.0964,0.3405,0.3177
17,Operating Income,521698000,1433007000,2126187000,118850102,76244882,1998575000,2239881000,2099721000,2457119000,3566502000
18,Operating Income ratio,0.0286,0.0746,0.1098,0.0054,0.0038,108.6950,124.8540,113.6213,0.1208,0.1550
19,Total Other Income Expenses (Gains),-303613000,-99684000,1224933000,4666485898,2786492118,-1998752000,-2238349000,-2097939000,565134000,-593143000
20,Income Before Tax,218085000,1333323000,3351120000,4785336000,2862737000,-177000,1532000,1782000,3022253000,2973359000
21,Income Before Tax Ratio,0.0120,0.0694,0.1731,0.2175,0.1441,-0.0096,0.0854,0.0964,0.1486,0.1292
22,Income Tax expense (Gain),39145000,125029000,648920000,957156000,595195000,-177000,-550000,-456000,513679000,594381000
23,Net Income,361891000,1119395000,2323254000,3318633000,2230469000,- -,2082000,2238000,2508574000,2378978000
24,Net Income ratio,0.0199,0.0582,0.1200,0.1508,0.1123,- -,0.1161,0.1211,0.1233,0.1034
25,EPS,10.12,31.30,64.95,90.83,50.80,46.83,84.01,27.40,69.00,65.40
26,EPS Diluted,10.12,31.06,64.01,90.13,50.20,46.36,82.36,27.20,68.00,64.60
27,Weighted Average Shares Outstanding,35765056,35766901,35771504,36536043,43908058,36531560,36026831,40258212,36355550,36362000
28,Weighted Average Shares Outstanding Diluted,35765056,36037862,36297555,36822226,44432856,36835705,36747368,40554228,36855800,36845400
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1123134/000119312517129583/0001193125-17-129583-index.htm,https://www.sec.gov/Archives/edgar/data/1123134/000119312518121873/0001193125-18-121873-index.htm,https://www.sec.gov/Archives/edgar/data/1123134/000119312519117833/0001193125-19-117833-index.htm,https://www.sec.gov/Archives/edgar/data/1123134/000119312520115821/0001193125-20-115821-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,5954440000,8490417000,9718077000,13311902000,10125668000,7571366000,8035000,4642000,4704084000,4113651000
32,Short-Term Investments,- -,1368115000,1080568000,- -,85247000,- -,- -,- -,168970000,259602000
33,Cash and Short-Term Investments,5954440000,9858532000,10798645000,13311902000,10210915000,7571366000,8035000,4642000,4873054000,4373253000
34,Net Receivables,3783715000,4148579000,4207493000,4960953000,3936157000,4140246000,4015000,4747000,5064148000,5805207000
35,Inventory,1533865000,1687889000,1519403000,1704665000,1667691000,1877982000,1929000,1778000,1767642000,2102075000
36,Other Current Assets,456063000,-985477000,286743000,531859000,201168000,- -,- -,- -,57502000,75568000
37,Total Current Assets,11728083000,14709523000,16812284000,20509379000,16015931000,13589594000,13979000,11167000,11762346000,12356103000
38,PP&E,14477836000,12218745000,12923517000,13604115000,14211560000,13497218000,15265000,16819000,18666512000,18853755000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,178890000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,10456000,178890000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,949376000,1368115000,8594000,217708000,356228000,379289000,3524463000,4148672000,3525756000,3544052000
43,Tax Assets,724277000,381029000,168916000,166113000,166267000,- -,- -,- -,194552000,185691000
44,Other Non-Current Assets,141975000,409583000,135442000,137774000,175420000,-379289000,-3524463000,-4148672000,156721000,141213000
45,Total Non-Current Assets,16303920000,14556362000,13236469000,14125710000,14909475000,13497218000,15265000,16819000,22543541000,22724711000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,28032003000,29265885000,30048753000,34635089000,30925406000,27086812000,29244000,27986000,34305887000,35080814000
48,Accounts Payable,1130730000,890077000,956799000,1074925000,708480000,825000,688000,637000,819548000,966821000
49,Short-Term Debt,1230945000,2594281000,3661437000,3276423000,2697563000,1073576000,3124306000,765214000,772986000,883801000
50,Tax Payable,20283000,27422000,165234000,849482000,253726000,115916000,273177000,546342000,386832000,580430000
51,Deferred Revenue,187852000,28408000,33004000,55615000,8337000,- -,- -,- -,2219000,10790000
52,Other Current Liabilities,2154363000,2192595000,2529954000,3936808000,2510221000,-1073547000,-3124288000,-765197000,3424108000,3864219000
53,Total Current Liabilities,4703890000,5705361000,7181194000,8343771000,5924601000,854000,706000,654000,5018861000,5725631000
54,Long-Term Debt,8484300000,6739927000,3888971000,4560000000,4985832000,29000,18000,- -,8961610000,7723158000
55,Deferred Revenue,606740000,547078000,496104000,443737000,385774000,- -,- -,- -,- -,72438000
56,Deferred Tax Liabilities,- -,- -,120253000,- -,- -,- -,- -,- -,309129000,310427000
57,Other Non-Current Liabilities,284808000,175447000,415458000,422724000,521570000,641000,679000,830000,485702000,533321000
58,Total Non-Current Liabilities,9375848000,7462452000,4920786000,5426461000,5893176000,670000,697000,830000,9756441000,8639344000
59,Other Liabilities,- -,- -,- -,- -,- -,14864000,15130000,15288000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,40602000,29842000,17792000,692951000,870495000
61,Total Liabilities,14079738000,13167813000,12101980000,13770232000,11817777000,15048000,15139000,15112000,14775302000,14364975000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,8428553000,8428553000,8428553000,8646193000,8962066000,- -,- -,- -,7272401000,7272401000
64,Retained Earnings,1852862000,3064745000,4663802000,6705140000,5858579000,- -,- -,- -,4651215000,5401569000
65,Other Comprehensive Income/Loss,202473000,423216000,350602000,582927000,914790000,1436082000,1232788000,1590584000,1556182000,1991082000
66,Other Total Stockholders Equity,1332181000,1615083000,1997411000,2308912000,3372194000,16247702000,18120949000,18021173000,6050787000,6050787000
67,Total Stockholders Equity,11816069000,13531597000,15440368000,18243172000,19107629000,16247702000,18120949000,18021173000,19530585000,20715839000
