,https://roic.ai/company/AIH,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,584857000,697396000,761306000,869050000,901573000
2,COGS,217339000,234522000,258567000,275948000,356796000
3,Gross Profit,367518000,462874000,502739000,593102000,544777000
4,Gross Profit Ratio,0.6284,0.6637,0.6604,0.6825,0.6043
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,121763000,92836000,115485000,196329000,230646000
7,Selling and Marketing Exp.,231229000,300362000,333526000,413068000,510608000
8,"Selling, General and Administrative Exp.",352992000,393198000,449011000,609397000,741254000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,352992000,393198000,449011000,609397000,741254000
11,COGS and Expenses,570331000,627720000,707578000,885345000,1098050000
12,Interest Income ,309000,868000,322000,388000,1185000
13,Interest Expense (Gain),2920000,6581000,9244000,24293000,29189000
14,Depreciation and Amortization,38729000,29111000,32140000,83834000,106405000
15,EBITDA,105712000,-21723000,-195345000,258472000,-112472000
16,EBITDA ratio,0.1807,-0.0311,-0.2566,0.2974,-0.1248
17,Operating Income,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),49714000,-122845000,-287700000,168659000,-63015000
20,Income Before Tax,64240000,-53169000,-233972000,152364000,-259492000
21,Income Before Tax Ratio,0.1098,-0.0762,-0.3073,0.1753,-0.2878
22,Income Tax expense (Gain),13713000,19260000,18508000,14036000,-12587000
23,Net Income,50350000,-76675000,-255237000,136309000,-235479000
24,Net Income ratio,0.0861,-0.1099,-0.3353,0.1568,-0.2612
25,EPS,0.89,-1.34,0.49,8.88,-10.83
26,EPS Diluted,0.89,-1.34,0.49,8.88,-10.83
27,Weighted Average Shares Outstanding,56660255,57398219,56660255,23612890,21743213
28,Weighted Average Shares Outstanding Diluted,56660255,57398219,56660255,23612890,21743213
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1757143/000110465920053940/0001104659-20-053940-index.htm,https://www.sec.gov/Archives/edgar/data/1757143/000110465921058304/0001104659-21-058304-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,105345000,101886000,154490000,44384000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,105345000,101886000,154490000,44384000
34,Net Receivables,- -,92968000,155594000,84084000,119732000
35,Inventory,- -,25041000,21143000,26120000,33336000
36,Other Current Assets,- -,4344000,4344000,- -,8712000
37,Total Current Assets,- -,227698000,282967000,264694000,206164000
38,PP&E,- -,210286000,235028000,519323000,531941000
39,Goodwill,- -,50564000,54479000,115180000,161527000
40,Intangible Assets,- -,11239000,13233000,60237000,46902000
41,Intangible Assets,- -,61803000,67712000,175417000,208429000
42,Investments,- -,32988000,26244000,10256000,8330000
43,Tax Assets,- -,11922000,12254000,19774000,31372000
44,Other Non-Current Assets,- -,33287000,52334000,57671000,51850000
45,Total Non-Current Assets,- -,350286000,393572000,782441000,831922000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,577984000,676539000,1047135000,1038086000
48,Accounts Payable,- -,16808000,14356000,17017000,33654000
49,Short-Term Debt,- -,22020000,77130000,163736000,171682000
50,Tax Payable,- -,25654000,19226000,28848000,21436000
51,Deferred Revenue,- -,5091000,5996000,5542000,8639000
52,Other Current Liabilities,- -,89547000,73810000,79007000,87713000
53,Total Current Liabilities,- -,133466000,171292000,265302000,301688000
54,Long-Term Debt,- -,464110000,90474000,178532000,289104000
55,Deferred Revenue,- -,- -,- -,- -,- -
