,https://roic.ai/company/VOYA-PB,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,9364200000,9274200000,9718800000,9615300000,8758500000,11070900000,11341200000,10782200000,8618000000,8514000000,7476000000,7649000000,4230000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7476000000,7649000000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,2198600000,2178900000,2039000000,2151000000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3352200000,3033500000,3030800000,3155000000,2686700000,3561700000,2198600000,2178900000,2039000000,2151000000,1974000000,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,772000000,147000000,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2746000000,147000000,- -
11,COGS and Expenses,10472800000,9236400000,9441000000,9009300000,8000400000,10285700000,10756700000,11395600000,8090000000,7904000000,2746000000,7297000000,1453000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),385500000,382300000,207700000,260100000,365400000,399200000,468700000,389900000,264000000,262000000,-176000000,186000000,224000000
14,Depreciation and Amortization,104000000,98700000,96000000,90500000,85400000,90600000,92500000,98600000,- -,- -,60000000,357000000,- -
15,EBITDA,-411700000,529100000,390600000,818400000,1018800000,1037300000,1015400000,-154200000,-1988000000,1192000000,-622000000,319000000,2252000000
16,EBITDA ratio,-0.0440,0.0571,0.0402,0.0851,0.1163,0.0937,0.0895,-0.0143,-0.2307,0.1400,-0.0832,0.0417,0.5324
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),947800000,547000000,428200000,378500000,433000000,432800000,406900000,361100000,371000000,447000000,-205000000,771000000,579000000
20,Income Before Tax,-1108600000,37800000,277800000,606000000,758100000,785200000,584500000,-613400000,528000000,610000000,560000000,352000000,2777000000
