,https://roic.ai/company/MANU,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,278476000,286416000,331441000,320320000,363189000,433164000,395178000,515345000,581204000,590022000,627122000,509041000,494117000
2,COGS,61733000,51598000,68961000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,216743000,234818000,262480000,320320000,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.7783,0.8198,0.7919,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,123784000,132180000,153231000,228226000,184077000,217874000,205840000,235929000,295622000,324523000,358144000,305841000,334805000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",123784000,132180000,153231000,228226000,184077000,217874000,205840000,235929000,295622000,324523000,358144000,305841000,334805000
9,Other Expenses,49700000,51496000,50901000,45740000,120620000,145055000,179433000,197094000,217757000,236653000,224145000,213392000,202745000
10,Operating Expenses,173484000,183676000,204132000,273966000,304697000,362929000,385273000,433023000,513379000,561176000,582289000,519233000,537550000
11,COGS and Expenses,235217000,235274000,273093000,273966000,304697000,362929000,385273000,433023000,513379000,561176000,582289000,519233000,537550000
12,Interest Income ,1317000,1715000,1710000,779000,1275000,256000,204000,442000,736000,1243000,2822000,1352000,3000
13,Interest Expense (Gain),68413000,72122000,60711000,50315000,35501000,22086000,25603000,21067000,22687000,22517000,21793000,22162000,20215000
14,Depreciation and Amortization,8962000,8634000,6989000,45740000,49483000,63955000,110011000,98088000,134662000,149135000,140880000,141512000,139357000
15,EBITDA,83562000,36210000,79363000,91064000,76022000,126544000,132047000,167988000,213887000,197749000,190149000,142856000,135545000
16,EBITDA ratio,0.3001,0.1264,0.2394,0.2843,0.2093,0.2921,0.3341,0.3260,0.3680,0.3352,0.3032,0.2806,0.2743
17,Operating Income,123530000,64310000,63254000,44872000,62014000,67915000,31648000,68850000,80815000,44135000,49985000,5221000,-36926000
18,Operating Income ratio,0.4436,0.2245,0.1908,0.1401,0.1707,0.1568,0.0801,0.1336,0.1390,0.0748,0.0797,0.0103,-0.0747
19,Total Other Income Expenses (Gains),-117426000,-108583000,-51250000,-49536000,-70807000,-27412000,-35215000,-20017000,-24277000,-18038000,-22509000,-26039000,12899000
20,Income Before Tax,6104000,-44273000,12004000,-4664000,-8793000,40503000,-3567000,48833000,56538000,26097000,27476000,-20818000,-24027000
21,Income Before Tax Ratio,0.0219,-0.1546,0.0362,-0.0146,-0.0242,0.0935,-0.0090,0.0948,0.0973,0.0442,0.0438,-0.0409,-0.0486
22,Income Tax expense (Gain),844000,3211000,-986000,-27977000,-155212000,16668000,-2672000,12462000,17361000,63367000,8595000,2415000,68189000
23,Net Income,5343000,-47757000,12649000,22986000,146250000,23835000,-895000,36371000,39177000,-37270000,18881000,-23233000,-92216000
24,Net Income ratio,0.0192,-0.1667,0.0382,0.0718,0.4027,0.0550,-0.0023,0.0706,0.0674,-0.0632,0.0301,-0.0456,-0.1866
25,EPS,0.03,-0.31,0.08,0.15,0.90,0.15,-0.01,0.22,0.24,-0.23,0.11,-0.14,-0.57
26,EPS Diluted,0.03,-0.31,0.08,0.15,0.90,0.15,-0.01,0.22,0.24,-0.23,0.11,-0.14,-0.57
27,Weighted Average Shares Outstanding,155353000,155353000,155353000,153240000,162895000,163814000,163795000,163890000,164025000,164195000,164526000,164253000,162939000
28,Weighted Average Shares Outstanding Diluted,155353000,155353000,155353000,153240000,162895000,163893000,164132000,164319000,164493000,164610000,164666000,164253000,162939000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1549107/000104746913009876/a2217035zex-4_3.htm,https://www.sec.gov/Archives/edgar/data/1549107/000104746914008570/a2221547z20-f.htm,https://www.sec.gov/Archives/edgar/data/1549107/000104746915007881/a2225776z20-f.htm,https://www.sec.gov/Archives/edgar/data/1549107/000104746916015489/0001047469-16-015489-index.html,https://www.sec.gov/Archives/edgar/data/1549107/000104746917006366/a2233228z20-f.htm,https://www.sec.gov/Archives/edgar/data/1549107/000104746918006489/0001047469-18-006489-index.html,https://www.sec.gov/Archives/edgar/data/1549107/000104746919005426/0001047469-19-005426-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,150530000,163833000,150645000,70603000,94433000,66365000,155752000,229194000,290267000,242022000,307637000,51539000,110658000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,150530000,163833000,150645000,70603000,94433000,66365000,155752000,229194000,290267000,242022000,307637000,51539000,110658000
34,Net Receivables,41779000,44441000,55403000,76663000,56598000,115659000,73640000,116052000,90232000,168860000,65214000,163404000,92482000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,926000,1637000,1416000,2130000,2186000,2080000
36,Other Current Assets,620000,1669000,- -,967000,12281000,9460000,10138000,20493000,16718000,1159000,13342000,7677000,7725000
37,Total Current Assets,192929000,209943000,206048000,148233000,163312000,191484000,239530000,366665000,398854000,413457000,388323000,224806000,212945000
38,PP&E,243466000,239509000,240540000,247866000,252808000,254859000,250626000,245714000,244738000,245401000,246032000,258998000,251442000
39,Goodwill,421453000,421453000,421453000,421453000,421453000,421453000,421453000,421453000,421453000,421453000,421453000,421453000,421453000
40,Intangible Assets,113406000,94270000,129709000,112399000,119947000,204572000,238944000,244181000,296091000,378187000,347404000,353717000,333014000
41,Intangible Assets,534859000,515723000,551162000,533852000,541400000,626025000,660397000,665634000,717544000,799640000,768857000,775170000,754467000
42,Investments,9740000,9038000,6938000,14197000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,145128000,129631000,133640000,145460000,142107000,63974000,58415000,58362000,- -
44,Other Non-Current Assets,12650000,15457000,12500000,3000000,15663000,13712000,17395000,28430000,31031000,23914000,34898000,66130000,41456000
45,Total Non-Current Assets,800715000,779727000,811140000,798915000,954999000,1024227000,1062058000,1085238000,1135420000,1132929000,1108202000,1158660000,1047365000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,993644000,989670000,1017188000,947148000,1118311000,1215711000,1301588000,1451903000,1534274000,1546386000,1496525000,1383466000,1260310000
48,Accounts Payable,62449000,48841000,117800000,83664000,34014000,56152000,72457000,127429000,108493000,267996000,119206000,105918000,192661000
49,Short-Term Debt,11251000,19391000,16573000,15628000,11759000,15005000,485000,5564000,5724000,9074000,5453000,6672000,66444000
50,Tax Payable,2500000,- -,4338000,1128000,900000,2999000,2105000,6867000,9772000,3874000,2859000,4005000,6036000
51,Deferred Revenue,75860000,90503000,110043000,128535000,146278000,180613000,186608000,188844000,207245000,183567000,190146000,171574000,117984000
52,Other Current Liabilities,3866000,481000,6908000,1556000,45838000,49954000,63897000,81906000,92847000,3874000,114039000,114180000,6943000
53,Total Current Liabilities,153426000,159216000,251324000,229383000,237889000,301724000,323447000,403743000,414309000,464511000,428844000,398344000,384032000
54,Long-Term Debt,705335000,753944000,442330000,421247000,377474000,326803000,410482000,484528000,497630000,486694000,505779000,523336000,468132000
55,Deferred Revenue,35897000,27324000,18349000,9375000,17082000,15631000,21583000,38899000,39648000,37085000,33354000,18759000,22942000
56,Deferred Tax Liabilities,56871000,60023000,54406000,26678000,17168000,28837000,17311000,14364000,20828000,28559000,31865000,31337000,35546000
57,Other Non-Current Liabilities,35577000,30104000,30356000,25368000,20738000,44066000,50847000,52087000,84242000,104271000,81481000,60458000,77146000
58,Total Non-Current Liabilities,833680000,871395000,545441000,482668000,432462000,415337000,500223000,589878000,642348000,656609000,652479000,633890000,603766000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4393000,4340000
61,Total Liabilities,987106000,1030611000,796765000,712051000,670351000,717061000,823670000,993621000,1056657000,1121120000,1081323000,1032234000,987798000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,52000,52000,52000,52000,53000,53000,53000,53000,53000
64,Retained Earnings,-263093000,-38270000,-25886000,-12671000,129825000,154828000,155285000,173367000,191436000,135099000,132841000,87197000,-13652000
65,Other Comprehensive Income/Loss,-58954000,-65846000,-72103000,666000,249261000,274948000,253759000,216041000,217306000,221292000,213486000,216465000,238594000
66,Other Total Stockholders Equity,- -,- -,- -,- -,68822000,68822000,68822000,68822000,68822000,68822000,68822000,47517000,47517000
67,Total Stockholders Equity,9482000,-38270000,222753000,237100000,447960000,498650000,477918000,458282000,477617000,425266000,415202000,351232000,272512000
68,Total Liabilities And Stockholders Equity,996588000,992341000,1019518000,949151000,1118311000,1215711000,1301588000,1451903000,1534274000,1546386000,1496525000,1383466000,1260310000
69,Minority Interest,-2944000,-2671000,-2330000,-2003000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,993644000,989670000,1017188000,947148000,1118311000,1215711000,1301588000,1451903000,1534274000,1546386000,1496525000,1383466000,1260310000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1549107/000104746913009876/a2217035zex-4_3.htm,https://www.sec.gov/Archives/edgar/data/1549107/000104746914008570/a2221547z20-f.htm,https://www.sec.gov/Archives/edgar/data/1549107/000104746915007881/a2225776z20-f.htm,https://www.sec.gov/Archives/edgar/data/1549107/000104746916015489/0001047469-16-015489-index.html,https://www.sec.gov/Archives/edgar/data/1549107/000104746917006366/a2233228z20-f.htm,https://www.sec.gov/Archives/edgar/data/1549107/000104746918006489/0001047469-18-006489-index.html,https://www.sec.gov/Archives/edgar/data/1549107/000104746919005426/0001047469-19-005426-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,5343000,-47757000,12649000,22986000,146250000,23835000,-895000,36371000,39177000,-37270000,18881000,-23233000,-92216000
74,Depreciation and Amortization,8962000,8634000,6989000,45740000,49483000,63955000,110011000,98088000,134662000,149135000,140880000,141512000,139357000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,832000,1138000,1352000,1795000,2187000,2915000,699000,818000,2085000
77,Change in Working Capital,19955000,3599000,17104000,-528000,26679000,-24579000,75453000,21804000,42320000,-73770000,90546000,-126749000,37530000
78,Accounts Receivable,-13602000,-1778000,-17483000,-9414000,- -,- -,- -,- -,- -,- -,82086000,-83197000,71695000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-926000,-711000,221000,-714000,-56000,106000
80,Accounts Payable,33991000,4276000,34727000,9625000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-434000,1101000,-140000,-739000,-401000,-1475000,- -,- -,- -,- -,5903000,-33167000,-44605000
82,Other Non-Cash Items,36650000,88633000,-77515000,-37287000,-166023000,8442000,-41996000,28034000,9314000,54240000,-6222000,3832000,26327000
83,Cash Provided by Operating Activities,70910000,53109000,-40773000,30911000,57221000,72791000,143925000,186092000,227660000,95250000,244784000,-3820000,113083000
84,CAPEX,-59030000,-49027000,-32632000,-74294000,-58500000,-103789000,-122912000,-143196000,-202198000,-168215000,-191912000,-241868000,-144430000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-939000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,43988000,-30366000,-11306000,-56926000,-36344000,-78867000,-96797000,-99719000,-142595000,-108009000,-147605000,-191555000,-92193000
89,Cash Used for Investing Activites,40178000,-35119000,-18569000,-72249000,-48847000,-89714000,-102263000,-104820000,-150968000,-121269000,-161342000,-212846000,-99373000
90,Debt Repayment,-35303000,-507258000,-202499000,-28774000,-259254000,-4997000,-227950000,-371000,-395000,-419000,-3750000,-1865000,-1641000
91,Common Stock Issued,- -,- -,249105000,- -,70258000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21305000,- -
93,Dividends Paid,- -,- -,- -,-10000000,- -,- -,- -,-20084000,-23295000,-21982000,-23326000,-23229000,-10718000
94,Other Financing Activites,25000000,502571000,- -,- -,205067000,- -,272539000,- -,- -,- -,- -,- -,60000000
95,Cash Used/Provided by Financing Activities,-10303000,-4687000,46606000,-38774000,16071000,-4997000,44589000,-20455000,-23690000,-22401000,-27076000,-46399000,47641000
96,Effect of Forex Changes on Cash,- -,- -,-452000,70000,-615000,-6148000,3136000,12625000,8071000,175000,9249000,6967000,-2232000
97,Net Change In Cash,100785000,13303000,-13188000,-80042000,23830000,-28068000,89387000,73442000,61073000,-48245000,65615000,-256098000,59119000
98,Cash at the End of Period,150530000,163833000,150645000,70603000,94433000,66365000,155752000,229194000,290267000,242022000,307637000,51539000,110658000
99,Cash at the Beginning of Period,49745000,150530000,163833000,150645000,70603000,94433000,66365000,155752000,229194000,290267000,242022000,307637000,51539000
100,Free Cash Flow,11880000,4082000,-73405000,-43383000,-1279000,-30998000,21013000,42896000,25462000,-72965000,52872000,-245688000,-31347000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1549107/000104746913009876/a2217035zex-4_3.htm,https://www.sec.gov/Archives/edgar/data/1549107/000104746914008570/a2221547z20-f.htm,https://www.sec.gov/Archives/edgar/data/1549107/000104746915007881/a2225776z20-f.htm,https://www.sec.gov/Archives/edgar/data/1549107/000104746916015489/0001047469-16-015489-index.html,https://www.sec.gov/Archives/edgar/data/1549107/000104746917006366/a2233228z20-f.htm,https://www.sec.gov/Archives/edgar/data/1549107/000104746918006489/0001047469-18-006489-index.html,https://www.sec.gov/Archives/edgar/data/1549107/000104746919005426/0001047469-19-005426-index.html,- -,- -
102,Forex Rate,1.6465,1.4949,1.6047,1.5705,1.521,1.7103,1.5705,1.3306,1.3025,1.3207,1.2693,1.2399,1.3827
