,https://roic.ai/company/FULC,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,8823000,19163000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,18494000,25184000,71072000,59042000,69701000
6,General and Administrative Exp.,4499000,8314000,13145000,21392000,30516000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4499000,8314000,13145000,21392000,30516000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,22993000,33498000,84217000,80434000,100217000
11,COGS and Expenses,22993000,33498000,84217000,80434000,- -
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,715000,1345000,2053000,2379000,2515000
15,EBITDA,-22278000,-32153000,-82164000,-68440000,-78332000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-7.7570,-4.0877
17,Operating Income,-22993000,-33498000,-84217000,-71611000,-81054000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-8.1164,-4.2297
19,Total Other Income Expenses (Gains),29000,910000,1540000,792000,207000
20,Income Before Tax,-22964000,-32588000,-82677000,-70819000,-80847000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-8.0266,-4.2189
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-22964000,-32588000,-82677000,-70819000,-80847000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-8.0266,-4.2189
25,EPS,-2.32,-2.98,-8.13,-2.79,-2.29
26,EPS Diluted,-2.32,-2.98,-8.13,-2.79,-2.29
27,Weighted Average Shares Outstanding,10951000,10951000,11046000,25354000,35361000
28,Weighted Average Shares Outstanding Diluted,10951000,10951000,11046000,25354000,35361000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1680581/000156459020008951/0001564590-20-008951-index.htm,https://www.sec.gov/Archives/edgar/data/1680581/000156459021010715/0001564590-21-010715-index.htm,https://www.sec.gov/Archives/edgar/data/1680581/000095017022002727/0000950170-22-002727-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,407000,72797000,96713000,57052000,35412000
32,Short-Term Investments,- -,- -,- -,55862000,182750000
33,Cash and Short-Term Investments,407000,72797000,96713000,112914000,218162000
34,Net Receivables,39000,501000,111000,2707000,2500000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,892000,797000,3259000,3889000,5336000
37,Total Current Assets,1338000,74095000,100083000,119510000,225998000
38,PP&E,2942000,10546000,9205000,8397000,7368000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,60000,1130000,1151000,1670000,1634000
45,Total Non-Current Assets,3002000,11676000,10356000,10067000,9002000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,4340000,85771000,110439000,129577000,235000000
48,Accounts Payable,1673000,1263000,2186000,4079000,4788000
49,Short-Term Debt,- -,46000,50000,17000,469000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,3989000,14910000,4711000
52,Other Current Liabilities,1112000,2920000,5915000,7719000,9231000
53,Total Current Liabilities,2785000,4229000,12140000,26725000,19199000
54,Long-Term Debt,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,6011000,2971000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,233000,5542000,5135000,4700000,4262000
58,Total Non-Current Liabilities,233000,5542000,11146000,7671000,4262000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,46000,50000,17000,- -
61,Total Liabilities,3018000,9771000,23286000,34396000,23461000
62,Preferred Stock,34587000,- -,- -,- -,- -
63,Common Stock,1000,16000,23000,28000,41000
64,Retained Earnings,-35536000,-68124000,-150801000,-221620000,-302467000
65,Other Comprehensive Income/Loss,-893000,-1958000,-3947000,-2000,-397000
66,Other Total Stockholders Equity,3163000,146066000,241878000,316775000,514362000
67,Total Stockholders Equity,1322000,76000000,87153000,95181000,211539000
68,Total Liabilities And Stockholders Equity,4340000,85771000,110439000,129577000,235000000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4340000,85771000,110439000,129577000,235000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1680581/000156459020008951/0001564590-20-008951-index.htm,https://www.sec.gov/Archives/edgar/data/1680581/000156459021010715/0001564590-21-010715-index.htm,https://www.sec.gov/Archives/edgar/data/1680581/000095017022002727/0000950170-22-002727-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-22964000,-32588000,-82677000,-70819000,-80847000
