,https://roic.ai/company/BHR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,191991000,221188000,233496000,307308000,349545000,405857000,414063000,431398000,487614000,226974000,427542000
2,COGS,128183000,148987000,157106000,205225000,236184000,283121000,292933000,298659000,351597000,218460000,322023000
3,Gross Profit,63808000,72201000,76390000,102083000,113361000,122736000,121130000,132739000,136017000,8514000,105519000
4,Gross Profit Ratio,0.3323,0.3264,0.3272,0.3322,0.3243,0.3024,0.2925,0.3077,0.2789,0.0375,0.2468
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,9613000,10846000,12541000,15776000,23023000,29241000,17280000,24249000,25962000,25143000,31358000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",9613000,10846000,12541000,15776000,23023000,29241000,17280000,24249000,25962000,25143000,31358000
9,Other Expenses,29816000,29549000,30862000,40686000,43824000,45897000,52262000,57383000,70112000,164834000,73762000
10,Operating Expenses,39429000,40395000,43403000,56462000,66847000,75138000,69542000,81632000,96074000,189977000,105120000
11,COGS and Expenses,167612000,189382000,200509000,261687000,303031000,358259000,362475000,380291000,447671000,316974000,427143000
12,Interest Income ,24000,29000,23000,27000,34000,167000,690000,1602000,1087000,176000,48000
13,Interest Expense (Gain),31803000,31244000,33011000,39031000,37829000,40881000,38937000,49653000,54507000,45104000,30901000
14,Depreciation and Amortization,29602000,29334000,30646000,40472000,43718000,46004000,52442000,57577000,70763000,74205000,74274000
15,EBITDA,64667000,60417000,54218000,82539000,75098000,107775000,113879000,110982000,127405000,9641000,79835000
16,EBITDA ratio,0.3368,0.2731,0.2322,0.2686,0.2148,0.2655,0.2750,0.2573,0.2613,0.0425,0.1867
17,Operating Income,24379000,31806000,19410000,43750000,45976000,47141000,38842000,65825000,64404000,-79851000,1449000
18,Operating Income ratio,0.1270,0.1438,0.0831,0.1424,0.1315,0.1162,0.0938,0.1526,0.1321,-0.3518,0.0034
19,Total Other Income Expenses (Gains),-22106000,-31215000,-34995000,-39115000,-50404000,-21247000,-11040000,-60808000,-61444000,-49232000,-33036000
20,Income Before Tax,2273000,591000,-15585000,4635000,-4428000,25894000,27802000,5017000,2960000,-129083000,-31587000
21,Income Before Tax Ratio,0.0118,0.0027,-0.0667,0.0151,-0.0127,0.0638,0.0671,0.0116,0.0061,-0.5687,-0.0739
22,Income Tax expense (Gain),2636000,4384000,2343000,1097000,263000,1574000,-522000,2432000,1764000,-4406000,1324000
23,Net Income,626000,-4545000,-11782000,1939000,-6712000,19316000,23022000,1320000,371000,-105262000,-26664000
24,Net Income ratio,0.0033,-0.0205,-0.0505,0.0063,-0.0192,0.0476,0.0556,0.0031,0.0008,-0.4638,-0.0624
25,EPS,0.04,-0.28,-0.73,0.08,-0.34,0.57,0.52,-0.19,-0.32,-3.39,-0.78
26,EPS Diluted,0.04,-0.28,-0.73,0.07,-0.34,0.55,0.51,-0.19,-0.32,-3.39,-0.78
27,Weighted Average Shares Outstanding,16129112,16129112,16045000,24473000,25888000,26648000,30473000,31944000,32289000,33998000,33998000
28,Weighted Average Shares Outstanding Diluted,16129112,16129112,16045000,33325000,25888000,31195000,34706000,31944000,32289000,33998000,33998000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1574085/000157408514000026/0001574085-14-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408515000018/ahp2014q410-k.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408516000151/0001574085-16-000151-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408517000016/0001574085-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408518000019/0001574085-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408519000018/0001574085-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408520000010/0001574085-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408521000029/0001574085-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408522000032/0001574085-22-000032-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,20313000,143776000,171439000,105039000,126790000,137522000,182578000,71995000,78606000,215998000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,20313000,143776000,171439000,105039000,126790000,137522000,182578000,71995000,78606000,215998000
34,Net Receivables,- -,30131000,33607000,26525000,32561000,37001000,36195000,17666000,36242000,26819000,52932000
35,Inventory,- -,304000,318000,696000,1451000,1479000,1425000,1862000,2794000,2551000,3128000
36,Other Current Assets,- -,18293000,8184000,32068000,36267000,41524000,51490000,80319000,63380000,38949000,51728000
37,Total Current Assets,- -,69041000,185885000,230728000,175318000,206794000,226632000,282425000,174411000,146925000,323786000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,82596000,81260000,80462000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,2721000,2631000,2542000,23160000,22846000,22545000,27678000,5019000,4640000,4261000
