,https://roic.ai/company/ASM,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,68809,66181,68960,1,- -,129,6263,3387,- -,- -,- -,- -,- -,- -,2267097,15115660,16623842,13751520,29682011,33358641,34116000,31746000,16022000,11228000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1442024,8422860,9814624,7899238,18891370,21975130,27850000,32016000,15832000,7681000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281,- -,- -,825073,6692799,6809218,5852282,10790641,11383511,6266000,-270000,190000,3547000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,Infinity,- -,- -,0.3639,0.4428,0.4096,0.4256,0.3635,0.3412,0.1837,-0.0085,0.0119,0.3159
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,275236,198544,275839,200767,- -,96668,243726,407143,1238089,- -,1162791,703769,1039169,3828011,1234192,3783100,3265654,2874138,4755860,5316034,4170000,4087000,4643000,4895000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122518,106098,45025,130700,747013,155771,180946,180228,169460,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,275236,198544,275839,200767,87684,96668,243726,407143,1238089,865496,1285309,809867,1084194,3958711,1981205,3938870,3446600,3054367,4925320,5316034,4170000,4087000,4643000,4895000
9,Other Expenses,- -,68809,66181,68960,27473,- -,- -,537,977,857,2044,9607,2504,3833,786,6225,645,129339,111756,223603,263028,403000,147000,215000,187000
10,Operating Expenses,- -,344045,264725,344799,228240,87684,96668,244263,408120,1238946,867540,1294916,812371,1088027,3959498,1987430,3939516,3575939,3166123,5148923,5579062,4573000,4234000,4858000,5082000
11,COGS and Expenses,- -,344045,264725,344799,228240,87684,96668,244263,408120,1238946,867540,1294916,812371,1088027,3959498,3429454,12362376,13390563,11065361,24040293,27554192,32423000,36250000,20690000,12763000
12,Interest Income ,- -,- -,- -,- -,429,754,129,6263,33877,40289,358931,120284,65155,14204,77235,21873,39073,35885,42587,51390,245810,221000,545000,332000,178000
13,Interest Expense (Gain),- -,68809,132363,- -,- -,66398,- -,5885,52,- -,- -,- -,- -,- -,- -,- -,49544,218882,140029,264546,259619,553000,148000,25000,76000
14,Depreciation and Amortization,- -,68809,66181,68960,27473,- -,- -,537,977,857,2044,2357,2223,3833,786,195464,892224,15814,13085,11836,14761,25000,43000,116000,2116000
15,EBITDA,- -,-137618,-1191264,-413759,-719458,1039828,-122890,-329873,-689348,-1238089,11264,-1292559,-810148,-1084194,-3958711,-812605,4143597,4440125,2273925,5864976,5698430,2611000,-31903000,-8918000,574000
16,EBITDA ratio,- -,-2.0000,-18.0000,-6.0000,-538675.9435,Infinity,-949.1929,-52.6668,-203.5326,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.3584,0.2741,0.2671,0.1654,0.1976,0.1708,0.0765,-1.0049,-0.5566,0.0511
17,Operating Income,- -,-275236,-1058901,-275839,-232953,-1139355,-96539,-237999,-404733,-1518988,-867540,-1294916,-639077,-1130498,-3959498,-1114702,2703740,3239868,2784830,5853485,6052716,- -,- -,- -,- -
18,Operating Income ratio,- -,-4.0000,-16.0000,-4.0000,-174417.9817,-Infinity,-745.6548,-37.9984,-119.4989,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4917,0.1789,0.1949,0.2025,0.1972,0.1814,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,-992720,-137920,-519120,-1921714,-26352,-92411,-285645,-570535,-517830,111495,-533037,-27370,-54071,106633,498090,965562,-664019,-264891,-628666,340000,1536000,-4222000,-83000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,-690378,-2089523,-1385370,-1183421,-1172114,-1157868,-4013568,-1008069,3201830,4205430,2120811,5588594,5424050,2033000,-2968000,-8890000,-1618000
