,https://roic.ai/company/PANL,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,392470972,398276205,287333241,238016498,385088209,372970373,412197819,382895991,718104388
2,COGS,- -,359488245,380379889,245847687,212350880,345481058,319555218,362224987,344752754,- -
3,Gross Profit,- -,32982727,17896316,41485554,25665618,39607151,53415155,49972832,38143237,- -
4,Gross Profit Ratio,- -,0.0840,0.0449,0.1444,0.1078,0.1029,0.1432,0.1212,0.0996,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,11599121,12831330,14966463,12773781,15163352,16483991,17378681,15915035,18966488
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,11599121,12831330,14966463,12773781,15163352,16483991,17378681,15915035,18966488
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,23749008
10,Operating Expenses,- -,11599121,12831330,14966463,12773781,15163352,16483991,17378681,15915035,42715496
11,COGS and Expenses,- -,371087366,393211219,260814150,225124661,360644410,336039209,379603668,360667789,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,7016261,6230651,5855320,5737982,8270376,8897229,9278025,7831314,-10329397
14,Depreciation and Amortization,- -,9614859,11668128,12730872,14107822,15614571,17620725,18529476,17055271,22974249
15,EBITDA,- -,32083489,5770330,29862385,27302759,31697741,44274974,39465459,36238765,85018556
16,EBITDA ratio,- -,0.0817,0.0145,0.1039,0.1147,0.0823,0.1187,0.0957,0.0946,0.1184
17,Operating Income,- -,21383606,-2494045,20526430,12891837,15168757,36070738,23258212,19697098,78872205
18,Operating Income ratio,- -,0.0545,-0.0063,0.0714,0.0542,0.0394,0.0967,0.0564,0.0514,0.1098
