,https://roic.ai/company/TECH,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,12500000,15700000,19300000,22300000,28700000,40300000,47700000,54600000,60900000,67300000,90900000,103838155,115356562,130900395,145010900,161257000,178652000,202617000,223482000,257420000,263956000,269047000,289962000,314560000,310575000,357763000,452246000,499023000,563003000,642993000,714006000,738691000,931032000
2,COGS,6100000,7300000,8900000,9600000,11800000,15200000,16800000,17100000,17000000,17800000,25000000,23328550,28424906,32507846,35396174,34887000,36813000,45718000,46667000,52889000,55488000,54463000,65025000,78756000,79465000,106352000,144969000,162364000,188462000,210850000,240515000,255497000,298182000
3,Gross Profit,6400000,8400000,10400000,12700000,16900000,25100000,30900000,37500000,43900000,49500000,65900000,80509605,86931656,98392549,109614726,126370000,141839000,156899000,176815000,204531000,208468000,214584000,224937000,235804000,231110000,251411000,307277000,336659000,374541000,432143000,473491000,483194000,632850000
4,Gross Profit Ratio,0.5120,0.5350,0.5389,0.5695,0.5889,0.6228,0.6478,0.6868,0.7209,0.7355,0.7250,0.7753,0.7536,0.7517,0.7559,0.7837,0.7939,0.7744,0.7912,0.7945,0.7898,0.7976,0.7757,0.7496,0.7441,0.7027,0.6794,0.6746,0.6653,0.6721,0.6631,0.6541,0.6797
5,Research and Development Exp.,- -,- -,- -,- -,- -,6500000,8600000,10400000,11700000,10600000,12000000,11198309,14522233,17470267,20581343,20773000,18379000,18825000,20082000,22394000,23564000,25121000,25985000,27912000,29257000,30945000,40853000,45187000,53514000,55329000,62413000,65192000,70603000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,11200000,13000000,14600000,15400000,16900000,17315131,17714215,19554195,19376538,21725000,24476000,27604000,30965000,36715000,33164000,32175000,35897000,41683000,43384000,60716000,119401000,140879000,153326000,240636000,236867000,240882000,289924000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,11200000,13000000,14600000,15400000,16900000,17315131,17714215,19554195,19376538,21725000,24476000,27604000,30965000,36715000,33164000,32175000,35897000,41683000,43384000,60716000,119401000,140879000,153326000,240636000,236867000,240882000,289924000
9,Other Expenses,5800000,6900000,8200000,8600000,10000000,11000000,1700000,1900000,2300000,2300000,11900000,12651350,8889254,8549246,1939250,1599000,1221000,1967000,1614000,1135000,960000,960000,- -,2127000,2192000,1940000,- -,- -,23146000,1803000,27107000,28273000,29633000
10,Operating Expenses,5800000,6900000,8200000,8600000,10000000,17500000,21500000,25300000,28600000,28300000,40800000,41164790,41125702,45573708,41897131,44097000,44076000,48396000,52661000,60244000,57688000,58256000,61882000,71722000,74833000,93601000,160254000,186066000,229986000,297768000,326387000,334347000,390160000
11,COGS and Expenses,11900000,14200000,17100000,18200000,21800000,32700000,38300000,42400000,45600000,46100000,65800000,64493340,69550608,78081554,77293305,78984000,80889000,94114000,99328000,113133000,113176000,112719000,126907000,150478000,154298000,199953000,305223000,348430000,418448000,508618000,566902000,589844000,688342000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7634000,4375000,3752000,2639000,2646000,2684000,634000,249000,304000,409000,569000,605000,473000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1544000,1748000,7361000,10188000,21705000,19197000,13952000
14,Depreciation and Amortization,200000,300000,500000,1000000,1300000,1800000,1700000,1900000,2300000,2300000,11900000,12651350,12737448,12687915,6352847,6040000,6108000,6955000,6994000,7259000,7766000,8130000,8700000,12467000,12321000,19175000,37226000,42764000,60036000,64463000,78171000,82737000,87747000
15,EBITDA,800000,1700000,2700000,4300000,7800000,9000000,11300000,14500000,18300000,24700000,38000000,52063147,60545824,50423584,75908140,88581000,105995000,118118000,135925000,161090000,163129000,164576000,173681000,174662000,172983000,180567000,192932000,191993000,179358000,200603000,211891000,378411000,250699000
16,EBITDA ratio,0.0640,0.1083,0.1399,0.1928,0.2718,0.2233,0.2369,0.2656,0.3005,0.3670,0.4180,0.5014,0.5249,0.3852,0.5235,0.5493,0.5933,0.5830,0.6082,0.6258,0.6180,0.6117,0.5990,0.5553,0.5570,0.5047,0.4266,0.3847,0.3186,0.3120,0.2968,0.5123,0.2693
17,Operating Income,600000,1500000,2200000,4100000,6900000,7600000,9400000,12200000,15300000,21200000,25100000,39344815,45805954,52818841,67717595,82273000,97763000,108503000,124154000,144287000,150780000,156328000,163055000,166209000,158469000,159750000,147023000,150593000,120584000,136178000,146719000,157419000,237296000
18,Operating Income ratio,0.0480,0.0955,0.1140,0.1839,0.2404,0.1886,0.1971,0.2234,0.2512,0.3150,0.2761,0.3789,0.3971,0.4035,0.4670,0.5102,0.5472,0.5355,0.5555,0.5605,0.5712,0.5810,0.5623,0.5284,0.5102,0.4465,0.3251,0.3018,0.2142,0.2118,0.2055,0.2131,0.2549
19,Total Other Income Expenses (Gains),- -,-100000,- -,-800000,-400000,-400000,200000,400000,700000,1200000,1000000,66982,2002422,-15083172,1837698,268000,2124000,2660000,4777000,9544000,4583000,118000,1926000,-4014000,2193000,1642000,7139000,-3112000,-8623000,-10226000,-34704000,119058000,-89121000
20,Income Before Tax,600000,1400000,2200000,3300000,6500000,7200000,9600000,12600000,16000000,22400000,26100000,39411797,47808376,37735669,69555293,82541000,99887000,111163000,128931000,153831000,155363000,156446000,164981000,162195000,160662000,161392000,154162000,147481000,111961000,125952000,112015000,276477000,148175000
21,Income Before Tax Ratio,0.0480,0.0892,0.1140,0.1480,0.2265,0.1787,0.2013,0.2308,0.2627,0.3328,0.2871,0.3796,0.4144,0.2883,0.4797,0.5119,0.5591,0.5486,0.5769,0.5976,0.5886,0.5815,0.5690,0.5156,0.5173,0.4511,0.3409,0.2955,0.1989,0.1959,0.1569,0.3743,0.1592
22,Income Tax expense (Gain),200000,400000,600000,1300000,2100000,2100000,2900000,4000000,5100000,7200000,9400000,12829000,13763000,10606000,24159000,29613000,33755000,37812000,43820000,50273000,50121000,46670000,52679000,49864000,48101000,50444000,46427000,43005000,35875000,-198000,15943000,47181000,8590000
23,Net Income,400000,1000000,1600000,2000000,4400000,5100000,6700000,8600000,10900000,15200000,16700000,26582797,34045376,27129669,45396293,52928000,66132000,73351000,85111000,103558000,105242000,109776000,112302000,112331000,112561000,110948000,107735000,104476000,76086000,126150000,96072000,229296000,140410000
24,Net Income ratio,0.0320,0.0637,0.0829,0.0897,0.1533,0.1266,0.1405,0.1575,0.1790,0.2259,0.1837,0.2560,0.2951,0.2073,0.3131,0.3282,0.3702,0.3620,0.3808,0.4023,0.3987,0.4080,0.3873,0.3571,0.3624,0.3101,0.2382,0.2094,0.1351,0.1962,0.1346,0.3104,0.1508
25,EPS,0.02,0.03,0.05,0.06,0.12,0.14,0.17,0.22,0.28,0.40,0.41,0.66,0.82,0.65,1.10,1.29,1.64,1.88,2.16,2.65,2.78,2.95,3.03,3.04,3.06,3.01,2.90,2.81,2.07,3.34,2.54,6.00,3.62
26,EPS Diluted,0.02,0.03,0.05,0.06,0.12,0.14,0.17,0.22,0.28,0.39,0.41,0.63,0.80,0.64,1.08,1.27,1.62,1.85,2.15,2.64,2.78,2.94,3.02,3.04,3.05,3.00,2.89,2.80,2.06,3.29,2.47,5.82,3.47
27,Weighted Average Shares Outstanding,31536000,33333333,32000000,33333333,36666667,36428571,38087824,38885700,38925064,37905936,40234734,40625482,41438670,41507727,41237473,41046000,40359000,39049000,39406000,39139000,37802000,37255000,37098000,36939000,36836000,36890000,37096000,37194000,37313000,37476000,37781000,38201000,38747000
28,Weighted Average Shares Outstanding Diluted,31536000,33333333,32000000,33333333,36666667,36428571,38333333,38885700,38947368,39215260,41373350,42206042,42668236,42522664,42031510,41697000,40920000,39594000,39513000,39247000,37900000,37347000,37172000,37006000,36900000,37005000,37231000,37326000,37500000,38055000,38892000,39401000,40483000
