,https://roic.ai/company/TIXT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,573200000,834600000,1019600000,1581600000,2194000000
2,COGS,105800000,174900000,182900000,299000000,432000000
3,Gross Profit,467400000,659700000,836700000,1282600000,1762000000
4,Gross Profit Ratio,0.8154,0.7904,0.8206,0.8110,0.8031
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,366500000,522500000,630400000,979500000,1297000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",366500000,522500000,630400000,979500000,1297000000
9,Other Expenses,32200000,36900000,77600000,108700000,257000000
10,Operating Expenses,398700000,559400000,708000000,1088200000,1554000000
11,COGS and Expenses,504500000,734300000,890900000,1387200000,1986000000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),10100000,23200000,36300000,45400000,38000000
14,Depreciation and Amortization,32200000,49500000,92200000,182200000,257000000
15,EBITDA,101400000,141700000,223500000,378100000,437000000
16,EBITDA ratio,0.1769,0.1698,0.2192,0.2391,0.1992
17,Operating Income,68700000,87700000,114100000,120900000,185000000
18,Operating Income ratio,0.1199,0.1051,0.1119,0.0764,0.0843
19,Total Other Income Expenses (Gains),-9600000,-18700000,-19100000,29600000,-43000000
20,Income Before Tax,59100000,69000000,95000000,150500000,142000000
21,Income Before Tax Ratio,0.1031,0.0827,0.0932,0.0952,0.0647
22,Income Tax expense (Gain),15700000,21900000,26000000,47600000,64000000
23,Net Income,43400000,47100000,69000000,102900000,78000000
24,Net Income ratio,0.0757,0.0564,0.0677,0.0651,0.0356
25,EPS,0.16,0.18,0.26,0.39,0.29
26,EPS Diluted,0.16,0.18,0.26,0.39,0.29
27,Weighted Average Shares Outstanding,265512117,265512117,265512117,266444570,266444570
28,Weighted Average Shares Outstanding Diluted,265512117,265512117,265512117,266444570,266444570
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,65600000,79500000,152500000,115000000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,65600000,79500000,152500000,115000000
34,Net Receivables,- -,159700000,217700000,370200000,473000000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,24300000,31200000,25500000,39000000
37,Total Current Assets,- -,249600000,328400000,548200000,627000000
38,PP&E,- -,115200000,301000000,362100000,431000000
39,Goodwill,- -,421200000,418400000,1500000000,1380000000
40,Intangible Assets,- -,104800000,89700000,1294300000,1158000000
41,Intangible Assets,- -,526000000,508100000,2794300000,2538000000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,2600000,4700000,6500000,23000000
44,Other Non-Current Assets,- -,15700000,26800000,33700000,7000000
45,Total Non-Current Assets,- -,659500000,840600000,3196600000,2999000000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,909100000,1169000000,3744800000,3626000000
48,Accounts Payable,- -,9200000,20300000,18800000,79000000
49,Short-Term Debt,- -,6000000,42800000,92300000,328000000
50,Tax Payable,- -,30500000,40600000,101000000,67000000
51,Deferred Revenue,- -,13500000,4000000,7600000,7000000
52,Other Current Liabilities,- -,163800000,208800000,386400000,393000000
53,Total Current Liabilities,- -,192500000,275900000,505100000,807000000
54,Long-Term Debt,- -,302000000,477700000,1673400000,820000000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2900000,1700000,366200000,305000000
57,Other Non-Current Liabilities,- -,215000000,167900000,89200000,39000000
58,Total Non-Current Liabilities,- -,519900000,647300000,2128800000,1164000000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,- -,712400000,923200000,2633900000,1971000000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,196700000,245800000,989000000,1490000000
64,Retained Earnings,- -,- -,- -,32500000,107000000
65,Other Comprehensive Income/Loss,- -,- -,- -,89400000,34000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,24000000
