,https://roic.ai/company/ASPU,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,2346238,5017213,- -,3981722,5225761,8453669,14246696,22021512,34025418,49061080,67812520
2,COGS,- -,- -,- -,1041269,2926837,- -,1859764,2176330,3587028,5061222,9853819,15977218,19135302,29453733
3,Gross Profit,- -,- -,- -,1304969,2090376,- -,2121958,3049431,4866641,9185474,12167693,18048200,29925778,38358787
4,Gross Profit Ratio,- -,- -,- -,0.5562,0.4166,- -,0.5329,0.5835,0.5757,0.6447,0.5525,0.5304,0.6100,0.5657
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,13546,3593956,5404326,- -,6300229,5924263,6403708,9410830,16328580,24987828,30329520,41908030
7,Selling and Marketing Exp.,- -,- -,- -,- -,1442128,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,13546,3593956,6846454,- -,6300229,5924263,6403708,9410830,16328580,24987828,30329520,41908030
9,Other Expenses,- -,- -,- -,264082,900238,- -,598399,528496,598303,556730,1092283,2170098,2203461,2426365
10,Operating Expenses,- -,- -,- -,3858038,7746692,- -,6898628,6452759,7002011,9967560,17420863,27157926,32532981,44334395
11,COGS and Expenses,- -,- -,13546,4899307,10673529,- -,8758392,8629089,10589039,15028782,27274682,43135144,51668283,73788128
12,Interest Income ,- -,- -,- -,2656,4592,- -,1035,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,27850,364889,- -,659997,421653,121320,337510,2010152,444680,1818078,2051381
14,Depreciation and Amortization,- -,- -,- -,264082,397923,160000,474752,528496,598303,556730,1092283,2170098,2203461,2426365
15,EBITDA,- -,- -,-13546,-1843641,-5247922,- -,-4215599,-3318139,-1527082,-211020,-3958626,-6663439,-1585706,-5938583
16,EBITDA ratio,- -,- -,-Infinity,-0.7858,-1.0460,- -,-1.0587,-0.6350,-0.1806,-0.0148,-0.1798,-0.1958,-0.0323,-0.0876
17,Operating Income,- -,- -,- -,- -,-5656316,- -,-4776670,-3403328,-2135370,-782086,-5253170,-9109726,-4038413,-8244148
18,Operating Income ratio,- -,- -,- -,- -,-1.1274,- -,-1.1996,-0.6513,-0.2526,-0.0549,-0.2385,-0.2677,-0.0823,-0.1216
19,Total Other Income Expenses (Gains),- -,- -,- -,-40070,-354418,- -,-658341,-864960,-111335,-323174,-1807891,-168491,-1568832,-2172181
20,Income Before Tax,- -,- -,-13546,-2593139,-6010734,- -,-5435011,-4268288,-2246705,-1105260,-7061061,-9278217,-5607245,-10416329
21,Income Before Tax Ratio,- -,- -,-Infinity,-1.1052,-1.1980,- -,-1.3650,-0.8168,-0.2658,-0.0776,-0.3206,-0.2727,-0.1143,-0.1536
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51820,32644
23,Net Income,- -,- -,-13546,-2135573,-6010734,- -,-5350348,-4268288,-2246705,-1105260,-7061061,-9278217,-5659065,-10448973
24,Net Income ratio,- -,- -,-Infinity,-0.9102,-1.1980,- -,-1.3437,-0.8168,-0.2658,-0.0776,-0.3206,-0.2727,-0.1153,-0.1541
25,EPS,- -,- -,-0.00,-0.54,-1.32,- -,-0.88,-0.40,-0.20,-0.08,-0.50,-0.50,-0.29,-0.44
26,EPS Diluted,- -,- -,-0.00,-0.54,-1.32,- -,-0.88,-0.40,-0.20,-0.08,-0.50,-0.50,-0.29,-0.44
27,Weighted Average Shares Outstanding,- -,- -,3769930,4079983,4586958,6101182,6101182,10671091,11246467,13504012,14215868,18409459,19708708,23757656
28,Weighted Average Shares Outstanding Diluted,- -,- -,3769930,4079983,4586958,6101182,6101182,10671091,11246467,13504012,14215868,18409459,19708708,23757656
29,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1487198/000155335013000500/aspu_10kt.htm,https://www.sec.gov/Archives/edgar/data/1487198/000155335014000845/0001553350-14-000845-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000155335015000775/0001553350-15-000775-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000155335016002268/aspu_10k.htm,https://www.sec.gov/Archives/edgar/data/1487198/000155335017000878/0001553350-17-000878-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000155335018000804/0001553350-18-000804-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000155335019000717/0001553350-19-000717-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000148719820000010/0001487198-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1487198/000148719821000003/0001487198-21-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,9000,766602,644988,724982,247380,2159463,783796,2756217,14612559,9519352,14350554,8513290
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,9000,766602,644988,724982,247380,2159463,783796,2756217,14612559,9519352,14350554,8513290
34,Net Receivables,- -,- -,- -,1137892,561697,364788,649890,1058339,2179852,5424326,6987292,10658615,14349888,16724744
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,735613,529963,544421,919432,1244079,123055,133531,389912,859145,4670972,6299149
37,Total Current Assets,- -,- -,9000,2640107,1736648,1634191,1816702,4461881,3086703,8314074,21989763,21037112,33371414,31537183
38,PP&E,- -,- -,- -,997109,1211320,1263740,1280729,1211048,1148632,1454715,2862166,4391340,12560494,25370205
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5011432,5011432,5011432,5011432
40,Intangible Assets,- -,- -,- -,369831,253571,208095,108882,173311,194932,145477,9779826,8703597,8011457,8095656
41,Intangible Assets,- -,- -,- -,369831,253571,208095,108882,173311,194932,145477,14791258,13715029,13022889,13107088
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,6559,295659,295659,377527,72008,76504,759288,1945345,4061022,7284714,10792430
45,Total Non-Current Assets,- -,- -,- -,1373499,1760550,1767494,1767138,1456367,1420068,2359480,19598769,22167391,32868097,49269723
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,9000,4013606,3497198,3401685,3583840,5918248,4506771,10673554,41588532,43204503,66239511,80806906
48,Accounts Payable,- -,- -,- -,414147,216974,313405,454783,179109,9201,756701,2227214,1699221,1505859,1466488
49,Short-Term Debt,- -,- -,- -,6383,491,200000,1962720,50000,50000,50000,1050000,50000,1683252,2029821
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
