,https://roic.ai/company/ICCC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2800000,3000000,2200000,3100000,3900000,4400000,4900000,4400000,4600000,4500000,4909245,5635985,6677000,6184704,3357342,3696280,4983142,4801270,6069187,4633690,4508646,4386196,5111143,5389935,6007176,7596874,10228689,9543961,10431091,10986297,13722872,15342000,19243000
2,COGS,1500000,1100000,1300000,1400000,1700000,1800000,1800000,1800000,1700000,1900000,2051422,2668234,3215000,2799429,1347289,1449016,1633932,1882364,2268817,2559053,2107678,2083718,2297339,2335676,2946570,3147837,3977787,4123266,5209734,5792392,6983152,8479000,10587000
3,Gross Profit,1300000,1900000,900000,1700000,2200000,2600000,3100000,2600000,2900000,2600000,2857823,2967751,3462000,3385275,2010053,2247264,3349210,2918906,3800370,2074637,2400968,2302478,2813804,3054259,3060606,4449037,6250902,5420695,5221357,5193905,6739720,6863000,8656000
4,Gross Profit Ratio,0.4643,0.6333,0.4091,0.5484,0.5641,0.5909,0.6327,0.5909,0.6304,0.5778,0.5821,0.5266,0.5185,0.5474,0.5987,0.6080,0.6721,0.6079,0.6262,0.4477,0.5325,0.5249,0.5505,0.5667,0.5095,0.5856,0.6111,0.5680,0.5006,0.4728,0.4911,0.4473,0.4498
5,Research and Development Exp.,- -,- -,- -,- -,- -,1400000,1500000,1300000,1100000,1000000,812892,922347,849000,1052783,1350164,1091836,1269950,965926,1579352,1746233,1644725,1492806,1720055,917600,1154200,2179079,1235309,1244335,2046564,3516619,3687609,4354000,4169000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,1400000,1300000,1400000,1500000,1328424,1498872,1942000,1799351,1088920,1034657,1141226,1182299,1348915,926287,872526,849064,856606,918441,939192,1159234,1286373,1454839,1524815,1738953,1687907,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,569714,410744,650889,869869,973217,986766,1317122,1606898,1831317,1892823,2084903,2318112,3889000,2503926
8,"Selling, General and Administrative Exp.",2100000,2300000,2200000,1900000,2200000,1300000,1400000,1300000,1400000,1500000,1328424,1498872,1942000,1799351,1088920,1034657,1141226,1182299,1348915,1496001,1283270,1499953,1726475,1891658,1925958,2476356,2893271,3286156,3417638,3823856,4006019,3888552,4230000
9,Other Expenses,100000,100000,100000,100000,100000,200000,200000,100000,100000,100000,101537,133158,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,448,- -
10,Operating Expenses,2200000,2400000,2300000,2000000,2300000,2900000,3100000,2700000,2600000,2600000,2242853,2554377,2791000,2852134,2439084,2126493,2411176,2148225,2928267,3242234,2927995,2992759,3446530,2809258,3080158,4655435,4128580,4530491,5464202,7340475,7693628,8243000,8399000
11,COGS and Expenses,3700000,3500000,3600000,3400000,4000000,4700000,4900000,4500000,4300000,4500000,4294275,5222611,6006000,5651563,3786373,3575509,4045108,4030589,5197084,5801287,5035673,5076477,5743869,5144934,6026728,7803272,8106367,8653757,10673936,13132867,14676780,16722000,18986000
