,https://roic.ai/company/APYX,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5521000,7485900,7371281,8441846,9597472,9935886,11484334,12446571,16550722,20495101,20211141,26676182,28779157,28096510,26953447,24230000,25411000,27671000,23660000,27681000,29520000,36627000,38883000,16686000,28235000,27711000,48517000
2,COGS,3215300,4134400,4138774,5274041,4588404,4595939,5724421,7190295,9434301,12514063,12649209,16075426,17463644,16247702,15098696,14242000,14680000,16338000,14462000,18689000,16963000,18712000,19122000,5893000,9141000,10207000,14916000
3,Gross Profit,2305700,3351500,3232507,3167805,5009068,5339947,5759913,5256276,7116421,7981038,7561932,10600756,11315513,11848808,11854751,9988000,10731000,11333000,9198000,8992000,12557000,17915000,19761000,10793000,19094000,17504000,33601000
4,Gross Profit Ratio,0.4176,0.4477,0.4385,0.3753,0.5219,0.5374,0.5015,0.4223,0.4300,0.3894,0.3741,0.3974,0.3932,0.4217,0.4398,0.4122,0.4223,0.4096,0.3888,0.3248,0.4254,0.4891,0.5082,0.6468,0.6763,0.6317,0.6926
5,Research and Development Exp.,121900,105700,96738,183173,379832,513020,463133,693710,717347,907389,985807,1187088,1643092,2060854,2082960,1854000,1197000,1329000,1260000,1416000,2160000,2618000,2455000,2469000,3731000,3920000,4321000
6,General and Administrative Exp.,1184900,1338000,- -,1752517,6456094,3900220,4713200,4912016,5604763,5755807,6010967,6789826,7565915,8496676,9056942,9600000,10302000,4617000,5070000,6739000,8966000,10524000,9677000,21183000,36232000,33667000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4341000,4894000,6686000,8417000,8565000,11370000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1184900,1338000,- -,1752517,6456094,3900220,4713200,4912016,5604763,5755807,6010967,6789826,7565915,8496676,9056942,9600000,10302000,8958000,9964000,13425000,17383000,19089000,21047000,21183000,36232000,33667000,18617000
9,Other Expenses,1218400,1427400,2796190,2152277,321172,396810,- -,124445,81914,39286,161190,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2525200,2871100,2892928,4087967,7157098,4810050,5176333,5730171,6404024,6702482,7157964,7976914,9209007,10557530,11139902,11454000,11499000,10287000,11224000,14841000,19543000,21707000,23502000,23652000,39963000,37587000,22938000
11,COGS and Expenses,5740500,7005500,7031702,9362008,11745502,9405989,10900754,12920466,15838325,19216545,19807173,24052340,26672651,26805232,26238598,25696000,26179000,26625000,25686000,33530000,36506000,40419000,42624000,29545000,49104000,47794000,48049000
12,Interest Income ,- -,- -,- -,4163,- -,28746,10109,5206,2980,3263,46959,103088,142721,48762,24362,- -,12000,- -,7000,- -,1000,- -,- -,616000,1392000,241000,11000
13,Interest Expense (Gain),68700,75800,- -,103843,- -,66803,70693,48451,34060,15090,22703,16157,2471,58463,76370,- -,249000,232000,237000,151000,158000,158000,136000,104000,8000,46000,-10000
14,Depreciation and Amortization,171000,260600,311138,787088,321172,396810,524242,274876,314682,395119,545876,529260,770826,973069,1049633,1006000,925000,857000,827000,876000,812000,734000,696000,669000,754000,887000,- -
15,EBITDA,85600,752000,410329,-107115,-1862670,964241,1168038,-191438,1030059,1922202,1006803,3276190,3025053,3808743,1788844,-1456000,1206000,1923000,-4888000,-12258000,-4375000,-2994000,-4386000,61005000,-19074000,-18466000,-14830000
16,EBITDA ratio,0.0155,0.1005,0.0557,-0.0127,-0.1941,0.0970,0.1017,-0.0154,0.0622,0.0938,0.0498,0.1228,0.1051,0.1356,0.0664,-0.0601,0.0475,0.0695,-0.2066,-0.4428,-0.1482,-0.0817,-0.1128,3.6561,-0.6755,-0.6664,-0.3057
17,Operating Income,-219500,480400,339579,-920162,-2148030,529897,583580,-473895,712397,1278556,403968,2623842,2106506,1291278,714849,-2752000,-18000,1046000,-3666000,-5849000,-6986000,-3792000,-5265000,-13600000,-20869000,-20083000,-14448000
18,Operating Income ratio,-0.0398,0.0642,0.0461,-0.1090,-0.2238,0.0533,0.0508,-0.0381,0.0430,0.0624,0.0200,0.0984,0.0732,0.0460,0.0265,-0.1136,-0.0007,0.0378,-0.1549,-0.2113,-0.2367,-0.1035,-0.1354,-0.8151,-0.7391,-0.7247,-0.2978
19,Total Other Income Expenses (Gains),65400,-64800,-240388,-77884,3247,8788,-382994,-40870,-31080,-11827,24256,86931,140250,1485933,-52008,290000,50000,-212000,-2286000,-7436000,1641000,-94000,47000,329000,1033000,674000,-372000
20,Income Before Tax,-154100,415600,99191,-998046,- -,- -,200586,-514765,681317,1266729,428224,2710773,2246756,2777211,662841,-2462000,32000,834000,-5952000,-13285000,-5345000,-3886000,-5218000,-13271000,-19836000,-19409000,-14820000
21,Income Before Tax Ratio,-0.0279,0.0555,0.0135,-0.1182,- -,- -,0.0175,-0.0414,0.0412,0.0618,0.0212,0.1016,0.0781,0.0988,0.0246,-0.1016,0.0013,0.0301,-0.2516,-0.4799,-0.1811,-0.1061,-0.1342,-0.7953,-0.7025,-0.7004,-0.3055
22,Income Tax expense (Gain),- -,8300,- -,- -,- -,- -,-211190,- -,- -,- -,32016,47567,-148835,945423,67319,-927000,-77000,217000,-1613000,3997000,25000,64000,-156000,-3777000,-130000,-7503000,380000
23,Net Income,-154100,407300,99191,-998046,-2183842,500628,784293,-514765,681317,1511993,406208,2683206,2400591,1831788,595522,-1535000,109000,617000,-4339000,-17282000,-5370000,-3950000,-5062000,64009000,-19706000,-11896000,-15200000
24,Net Income ratio,-0.0279,0.0544,0.0135,-0.1182,-0.2275,0.0504,0.0683,-0.0414,0.0412,0.0738,0.0201,0.1006,0.0834,0.0652,0.0221,-0.0634,0.0043,0.0223,-0.1834,-0.6243,-0.1819,-0.1078,-0.1302,3.8361,-0.6979,-0.4293,-0.3133
25,EPS,-0.04,0.05,0.01,-0.07,-0.13,0.04,0.06,-0.04,0.05,0.11,0.03,0.19,0.16,0.11,0.04,-0.09,0.01,0.04,-0.25,-1.03,0.34,-0.14,-0.16,1.93,-0.58,-0.35,-0.44
26,EPS Diluted,-0.04,0.05,0.01,-0.07,-0.13,0.04,0.06,-0.04,0.05,0.09,0.03,0.16,0.14,0.11,0.03,-0.09,0.01,0.03,-0.25,-1.03,0.24,-0.15,-0.17,1.86,-0.58,-0.35,-0.44
27,Weighted Average Shares Outstanding,4354349,7663872,8186256,13876328,16787000,13896991,13445045,13204755,13188353,13755552,13923134,14537025,15324508,16071229,16899297,17367000,17597000,17631000,17670000,17756000,24333000,27433000,31420000,33185000,34069000,34212000,34212000
28,Weighted Average Shares Outstanding Diluted,4354349,7663872,8443972,13876328,16787000,16073220,14759501,14406255,13188353,16177881,15750284,16909103,17684705,17086798,17836212,17367000,17669000,17787000,17670000,17756000,27747000,27449000,31427000,34366000,34069000,34212000,34212000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/719135/000112188805000052/0001121888-05-000052-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036106004776/0001140361-06-004776-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913507000012/0000719135-07-000012-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036108008085/0001140361-08-008085-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036109007066/0001140361-09-007066-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036110012046/0001140361-10-012046-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036111019571/0001140361-11-019571-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036112017979/0001140361-12-017979-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036113014654/0001140361-13-014654-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000147793214001436/0001477932-14-001436-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000147793215001424/0001477932-15-001424-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000147793216009087/0001477932-16-009087-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913517000009/0000719135-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913518000015/0000719135-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000162828019002892/0001628280-19-002892-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913520000029/0000719135-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913521000029/0000719135-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913522000020/0000719135-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,165800,120900,48246,278673,415074,278662,578354,379209,306137,2294746,1295266,2952892,3534759,2564443,2154825,3827000,4880000,4162000,7924000,5733000,11805000,14456000,9949000,16466000,58812000,41915000,30870000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61678000,- -,- -,- -
33,Cash and Short-Term Investments,165800,120900,48246,278673,415074,278662,578354,379209,306137,2294746,1295266,2952892,3534759,2564443,2154825,3827000,4880000,4162000,7924000,5733000,11805000,14456000,9949000,78144000,58812000,41915000,30870000
34,Net Receivables,652300,856400,791825,1002834,1210048,1256049,1200933,1350487,1708181,1954287,2316761,2817557,2525451,2991715,2565734,2114000,2216000,2874000,1990000,1992000,2925000,4733000,4857000,5015000,9220000,17328000,13521000
35,Inventory,606200,854000,953125,1476548,1677779,1994564,2419827,2357505,2451149,2001637,2996832,3609301,4521992,5838464,6774166,7605000,8178000,7984000,8415000,5727000,5957000,6158000,6526000,5212000,5068000,4051000,6778000
36,Other Current Assets,257200,231100,300203,276501,392598,397532,515024,595508,776225,714965,721692,788623,881485,717982,1719222,1366000,1210000,951000,1493000,1913000,1355000,1192000,1215000,1146000,3633000,2795000,9568000
37,Total Current Assets,1681500,2062400,2093399,3034556,3695499,3926807,4714138,4682709,5241692,6965635,7330551,10168373,11463687,12112604,13213947,14912000,16484000,15971000,19822000,15365000,22042000,26539000,22547000,89517000,76733000,66089000,60737000
38,PP&E,1269500,1418200,1439500,2162337,1434569,1552179,1531658,1559080,1900015,2116324,2595641,3217020,3421455,7125943,8813882,7432000,7176000,7229000,7063000,6947000,6810000,6449000,6408000,5788000,7472000,7215000,6696000
39,Goodwill,283600,62700,40000,4120,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185000,185000,185000,185000,- -,- -,- -
40,Intangible Assets,259500,348300,257552,4973295,1886675,1881171,1824353,1767876,1654629,1598234,1823326,3278992,3891303,5205087,4932278,3198000,2288000,2174000,2085000,1941000,1833000,1725000,1689000,6000,- -,- -,- -
41,Intangible Assets,543100,411000,297552,4977415,1886675,1881171,1824353,1767876,1654629,1598234,1823326,3278992,3891303,5205087,4932278,3198000,2288000,2174000,2085000,1941000,2018000,1910000,1874000,191000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158641,1533000,1509000,1799000,3412000,- -,25000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,106400,7100,7150,485521,327076,553417,508396,491216,437696,338808,21214,21215,44438,1335261,465711,711000,783000,1010000,794000,580000,553000,212000,159000,114000,540000,807000,1288000
45,Total Non-Current Assets,1919000,1836300,1744202,7625273,3648320,3986767,3864407,3818172,3992340,4053366,4440181,6517227,7357196,13666291,14370512,12874000,11756000,12212000,13354000,9468000,9406000,8571000,8441000,6093000,8012000,8022000,7984000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3600500,3898700,3837601,10659829,7343819,7913574,8578545,8500881,9234032,11019001,11770732,16685600,18820883,25778895,27584459,27786000,28240000,28183000,33176000,24833000,31448000,35110000,30988000,95610000,84745000,74111000,68721000
48,Accounts Payable,887300,787500,399090,385558,402254,439144,373375,478668,679792,620151,868212,916253,807437,1317578,589407,951000,1085000,803000,1060000,1553000,1214000,1606000,1583000,1423000,2438000,1511000,2631000
49,Short-Term Debt,132000,198000,804762,569187,663570,572931,672309,557135,35343,31668,348328,161948,- -,125000,1135000,140000,587000,138000,72000,239000,239000,239000,239000,- -,477000,364000,287000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1491000,591000,7642000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141586,173986,56386,24538,3994,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1521100,410300,334944,405514,264146,507850,532555,562163,689075,762326,471006,834966,838856,849853,744476,1046000,717000,981000,1780000,1974000,2668000,3427000,4151000,6279000,9396000,7278000,10287000
